route_key,n,survives,weak,best_avg_delta,best_worst_delta,median_avg_delta
Q2_down|S2_up|Q1_up,60,29,15,-8.257925239103073e-05,-7.838139130296146e-05,-1.9682278549955185e-05
S3_down|Q1_down|Q2_up,70,22,30,-8.06470915699589e-05,-7.054645543981631e-05,-1.8714229206041846e-05
S3_up|Q1_up|Q2_down,30,20,6,-4.007607211014918e-05,-3.499466175789044e-05,-2.1179471745325795e-05
S4_up,20,18,2,-5.922585818862044e-05,-5.7044429814638936e-05,-2.516845612047725e-05
S3_down|S4_up,20,17,3,-5.3841994714339585e-05,-4.022777471890316e-05,-3.276871241735434e-05
S3_down|Q2_up|Q1_down,20,13,5,-6.1026590297381317e-05,-5.6199456347761075e-05,-3.101911264801773e-05
Q3_up|Q1_down|S1_down,20,13,5,-5.879261022911576e-05,-5.304953508690345e-05,-2.8815457209276218e-05
S3_down|Q3_up|Q1_down,30,13,13,-4.3854642695944265e-05,-3.602384458037309e-05,-2.0160256113227804e-05
Q1_down|S3_down|Q2_up,30,12,10,-5.767623624910464e-05,-5.3046809529970226e-05,-1.9736736912634062e-05
S4_up|Q2_up|S1_down,10,10,0,-9.535648541858609e-05,-8.506476906515514e-05,-7.171033202649433e-05
Q1_down|S4_up|S1_down,10,10,0,-9.309067535887407e-05,-8.120247294997673e-05,-5.1028088229988704e-05
S1_down|Q2_up|Q1_down,10,10,0,-7.047541865839416e-05,-6.247591999947865e-05,-4.072864365648539e-05
Q1_up|S3_up|Q2_down,10,10,0,-6.192527144353285e-05,-5.43805386488859e-05,-5.678057732124163e-05
S1_down|S4_up|Q2_up,10,10,0,-6.641430520529487e-05,-5.217802911035996e-05,-5.243588707861344e-05
S4_up|S3_down,10,10,0,-4.324333773669338e-05,-3.794539446888332e-05,-2.173110838457467e-05
S1_down|S4_up|Q1_down,10,9,1,-9.58286353163247e-05,-9.142614865797868e-05,-6.405015276130679e-05
S4_up|S1_down,10,9,1,-6.412408293384389e-05,-6.227125278820108e-05,-4.9250393912943596e-05
S1_up|Q1_up|Q2_down,10,9,1,-6.593543572105267e-05,-6.162554417796812e-05,-3.972025511867729e-05
Q2_down|S2_up,10,9,1,-5.0013876378995466e-05,-4.54658887436712e-05,-4.825158842865389e-05
Q2_down|S2_up|S1_up,20,9,8,-3.995718840579005e-05,-3.773283338232906e-05,-1.9656855923989633e-05
S3_down|S1_down,10,9,1,-4.585510372881554e-05,-3.053780636913845e-05,-3.293669531635856e-05
