candidate_id,file,basename,mode,rank,top_k,alpha,cap,changed_rows,changed_cells,mean_abs_logit_move,l1_logit_move,max_abs_logit_move,max_abs_prob_delta,selected_delta_mean,selected_mobility_rank_mean
s4latent_pos_top20_a018_cap008,hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_pos_top20_a018_cap008_4eab106c.csv,submission_h007_s4latent_pos_top20_a018_cap008_4eab106c.csv,pos,consensus,20,0.18,0.008,20,20,0.00064,0.16,0.008,0.001999810397880164,0.4727066759312306,0.8866956521739129
s4latent_pos_top36_a015_cap006,hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_pos_top36_a015_cap006_3b5b1e47.csv,submission_h007_s4latent_pos_top36_a015_cap006_3b5b1e47.csv,pos,consensus,36,0.15,0.006,36,36,0.0008640000000000001,0.21600000000000003,0.006,0.0014998437977808976,0.4226060792920465,0.8668357487922705
s4latent_pos_top50_a012_cap005,hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_pos_top50_a012_cap005_2c6bc5c9.csv,submission_h007_s4latent_pos_top50_a012_cap005_2c6bc5c9.csv,pos,consensus,50,0.12,0.005,50,50,0.001,0.25,0.005,0.0012498636854970102,0.401459799024633,0.8340869565217391
s4latent_pos_top50_a024_cap010,hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_pos_top50_a024_cap010_1860fc52.csv,submission_h007_s4latent_pos_top50_a024_cap010_1860fc52.csv,pos,consensus,50,0.24,0.01,50,50,0.002,0.5,0.01,0.002499784665571214,0.401459799024633,0.8340869565217391
s4latent_pos_top80_a014_cap006,hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_pos_top80_a014_cap006_31d9abce.csv,submission_h007_s4latent_pos_top80_a014_cap006_31d9abce.csv,pos,consensus,80,0.14,0.006,80,80,0.0018654551254878894,0.4663637813719724,0.006,0.0014998437977808976,0.3476929673992006,0.7982608695652174
s4latent_pos_top80_a020_cap008,hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_pos_top80_a020_cap008_6e21f037.csv,submission_h007_s4latent_pos_top80_a020_cap008_6e21f037.csv,pos,consensus,80,0.2,0.008,80,80,0.0024935073221255565,0.6233768305313891,0.008,0.001999810397880164,0.3476929673992006,0.7982608695652174
s4latent_lowenergy_top28_a016_cap006,hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_lowenergy_top28_a016_cap006_21a42c54.csv,submission_h007_s4latent_lowenergy_top28_a016_cap006_21a42c54.csv,pos,lowenergy,28,0.16,0.006,28,28,0.0006529318101007487,0.16323295252518716,0.006,0.0014993756722535556,0.23745236177963833,0.7714906832298137
s4latent_lowenergy_top60_a018_cap008,hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_lowenergy_top60_a018_cap008_f9f31a85.csv,submission_h007_s4latent_lowenergy_top60_a018_cap008_f9f31a85.csv,pos,lowenergy,60,0.18,0.008,57,57,0.0017018583544695896,0.4254645886173974,0.008,0.001999125150130676,0.2022356840788382,0.774072463768116
s4latent_signed_top40_a008_cap004,hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_signed_top40_a008_cap004_8aef9545.csv,submission_h007_s4latent_signed_top40_a008_cap004_8aef9545.csv,signed,absdelta,40,0.08,0.004,40,40,0.0006400000000000002,0.16000000000000003,0.004,0.0009999948078449616,-0.23685883470068125,0.3203043478260869
s4latent_signed_top80_a010_cap006,hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_signed_top80_a010_cap006_37820f4c.csv,submission_h007_s4latent_signed_top80_a010_cap006_37820f4c.csv,signed,absdelta,80,0.1,0.006,80,80,0.0019199999999999998,0.48,0.006,0.0014999945181743968,-0.019119557476868165,0.43902173913043485
s4latent_down_control_top28_a016_cap006,hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_down_control_top28_a016_cap006_a3613ab8.csv,submission_h007_s4latent_down_control_top28_a016_cap006_a3613ab8.csv,down_control,lowenergy,28,0.16,0.006,28,28,0.0006529318101007487,0.16323295252518716,0.006,0.0014995455635117283,0.23745236177963833,0.7714906832298137
