candidate_id,family,target_subset,alpha,k,file,posterior_delta_mean_vs_h012,posterior_delta_p10_vs_h012,posterior_delta_p90_vs_h012,posterior_delta_max_vs_h012,posterior_beats_h012_rate,expected_public_if_posterior,changed_rows,changed_cells,mean_abs_prob_delta_vs_h012,max_abs_prob_delta_vs_h012,mean_cell_score_changed,min_consistency_changed,mean_consistency_changed,h015_decision,decision_rank
top_all_k1600_a0.7,top,all,0.7,1600,hitl/h015_public_equation_self_feedback/submission_h015_top_all_k1600_a0.7_267e5aee.csv,-0.0015862189528814091,-0.001891033005568487,-0.001149848567880601,4.54821163094965e-05,0.9666666666666667,0.5665372641471187,250,1600,0.01220660260766805,0.05164167766874983,0.25849036585563384,0.6,0.9617708333333335,post_h012_big_bet,0
top_all_k1200_a0.7,top,all,0.7,1200,hitl/h015_public_equation_self_feedback/submission_h015_top_all_k1200_a0.7_196fff84.csv,-0.0015648878585345716,-0.0018663437953656565,-0.0011293646188747476,4.268607442110268e-05,0.9666666666666667,0.5665585952414655,250,1200,0.011115582859656484,0.05164167766874983,0.33534691318237236,0.6,0.9716111111111112,post_h012_big_bet,0
top_all_k1600_a1,top,all,1.0,1600,hitl/h015_public_equation_self_feedback/submission_h015_top_all_k1600_a1_7a034bae.csv,-0.0016896453941459982,-0.00212509404084174,-0.0010662591298591523,0.0006413561332696841,0.9333333333333333,0.5664338377058541,250,1600,0.017163476802847764,0.07222008365524257,0.25849036585563384,0.6,0.9617708333333335,post_h012_big_bet,0
top_all_k1200_a1,top,all,1.0,1200,hitl/h015_public_equation_self_feedback/submission_h015_top_all_k1200_a1_a39d6e49.csv,-0.0016669279442264719,-0.002097579282556509,-0.0010447518875696022,0.0006296062457103093,0.9333333333333333,0.5664565551557735,250,1200,0.015605712585563002,0.07222008365524257,0.33534691318237236,0.6,0.9716111111111112,post_h012_big_bet,0
top_all_k800_a0.7,top,all,0.7,800,hitl/h015_public_equation_self_feedback/submission_h015_top_all_k800_a0.7_8bdec3ac.csv,-0.001466361446586431,-0.001757268997248294,-0.0010216876560525529,9.876199644445637e-06,0.9666666666666667,0.5666571216534136,246,800,0.008758299111159577,0.05164167766874983,0.4701115942377055,0.6,0.97625,post_h012_big_bet,0
stable_all_k800_a0.9,stable_top,all,0.9,800,hitl/h015_public_equation_self_feedback/submission_h015_stable_all_k800_a0.9_ad515f27.csv,-0.0015288596343204096,-0.0018562929905205135,-0.001017427828521443,0.000360193172961426,0.9333333333333333,0.5665946234656797,246,800,0.011176328071285262,0.06544843369149089,0.4325863391671204,0.8,0.9801666666666666,post_h012_big_bet,0
stable_all_k800_a0.6,stable_top,all,0.6,800,hitl/h015_public_equation_self_feedback/submission_h015_stable_all_k800_a0.6_8c7ca8c6.csv,-0.0013307078474838019,-0.0015489967516171541,-0.0009897533102844844,-7.13393092959608e-05,1.0,0.5667927752525163,246,800,0.007634414129673498,0.045654676145048256,0.4325863391671204,0.8,0.9801666666666666,post_h012_big_bet,0
direct_all_a0.45,direct,all,0.45,0,hitl/h015_public_equation_self_feedback/submission_h015_direct_all_a0.45_ad724a1d.csv,-0.001237997308543012,-0.0014340578260173182,-0.0009572769020433968,-0.00018868347221445985,1.0,0.566885485791457,250,1750,0.00804081637634096,0.03586966063182284,0.2368302937372508,0.5,0.9482285714285715,post_h012_big_bet,0
top_all_k1600_a0.45,top,all,0.45,1600,hitl/h015_public_equation_self_feedback/submission_h015_top_all_k1600_a0.45_3e85c1e7.csv,-0.0012376429680655001,-0.0014335948590786208,-0.0009571191491364296,-0.00018869228072847585,1.0,0.5668858401319345,250,1600,0.007978996831482725,0.03586966063182284,0.25849036585563384,0.6,0.9617708333333335,post_h012_big_bet,0
top_all_k1200_a0.45,top,all,0.45,1200,hitl/h015_public_equation_self_feedback/submission_h015_top_all_k1200_a0.45_a740d598.csv,-0.0012210197731959576,-0.0014148128754445106,-0.0009410405477003758,-0.00018757938772443955,1.0,0.566902463326804,250,1200,0.007277321153642155,0.03586966063182284,0.33534691318237236,0.6,0.9716111111111112,post_h012_big_bet,0
