rowposterior_delta_vs_h012,uniform_row_delta_vs_h012,rowposterior_beats_rate,rowposterior_p90_row_delta,candidate_id,mode,target_subset,row_k,alpha,changed_rows,changed_cells,mean_abs_prob_delta_vs_h012,max_abs_prob_delta_vs_h012,mean_abs_prob_delta_vs_h018,max_abs_prob_delta_vs_h018,h018_rowposterior_delta_vs_h012,h018_uniform_row_delta_vs_h012,h019_decision,decision_rank,file
-0.0006112325420730376,-0.000575167730270629,0.972,-0.00021617932663493705,gain_all_r240_a1,gain,all,240,1.0,240,1680,0.011003409574774067,0.11298815705193355,0.00022301057547138996,0.01731507177508801,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_gain_all_r240_a1_992c9ef3.csv
-0.0006091961150268687,-0.000571933645179477,0.964,-0.00019224493121692163,row_score_all_r240_a1,row_score,all,240,1.0,240,1680,0.010922258362539518,0.11298815705193355,0.0003041617877059384,0.01826989216653202,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_row_score_all_r240_a1_87dcdda4.csv
-0.0006049864825946773,-0.0005662493828551298,0.96,-0.00017337830898388418,inclusion_all_r240_a1,inclusion,all,240,1.0,240,1680,0.010812846289379625,0.11298815705193355,0.00041357386086583443,0.023811787638327586,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_inclusion_all_r240_a1_ea2d5fec.csv
-0.0006049864825946773,-0.0005662493828551298,0.96,-0.00017337830898388418,lift_all_r240_a1,lift,all,240,1.0,240,1680,0.010812846289379625,0.11298815705193355,0.00041357386086583443,0.023811787638327586,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_lift_all_r240_a1_ea2d5fec.csv
-0.0005867801716960428,-0.0005497776911070573,0.88,0.0,gain_all_r210_a1,gain,all,210,1.0,210,1470,0.010044258865567625,0.11298815705193355,0.0011821612846778327,0.021413897831978113,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_gain_all_r210_a1_3c0188c8.csv
-0.0005787016975146149,-0.0005364284090858207,0.872,0.0,row_score_all_r210_a1,row_score,all,210,1.0,210,1470,0.009781475652930118,0.11298815705193355,0.0014449444973153407,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_row_score_all_r210_a1_f0808681.csv
-0.00057501231237327,-0.0005408852370502742,0.972,-0.0002026746528265582,gain_all_r240_a1.25,gain,all,240,1.25,240,1680,0.013704261014832096,0.13669790015525174,0.0029238620155294087,0.02588503932114189,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_gain_all_r240_a1.25_5eafa3e1.csv
-0.0005743172856874318,-0.0005402965685284325,0.972,-0.00020267181293020996,gain_all_r240_a0.75,gain,all,240,0.75,240,1680,0.008283743001667418,0.08739248873299255,0.002942677148578028,0.026334951791288752,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_gain_all_r240_a0.75_6bdb5adb.csv
-0.0005731040099545536,-0.0005378535978609444,0.964,-0.00018029080703885566,row_score_all_r240_a1.25,row_score,all,240,1.25,240,1680,0.013603105981297407,0.13669790015525174,0.002985009406463815,0.02588503932114189,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_row_score_all_r240_a1.25_a5398079.csv
-0.0005724088528087281,-0.0005372650085010573,0.964,-0.00018026786055228277,row_score_all_r240_a0.75,row_score,all,240,0.75,240,1680,0.008222712591751632,0.08739248873299255,0.003003707558493812,0.026334951791288752,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_row_score_all_r240_a0.75_6572bb60.csv
-0.0005691547914106157,-0.0005325211365531661,0.96,-0.0001627163667656261,inclusion_all_r240_a1.25,inclusion,all,240,1.25,240,1680,0.013466740547004788,0.13669790015525174,0.0030674681184909847,0.02588503932114189,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_inclusion_all_r240_a1.25_29cd7d15.csv
-0.0005691547914106157,-0.0005325211365531661,0.96,-0.0001627163667656261,lift_all_r240_a1.25,lift,all,240,1.25,240,1680,0.013466740547004788,0.13669790015525174,0.0030674681184909847,0.02588503932114189,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_lift_all_r240_a1.25_29cd7d15.csv
-0.0005684607180862461,-0.0005319339447143728,0.96,-0.0001626623734153888,inclusion_all_r240_a0.75,inclusion,all,240,0.75,240,1680,0.008140416116645413,0.08739248873299255,0.0030860040336000327,0.026334951791288752,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_inclusion_all_r240_a0.75_ade0168a.csv
-0.0005684607180862461,-0.0005319339447143728,0.96,-0.0001626623734153888,lift_all_r240_a0.75,lift,all,240,0.75,240,1680,0.008140416116645413,0.08739248873299255,0.0030860040336000327,0.026334951791288752,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_lift_all_r240_a0.75_ade0168a.csv
-0.0005679346845846773,-0.0005230798968176921,0.864,0.0,inclusion_all_r210_a1,inclusion,all,210,1.0,210,1470,0.009659534611282656,0.11298815705193355,0.0015668855389628026,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_inclusion_all_r210_a1_3042bbfb.csv
-0.0005679346845846773,-0.0005230798968176921,0.864,0.0,lift_all_r210_a1,lift,all,210,1.0,210,1470,0.009659534611282656,0.11298815705193355,0.0015668855389628026,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_lift_all_r210_a1_3042bbfb.csv
-0.0005531309005189811,-0.0005138938674035326,0.792,0.0,gain_all_r180_a1,gain,all,180,1.0,180,1260,0.008912404755351008,0.11298815705193355,0.002314015394894451,0.026195921908804154,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_gain_all_r180_a1_0eb1b437.csv
-0.0005520761043436018,-0.0005170710856606131,0.88,0.0,gain_all_r210_a1.25,gain,all,210,1.25,210,1470,0.01250594795495562,0.13669790015525174,0.0036438503740658166,0.02588503932114189,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_gain_all_r210_a1.25_7865617f.csv
-0.000551385193619723,-0.0005164862206504941,0.88,0.0,gain_all_r210_a0.75,gain,all,210,0.75,210,1470,0.007564006437882366,0.08739248873299255,0.0036624137123630806,0.026334951791288752,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_gain_all_r210_a0.75_2536f078.csv
-0.0005445068708222482,-0.0005045572731346714,0.872,0.0,row_score_all_r210_a1.25,row_score,all,210,1.25,210,1470,0.012178200348905845,0.13669790015525174,0.003841669193291056,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_row_score_all_r210_a1.25_5ade1c6e.csv
