best_mask_mae,top100_mask_mae,p01_mask_mae,p05_mask_mae,median_mask_mae,best_mask_p90_abs,best_mask_spearman,proxy_name,subset_size,n_masks,uniform_row_mae,sampled_prior_inclusion,config_score
4.5707192134898914e-05,7.48210427197775e-05,0.00010791218924044156,0.00023584675035450117,0.0008883470605450714,8.381430635294313e-05,0.9729323308270676,h017_joint,150,18000,0.0008854594958915736,0.6,6.785108975273435e-05
4.571694543610049e-05,7.482019805535172e-05,0.00010790833175692596,0.00023582667941088412,0.0008883208225959364,8.384899348353338e-05,0.9729323308270676,h012_public,150,18000,0.0008854300328161129,0.6,6.78522976652574e-05
4.496481047016601e-05,7.51540671978966e-05,0.00010716321128030296,0.00023613628167170185,0.0008933847423319962,7.765081860953411e-05,0.9729323308270676,h018_hard,150,18000,0.0008902505820982335,0.6,6.792362101865636e-05
4.4964810470165486e-05,7.51540671978968e-05,0.00010716321128030237,0.0002361362816717025,0.0008933847423319961,7.765081860952942e-05,0.9729323308270676,h018_submission,150,18000,0.0008902505820982349,0.6,6.792362101865637e-05
4.672618316239477e-05,7.582793517997444e-05,9.932074028621058e-05,0.00018339798989250425,0.0008837536155468128,9.172912217946062e-05,0.9759398496240601,h017_joint,125,18000,0.0008854594958915736,0.5,7.016335951047238e-05
4.673164773398384e-05,7.582680851124765e-05,9.932111038910986e-05,0.00018336710022087563,0.0008837220622644273,9.170639066175115e-05,0.9759398496240601,h012_public,125,18000,0.0008854300328161129,0.5,7.016363599493278e-05
4.779418482676947e-05,7.579429655108798e-05,9.959572236972792e-05,0.00018290892110570432,0.0008880120316953884,8.244765941102346e-05,0.9759398496240601,h018_hard,125,18000,0.0008902505820982335,0.5,7.042421950603133e-05
4.7794184826770605e-05,7.579429655108795e-05,9.959572236972828e-05,0.00018290892110570404,0.000888012031695389,8.244765941102381e-05,0.9759398496240601,h018_submission,125,18000,0.0008902505820982349,0.5,7.042421950603163e-05
4.409729059093861e-05,8.68074308238094e-05,0.00010985610804588286,0.00017096655996454594,0.0009012073808596903,9.202342382667285e-05,0.9774436090225563,h018_hard,100,18000,0.0008902505820982335,0.4,8.349405600545565e-05
4.409729059093922e-05,8.680743082380938e-05,0.00010985610804588397,0.00017096655996454597,0.0009012073808596919,9.20234238266732e-05,0.9774436090225563,h018_submission,100,18000,0.0008902505820982349,0.4,8.349405600545589e-05
4.9182068778272795e-05,8.608623182092322e-05,0.00011006756496585532,0.00017032711395861065,0.0008943902650053251,9.112529502857924e-05,0.9849624060150375,h017_joint,100,18000,0.0008854594958915736,0.4,8.383963333162583e-05
4.919309164203491e-05,8.608750986082586e-05,0.0001100584766199176,0.0001703086201421933,0.0008943585454182074,9.108105684043633e-05,0.9849624060150375,h012_public,100,18000,0.0008854300328161129,0.4,8.384275825287522e-05
5.245528733368917e-05,9.54870523204021e-05,0.0001223305336161349,0.0001828295416843199,0.0009221278332190877,0.00014578990750689486,0.9759398496240601,h017_joint,80,18000,0.0008854594958915736,0.32,9.715573202671606e-05
5.2457719443075626e-05,9.548728949468803e-05,0.00012233247029318263,0.00018284840702902254,0.0009220963320201903,0.00014575283210726463,0.9759398496240601,h012_public,80,18000,0.0008854300328161129,0.32,9.71567708960534e-05
5.5423683002961325e-05,9.570510489272095e-05,0.00012141880202342269,0.0001824233104690282,0.0009276266662541072,0.00017351428988588268,0.9759398496240601,h018_submission,80,18000,0.0008902505820982349,0.32,9.802471035708175e-05
5.542368300296193e-05,9.570510489272094e-05,0.00012141880202342236,0.00018242331046902936,0.0009276266662541042,0.00017351428988588978,0.9759398496240601,h018_hard,80,18000,0.0008902505820982335,0.32,9.802471035708185e-05
5.2989400872091154e-05,0.00010213968656481305,0.00014164320929963345,0.0003055563123446183,0.0012338268511478468,0.00015611715189123957,0.9624060150375938,h015_public,100,18000,0.0012235873900171656,0.4,0.00010467917726167137
2.608245598294881e-05,0.00011510419458324923,0.00022043312117340022,0.0003983388451369399,0.0008850934611385241,5.8447660925812185e-05,0.9969924812030074,h018_hard,180,18000,0.0008902505820982335,0.72,0.00011615834626023623
2.6082455982948203e-05,0.00011510419458324951,0.00022043312117340006,0.0003983388451369395,0.0008850934611385242,5.844766092581166e-05,0.9969924812030074,h018_submission,180,18000,0.0008902505820982349,0.72,0.00011615834626023637
