posterior_id,proxy_name,subset_size,method,temperature,top_k,weight_power,posterior_mae,posterior_p90_abs,posterior_spearman,best_mask_mae,top100_mask_mae,median_mask_mae,ess,ess_rate,inclusion_prior,inclusion_abs_shift,inclusion_min,inclusion_max,inclusion_top20_mean,inclusion_bottom20_mean,posterior_score
h018_hard_k125_soft_t4e-05_p2,h018_hard,125,soft,4e-05,0,2.0,2.746067521987002e-05,5.2606382189108524e-05,0.9984962406015038,4.779418482676947e-05,7.579429655108798e-05,0.0008880120316953884,200.44443863390373,0.011135802146327985,0.5,0.04982220664560902,0.370518635989224,0.7864402821923077,0.6638826173165755,0.4047714407811176,-5.306243654386082e-06
h018_submission_k125_soft_t4e-05_p2,h018_submission,125,soft,4e-05,0,2.0,2.746067521986993e-05,5.260638218911043e-05,0.9984962406015038,4.7794184826770605e-05,7.579429655108795e-05,0.000888012031695389,200.44443863390399,0.011135802146327999,0.5,0.049822206645608914,0.3705186359892226,0.7864402821923085,0.6638826173165752,0.4047714407811183,-5.306243654385683e-06
h017_joint_k125_soft_t4e-05_p2,h017_joint,125,soft,4e-05,0,2.0,2.7487837012423953e-05,5.516657741311723e-05,0.9969924812030074,4.672618316239477e-05,7.582793517997444e-05,0.0008837536155468128,200.36268759964514,0.011131260422202508,0.5,0.04927651537895233,0.37866778019000963,0.7966034695324553,0.6670458415137899,0.40647506426815816,-4.513399727891317e-06
h012_public_k125_soft_t4e-05_p2,h012_public,125,soft,4e-05,0,2.0,2.749010498736314e-05,5.51765975646065e-05,0.9969924812030074,4.673164773398384e-05,7.582680851124765e-05,0.0008837220622644273,200.3745237527302,0.011131917986262788,0.5,0.04927384401555551,0.37865834848737,0.7966321765903192,0.667037971458119,0.4064697053044385,-4.508306151472193e-06
h012_public_k125_top250_t8e-05,h012_public,125,topk,8e-05,250,1.0,2.8796238221076837e-05,6.13617466178428e-05,0.9954887218045112,4.673164773398384e-05,7.582680851124765e-05,0.0008837220622644273,242.59924007671208,0.013477735559817338,0.5,0.04785342992961662,0.38618796804390404,0.7998915776101595,0.6652321887211651,0.4138822373094766,-1.4252855881969144e-06
h017_joint_k125_top250_t8e-05,h017_joint,125,topk,8e-05,250,1.0,2.8788931930957395e-05,6.139122240192038e-05,0.9954887218045112,4.672618316239477e-05,7.582793517997444e-05,0.0008837536155468128,242.59973426851863,0.013477763014917701,0.5,0.047853328121654756,0.386196666943589,0.7998810948934636,0.6652331935113114,0.41388408878729904,-1.4252107153415317e-06
h018_submission_k125_soft_t4e-05_p1.5,h018_submission,125,soft,4e-05,0,1.5,3.0887445085233525e-05,5.487953019659019e-05,0.9969924812030074,4.7794184826770605e-05,7.579429655108795e-05,0.000888012031695389,330.01065900327524,0.01833392550018196,0.5,0.045414848609106766,0.3921441464507562,0.7894495396389695,0.6589433608205375,0.42045162077926557,-7.221534468320374e-07
h018_hard_k125_soft_t4e-05_p1.5,h018_hard,125,soft,4e-05,0,1.5,3.0887445085234914e-05,5.4879530196592096e-05,0.9969924812030074,4.779418482676947e-05,7.579429655108798e-05,0.0008880120316953884,330.01065900327615,0.018333925500182008,0.5,0.04541484860910647,0.39214414645075746,0.7894495396389688,0.6589433608205372,0.4204516207792658,-7.221534468301375e-07
h012_public_k125_top250_t0.00015,h012_public,125,topk,0.00015,250,1.0,2.9404052640349692e-05,6.156690559154366e-05,0.9954887218045112,4.673164773398384e-05,7.582680851124765e-05,0.0008837220622644273,247.96590513217348,0.013775883618454082,0.5,0.047401232462029756,0.38824327823608024,0.7999334900710245,0.664641241614629,0.41479536037235,-7.119177293884164e-07
h017_joint_k125_top250_t0.00015,h017_joint,125,topk,0.00015,250,1.0,2.9395879452837925e-05,6.160205314053731e-05,0.9954887218045112,4.672618316239477e-05,7.582793517997444e-05,0.0008837536155468128,247.9660691417353,0.013775892730096405,0.5,0.04740116958766487,0.38824135904934415,0.799927940766257,0.6646417145879765,0.4147964697706574,-7.11296484727984e-07
h018_hard_k125_top250_t8e-05,h018_hard,125,topk,8e-05,250,1.0,2.9254871137822727e-05,6.342136157526867e-05,0.9969924812030074,4.779418482676947e-05,7.579429655108798e-05,0.0008880120316953884,242.37500727437782,0.013465278181909878,0.5,0.048127355199941546,0.3769500601925922,0.7977239448933195,0.6646536298580535,0.41642721466084376,-5.447703404733896e-07
h018_submission_k125_top250_t8e-05,h018_submission,125,topk,8e-05,250,1.0,2.9254871137822294e-05,6.34213615752704e-05,0.9969924812030074,4.7794184826770605e-05,7.579429655108795e-05,0.000888012031695389,242.3750072743777,0.013465278181909873,0.5,0.04812735519994153,0.3769500601925931,0.7977239448933193,0.6646536298580535,0.41642721466084387,-5.447703404733879e-07
h018_hard_k150_soft_t4e-05_p2,h018_hard,150,soft,4e-05,0,2.0,2.9851086065043644e-05,4.69894481246467e-05,0.9969924812030074,4.496481047016601e-05,7.51540671978966e-05,0.0008933847423319962,130.3445017245865,0.007241361206921473,0.6,0.0609312833286407,0.42897480604643956,0.9508070064979052,0.7793088018028003,0.4875669073635936,-3.5153894457493014e-07
h018_submission_k150_soft_t4e-05_p2,h018_submission,150,soft,4e-05,0,2.0,2.985108606504399e-05,4.698944812464687e-05,0.9969924812030074,4.4964810470165486e-05,7.51540671978968e-05,0.0008933847423319961,130.34450172458637,0.007241361206921464,0.6,0.06093128332864091,0.4289748060464389,0.9508070064979058,0.7793088018028008,0.4875669073635935,-3.515389445745312e-07
h012_public_k125_top250_t0.0003,h012_public,125,topk,0.0003,250,1.0,2.9740209980933916e-05,6.164335642866658e-05,0.9954887218045112,4.673164773398384e-05,7.582680851124765e-05,0.0008837220622644273,249.50372779870895,0.013861318211039387,0.5,0.04719371914082205,0.3881747209861269,0.7999634193523237,0.6643159327233675,0.4149996771786831,-3.3174608097854245e-07
h017_joint_k125_top250_t0.0003,h017_joint,125,topk,0.0003,250,1.0,2.9731522232023885e-05,6.168179523308866e-05,0.9954887218045112,4.672618316239477e-05,7.582793517997444e-05,0.0008837536155468128,249.50377132225682,0.013861320629014268,0.5,0.04719369088536781,0.38817376318118424,0.7999606589695495,0.6643161518660091,0.4150000128875015,-3.30820738128538e-07
h017_joint_k125_soft_t4e-05_p1.5,h017_joint,125,soft,4e-05,0,1.5,3.08540531193161e-05,5.676946388434443e-05,0.9954887218045112,4.672618316239477e-05,7.582793517997444e-05,0.0008837536155468128,330.0094936405607,0.018333860757808927,0.5,0.045333463830638625,0.39626571802882454,0.7958536904108885,0.6613829518332592,0.42048814510443744,-2.1314544145487925e-07
h012_public_k125_soft_t4e-05_p1.5,h012_public,125,soft,4e-05,0,1.5,3.085758351101201e-05,5.6773353819930745e-05,0.9954887218045112,4.673164773398384e-05,7.582680851124765e-05,0.0008837220622644273,330.0311681310875,0.018335064896171527,0.5,0.04533115951133324,0.3962816534428401,0.7958687982951975,0.6613779056086999,0.420487279193842,-2.0836604754574562e-07
h012_public_k125_elite250,h012_public,125,elite,0.0,250,1.0,3.0067722012829412e-05,6.169270661137689e-05,0.9954887218045112,4.673164773398384e-05,7.582680851124765e-05,0.0008837220622644273,250.0,0.013888888888888888,0.5,0.047007999999999946,0.3880000000000003,0.8000000000000006,0.6640000000000005,0.4152000000000003,3.0389793493188626e-08
h017_joint_k125_elite250,h017_joint,125,elite,0.0,250,1.0,3.005850766297953e-05,6.173446988111712e-05,0.9954887218045112,4.672618316239477e-05,7.582793517997444e-05,0.0008837536155468128,250.0,0.013888888888888888,0.5,0.047007999999999946,0.3880000000000003,0.8000000000000006,0.6640000000000005,0.4152000000000003,3.161626107836098e-08
h012_public_k150_soft_t4e-05_p2,h012_public,150,soft,4e-05,0,2.0,2.9253354316677912e-05,4.4334166359799965e-05,0.9969924812030074,4.571694543610049e-05,7.482019805535172e-05,0.0008883208225959364,123.72821020112542,0.006873789455618079,0.6,0.061223609039460954,0.4374999881828575,0.9447260637074222,0.7824825283470914,0.48821141969790627,1.1617418680551309e-07
h017_joint_k150_soft_t4e-05_p2,h017_joint,150,soft,4e-05,0,2.0,2.92472829445117e-05,4.43327137945855e-05,0.9969924812030074,4.5707192134898914e-05,7.48210427197775e-05,0.0008883470605450714,123.6932938210561,0.006871849656725339,0.6,0.06122732830541577,0.43751683512172623,0.9447551402181119,0.7824912543702496,0.48820967741989607,1.1860439610625295e-07
h018_hard_k125_top250_t0.00015,h018_hard,125,topk,0.00015,250,1.0,2.9926111439859163e-05,6.405593968430748e-05,0.9969924812030074,4.779418482676947e-05,7.579429655108798e-05,0.0008880120316953884,247.91072468959706,0.013772818038310947,0.5,0.047667782652509295,0.37667876649220217,0.7988710494600308,0.6645157689803136,0.4177344510716695,3.4026319451461915e-07
h018_submission_k125_top250_t0.00015,h018_submission,125,topk,0.00015,250,1.0,2.9926111439858902e-05,6.405593968431061e-05,0.9969924812030074,4.7794184826770605e-05,7.579429655108795e-05,0.000888012031695389,247.910724689597,0.013772818038310944,0.5,0.04766778265250921,0.37667876649220283,0.798871049460031,0.6645157689803133,0.4177344510716695,3.4026319451515024e-07
h018_submission_k125_top250_t0.0003,h018_submission,125,topk,0.0003,250,1.0,3.0297160834887212e-05,6.435865404334445e-05,0.9969924812030074,4.7794184826770605e-05,7.579429655108795e-05,0.000888012031695389,249.4915501172329,0.013860641673179606,0.5,0.04744435228379466,0.3763844348090809,0.7994593795820103,0.6644526538960802,0.4180757482302246,8.138028235476707e-07
h018_hard_k125_top250_t0.0003,h018_hard,125,topk,0.0003,250,1.0,3.0297160834887907e-05,6.435865404334463e-05,0.9969924812030074,4.779418482676947e-05,7.579429655108798e-05,0.0008880120316953884,249.4915501172329,0.013860641673179606,0.5,0.047444352283794566,0.3763844348090809,0.7994593795820102,0.6644526538960803,0.41807574823022475,8.138028235484135e-07
h018_hard_k125_elite250,h018_hard,125,elite,0.0,250,1.0,3.065880567269929e-05,6.46212308198174e-05,0.9969924812030074,4.779418482676947e-05,7.579429655108798e-05,0.0008880120316953884,250.0,0.013888888888888888,0.5,0.04723199999999994,0.3760000000000003,0.8000000000000006,0.6644000000000003,0.41840000000000027,1.2665741295333448e-06
h018_submission_k125_elite250,h018_submission,125,elite,0.0,250,1.0,3.06588056726992e-05,6.462123081981914e-05,0.9969924812030074,4.7794184826770605e-05,7.579429655108795e-05,0.000888012031695389,250.0,0.013888888888888888,0.5,0.04723199999999994,0.3760000000000003,0.8000000000000006,0.6644000000000003,0.41840000000000027,1.2665741295336972e-06
h012_public_k125_top100_t8e-05,h012_public,125,topk,8e-05,100,1.0,2.2872603106242723e-05,4.775223063687077e-05,0.9969924812030074,4.673164773398384e-05,7.582680851124765e-05,0.0008837220622644273,98.55307042295856,0.005475170579053253,0.5,0.05895892004552099,0.32232820597790596,0.8015277541174529,0.6807028155007779,0.3838175335059124,1.5750723324219829e-06
h017_joint_k125_top100_t8e-05,h017_joint,125,topk,8e-05,100,1.0,2.2875944202345976e-05,4.7777969308879256e-05,0.9969924812030074,4.672618316239477e-05,7.582793517997444e-05,0.0008837536155468128,98.55251019953819,0.0054751394555299,0.5,0.058959539158751115,0.32231992958526656,0.8015136754093228,0.6807059743124511,0.3838165004711866,1.5849231958518376e-06
h012_public_k125_top100_t0.00015,h012_public,125,topk,0.00015,100,1.0,2.3181171109519505e-05,4.8164792553154746e-05,0.9969924812030074,4.673164773398384e-05,7.582680851124765e-05,0.0008837220622644273,99.60733449484724,0.005533740805269291,0.5,0.058955113495722,0.3211945522072952,0.8008702031085901,0.6801270531480815,0.38511621578963745,1.7061005149086542e-06
h017_joint_k125_top100_t0.00015,h017_joint,125,topk,0.00015,100,1.0,2.3185063614735572e-05,4.8192592579730133e-05,0.9969924812030074,4.672618316239477e-05,7.582793517997444e-05,0.0008837536155468128,99.6071730140806,0.005533731834115589,0.5,0.058955448146009004,0.3211900295988038,0.8008624859025736,0.6801287379657697,0.3851156465435578,1.7169459302719e-06
h018_hard_k125_soft_t6e-05_p2,h018_hard,125,soft,6e-05,0,2.0,3.304098444496363e-05,5.58149333079999e-05,0.9969924812030074,4.779418482676947e-05,7.579429655108798e-05,0.0008880120316953884,395.6046513445558,0.021978036185808656,0.5,0.04404390942981316,0.4002801325438881,0.7915493453948433,0.6574178256428205,0.4250568466995289,1.8297493922657295e-06
h018_submission_k125_soft_t6e-05_p2,h018_submission,125,soft,6e-05,0,2.0,3.304098444496372e-05,5.581493330799972e-05,0.9969924812030074,4.7794184826770605e-05,7.579429655108795e-05,0.000888012031695389,395.60465134455444,0.02197803618580858,0.5,0.04404390942981323,0.40028013254388733,0.7915493453948439,0.6574178256428207,0.42505684669952926,1.8297493922657685e-06
h012_public_k125_top100_t0.0003,h012_public,125,topk,0.0003,100,1.0,2.335204710757306e-05,4.837783676867882e-05,0.9969924812030074,4.673164773398384e-05,7.582680851124765e-05,0.0008837220622644273,99.904671394679,0.005550259521926611,0.5,0.058958047146267754,0.32058455665365715,0.8004487307753064,0.6798094214635039,0.38582128643153485,1.8505956888226021e-06
h017_joint_k125_top100_t0.0003,h017_joint,125,topk,0.0003,100,1.0,2.335624650231698e-05,4.840678016626631e-05,0.9969924812030074,4.672618316239477e-05,7.582793517997444e-05,0.0008837536155468128,99.9046309926695,0.005550257277370528,0.5,0.05895821403265175,0.3205822677290013,0.8004448128327611,0.6798102638945352,0.38582099726960173,1.8620216804665178e-06
h012_public_k125_elite100,h012_public,125,elite,0.0,100,1.0,2.3523148548611378e-05,4.857605254528256e-05,0.9969924812030074,4.673164773398384e-05,7.582680851124765e-05,0.0008837220622644273,100.0,0.005555555555555556,0.5,0.05896,0.3200000000000001,0.8000000000000005,0.6795000000000003,0.3865000000000002,2.0455957701450553e-06
h017_joint_k125_elite100,h017_joint,125,elite,0.0,100,1.0,2.3530633102612168e-05,4.860611570585638e-05,0.9969924812030074,4.672618316239477e-05,7.582793517997444e-05,0.0008837536155468128,100.0,0.005555555555555556,0.5,0.05896,0.3200000000000001,0.8000000000000005,0.6795000000000003,0.3865000000000002,2.060596114289296e-06
h017_joint_k125_soft_t6e-05_p2,h017_joint,125,soft,6e-05,0,2.0,3.2825022346479917e-05,5.7673947390827384e-05,0.9954887218045112,4.672618316239477e-05,7.582793517997444e-05,0.0008837536155468128,395.2361295441765,0.021957562752454248,0.5,0.04404574745393891,0.3998423161304531,0.7951125062972877,0.6595203005371082,0.42485572460101323,2.1384706275336403e-06
h012_public_k125_soft_t6e-05_p2,h012_public,125,soft,6e-05,0,2.0,3.282929143953806e-05,5.7675918628886975e-05,0.9954887218045112,4.673164773398384e-05,7.582680851124765e-05,0.0008837220622644273,395.2647292982314,0.02195915162767952,0.5,0.04404374583299002,0.39985769347536326,0.7951232761708313,0.6595153534185767,0.42485495777632176,2.1434727246205444e-06
h017_joint_k125_top500_t8e-05,h017_joint,125,topk,8e-05,500,1.0,3.306377937191433e-05,5.586241699843315e-05,0.9924812030075187,4.672618316239477e-05,7.582793517997444e-05,0.0008837536155468128,465.8070217524605,0.025878167875136696,0.5,0.04266303329675119,0.40567606412851004,0.8019603689255248,0.6603655837745558,0.43003450095314816,2.2105715056117195e-06
h012_public_k125_top500_t8e-05,h012_public,125,topk,8e-05,500,1.0,3.3066919590751025e-05,5.589014717595126e-05,0.9924812030075187,4.673164773398384e-05,7.582680851124765e-05,0.0008837220622644273,465.80780959486464,0.025878211644159148,0.5,0.042662323538360594,0.40568298984471907,0.801962613248882,0.6603646865859636,0.4300352823148731,2.220729439834814e-06
h017_joint_k150_soft_t4e-05_p1.5,h017_joint,150,soft,4e-05,0,1.5,3.627466143021887e-05,5.2479191822819195e-05,0.9954887218045112,4.5707192134898914e-05,7.48210427197775e-05,0.0008883470605450714,197.39141673100423,0.010966189818389123,0.6,0.05649575221552984,0.4590147258775276,0.945285522418414,0.7770771586751232,0.4993600023316903,2.795420247879631e-06
h012_public_k150_soft_t4e-05_p1.5,h012_public,150,soft,4e-05,0,1.5,3.6280271854823366e-05,5.248073562140799e-05,0.9954887218045112,4.571694543610049e-05,7.482019805535172e-05,0.0008883208225959364,197.43456445872786,0.01096858691437377,0.6,0.056492618698466786,0.4589986315186371,0.9452659291045696,0.7770682447064337,0.4993636349270771,2.801792644178895e-06
h018_submission_k125_top100_t8e-05,h018_submission,125,topk,8e-05,100,1.0,2.2778746621387753e-05,5.4530793423491175e-05,0.9969924812030074,4.7794184826770605e-05,7.579429655108795e-05,0.000888012031695389,98.54406774073621,0.0054746704300409005,0.5,0.05911812441123605,0.29895041747676593,0.7705769571287671,0.675800596444896,0.37964724979553066,3.159152735595599e-06
h018_hard_k125_top100_t8e-05,h018_hard,125,topk,8e-05,100,1.0,2.2778746621387926e-05,5.4530793423491006e-05,0.9969924812030074,4.779418482676947e-05,7.579429655108798e-05,0.0008880120316953884,98.5440677407362,0.0054746704300409,0.5,0.059118124411236095,0.29895041747676593,0.7705769571287671,0.675800596444896,0.3796472497955305,3.1591527355957262e-06
h018_submission_k125_top100_t0.00015,h018_submission,125,topk,0.00015,100,1.0,2.3125587677152398e-05,5.526823863273543e-05,0.9969924812030074,4.7794184826770605e-05,7.579429655108795e-05,0.000888012031695389,99.60338659063949,0.005533521477257749,0.5,0.059076816866270164,0.29934308067318594,0.7703636146190095,0.6746393206283507,0.38010657822219895,3.4128269724263394e-06
h018_hard_k125_top100_t0.00015,h018_hard,125,topk,0.00015,100,1.0,2.3125587677152743e-05,5.5268238632735087e-05,0.9969924812030074,4.779418482676947e-05,7.579429655108798e-05,0.0008880120316953884,99.60338659063949,0.005533521477257749,0.5,0.05907681686627012,0.2993430806731859,0.7703636146190095,0.6746393206283504,0.38010657822219907,3.4128269724266037e-06
h018_hard_k125_top500_t8e-05,h018_hard,125,topk,8e-05,500,1.0,3.4112074906568823e-05,5.738675917347577e-05,0.993984962406015,4.779418482676947e-05,7.579429655108798e-05,0.0008880120316953884,466.00237431254163,0.0258890207951412,0.5,0.042575634284715634,0.4093883092566152,0.7980233738913377,0.6575101870675727,0.42936483440561635,3.5902900895312905e-06
h018_submission_k125_top500_t8e-05,h018_submission,125,topk,8e-05,500,1.0,3.4112074906569e-05,5.73867591734775e-05,0.993984962406015,4.7794184826770605e-05,7.579429655108795e-05,0.000888012031695389,466.0023743125415,0.025889020795141195,0.5,0.042575634284715634,0.40938830925661485,0.7980233738913377,0.6575101870675726,0.4293648344056161,3.5902900895319004e-06
h018_submission_k125_top100_t0.0003,h018_submission,125,topk,0.0003,100,1.0,2.3316337445200738e-05,5.564152743170632e-05,0.9969924812030074,4.7794184826770605e-05,7.579429655108795e-05,0.000888012031695389,99.9035323260042,0.005550196240333567,0.5,0.059057118261305434,0.29964595237967007,0.7701964000453108,0.6741765824260222,0.3803149508087266,3.619223910049246e-06
h018_hard_k125_top100_t0.0003,h018_hard,125,topk,0.0003,100,1.0,2.3316337445200565e-05,5.5641527431707885e-05,0.9969924812030074,4.779418482676947e-05,7.579429655108798e-05,0.0008880120316953884,99.9035323260042,0.005550196240333567,0.5,0.05905711826130542,0.29964595237967007,0.7701964000453106,0.674176582426022,0.38031495080872657,3.61922391004947e-06
h017_joint_k125_top500_t0.00015,h017_joint,125,topk,0.00015,500,1.0,3.3957019400759726e-05,5.765626397787608e-05,0.9924812030075187,4.672618316239477e-05,7.582793517997444e-05,0.0008837536155468128,490.24289456162586,0.02723571636453477,0.5,0.042045456968108144,0.40864028665030616,0.802839123768858,0.6599889953186558,0.43121026055697564,3.6263824387550136e-06
h012_public_k125_top500_t0.00015,h012_public,125,topk,0.00015,500,1.0,3.3960212653637646e-05,5.768836242721364e-05,0.9924812030075187,4.673164773398384e-05,7.582680851124765e-05,0.0008837220622644273,490.24310591902184,0.027235728106612324,0.5,0.04204513033985167,0.4086442005272954,0.8028397517975252,0.6599885760834491,0.4312109508107695,3.6376394993581018e-06
h018_hard_k125_elite100,h018_hard,125,elite,0.0,100,1.0,2.3501567172343803e-05,5.5981498180796534e-05,0.9969924812030074,4.779418482676947e-05,7.579429655108798e-05,0.0008880120316953884,100.0,0.005555555555555556,0.5,0.05904000000000001,0.3000000000000001,0.7700000000000005,0.6740000000000004,0.38050000000000017,3.865775802755971e-06
h018_submission_k125_elite100,h018_submission,125,elite,0.0,100,1.0,2.350156717234389e-05,5.598149818079827e-05,0.9969924812030074,4.7794184826770605e-05,7.579429655108795e-05,0.000888012031695389,100.0,0.005555555555555556,0.5,0.05904000000000001,0.3000000000000001,0.7700000000000005,0.6740000000000004,0.38050000000000017,3.865775802756493e-06
