file,resolved_path,mode,target_subset,top_k,alpha,fit_feature_set,fit_alpha,gradient_pred_delta_vs_h012,gradient_dot,public_bad_energy_mean,public_good_energy_mean,private_safe_mean,hs_agree_mean,mean_abs_delta_prob,max_abs_delta_prob,changed_cells,changed_rows,q2_share,known_file_collision
hitl/h028_public_private_gradient_jepa/submission_h028_pubgrad_descent_all_k30_a0p015_all_7a32bcdf.csv,/Users/kbsoo/Downloads/cl2/hitl/h028_public_private_gradient_jepa/submission_h028_pubgrad_descent_all_k30_a0p015_all_7a32bcdf.csv,descent,all,30,0.015,all,100.0,0.0006262163987186542,-3.5141936782353877e-09,2.6655391989578302e-09,0.0,1.4284801060821883,1.0,2.4726078363453442e-05,0.0030060212655265706,30,25,0.06666666666666667,False
hitl/h028_public_private_gradient_jepa/submission_h028_pubgrad_descent_all_k30_a0p03_all_59329604.csv,/Users/kbsoo/Downloads/cl2/hitl/h028_public_private_gradient_jepa/submission_h028_pubgrad_descent_all_k30_a0p03_all_59329604.csv,descent,all,30,0.03,all,100.0,0.0006200665597817408,-7.028387356470775e-09,5.3310783979156604e-09,0.0,1.4284801060821883,1.0,4.9501930523672654e-05,0.006013320223033192,30,25,0.06666666666666667,False
hitl/h028_public_private_gradient_jepa/submission_h028_pubgrad_descent_all_k30_a0p06_all_f1a47818.csv,/Users/kbsoo/Downloads/cl2/hitl/h028_public_private_gradient_jepa/submission_h028_pubgrad_descent_all_k30_a0p06_all_f1a47818.csv,descent,all,30,0.06,all,100.0,0.0006077668819079209,-1.405677471294155e-08,1.0662156795831321e-08,0.0,1.4284801060821883,1.0,9.920043574301923e-05,0.012030881518659164,30,25,0.06666666666666667,False
hitl/h028_public_private_gradient_jepa/submission_h028_pubgrad_descent_all_k30_a0p12_all_483aafd2.csv,/Users/kbsoo/Downloads/cl2/hitl/h028_public_private_gradient_jepa/submission_h028_pubgrad_descent_all_k30_a0p12_all_483aafd2.csv,descent,all,30,0.12,all,100.0,0.0005831675261602689,-2.81135494258831e-08,2.1324313591662642e-08,0.0,1.4284801060821883,1.0,0.00019916674691992237,0.024071756095423946,30,25,0.06666666666666667,False
hitl/h028_public_private_gradient_jepa/submission_h028_pubgrad_descent_all_k30_a0p22_all_0002993a.csv,/Users/kbsoo/Downloads/cl2/hitl/h028_public_private_gradient_jepa/submission_h028_pubgrad_descent_all_k30_a0p22_all_0002993a.csv,descent,all,30,0.22,all,100.0,0.0005421685999141938,-5.154150728078568e-08,3.909457491804818e-08,0.0,1.4284801060821883,1.0,0.00036736585792410776,0.04412417941978736,30,25,0.06666666666666667,False
hitl/h028_public_private_gradient_jepa/submission_h028_pubgrad_descent_all_k30_a0p36_all_9edffd5d.csv,/Users/kbsoo/Downloads/cl2/hitl/h028_public_private_gradient_jepa/submission_h028_pubgrad_descent_all_k30_a0p36_all_9edffd5d.csv,descent,all,30,0.36,all,100.0,0.0004847701031696818,-8.43406482776493e-08,6.397294077498793e-08,0.0,1.4284801060821883,1.0,0.0006058442307364929,0.07205666088946933,30,25,0.06666666666666667,False
hitl/h028_public_private_gradient_jepa/submission_h028_pubgrad_descent_all_k60_a0p015_all_389eed53.csv,/Users/kbsoo/Downloads/cl2/hitl/h028_public_private_gradient_jepa/submission_h028_pubgrad_descent_all_k60_a0p015_all_389eed53.csv,descent,all,60,0.015,all,100.0,0.0006199107979342547,-7.1173941264629934e-09,9.542458644269786e-08,0.0,1.2947253432190684,1.0,5.3136934487990096e-05,0.0032326368894027846,60,53,0.03333333333333333,False
hitl/h028_public_private_gradient_jepa/submission_h028_pubgrad_descent_all_k60_a0p03_all_f353449b.csv,/Users/kbsoo/Downloads/cl2/hitl/h028_public_private_gradient_jepa/submission_h028_pubgrad_descent_all_k60_a0p03_all_f353449b.csv,descent,all,60,0.03,all,100.0,0.0006074553582129452,-1.4234788252925987e-08,1.908491728853957e-07,0.0,1.2947253432190684,1.0,0.00010633312609736649,0.006466191011058553,60,53,0.03333333333333333,False
hitl/h028_public_private_gradient_jepa/submission_h028_pubgrad_descent_all_k60_a0p06_all_21a187c9.csv,/Users/kbsoo/Downloads/cl2/hitl/h028_public_private_gradient_jepa/submission_h028_pubgrad_descent_all_k60_a0p06_all_21a187c9.csv,descent,all,60,0.06,all,100.0,0.0005825444787703245,-2.8469576505851974e-08,3.816983457707914e-07,0.0,1.2947253432190684,1.0,0.00021289713168138138,0.012934969238868388,60,53,0.03333333333333333,False
hitl/h028_public_private_gradient_jepa/submission_h028_pubgrad_descent_all_k60_a0p12_all_f0187a7a.csv,/Users/kbsoo/Downloads/cl2/hitl/h028_public_private_gradient_jepa/submission_h028_pubgrad_descent_all_k60_a0p12_all_f0187a7a.csv,descent,all,60,0.12,all,100.0,0.0005327227198850867,-5.693915301170395e-08,7.633966915415828e-07,0.0,1.2947253432190684,1.0,0.0004266683618675998,0.025871626595060815,60,53,0.03333333333333333,False
