equation_set,prior_name,support_name,ridge_mult,floor,gain,power
e247_pre_h012,pre_h012_good_soft,identity_combo,1e-05,0.05,16.0,1.6
e247_pre_h012,anchor,identity_combo,1e-05,0.05,16.0,1.6
e247_pre_h012,e247,identity_combo,1e-05,0.05,16.0,1.6
e247_pre_h012,anchor,identity_combo,1e-05,0.1,9.0,1.0
e247_pre_h012,e247,identity_combo,1e-05,0.1,9.0,1.0
e247_pre_h012,pre_h012_good_soft,identity_combo,3e-05,0.05,16.0,1.6
e247_pre_h012,anchor,exact_support_plus_identity,1e-05,0.05,16.0,1.6
e247_pre_h012,e247,exact_support_plus_identity,1e-05,0.05,16.0,1.6
e247_pre_h012,pre_h012_good_soft,identity_combo,1e-05,0.1,9.0,1.0
e247_pre_h012,anchor,identity_combo,3e-05,0.05,16.0,1.6
e247_pre_h012,h012,joint_vector_cell,1e-05,0.05,16.0,1.6
e247_pre_h012,h012,joint_vector_cell,3e-05,0.05,16.0,1.6
e247_pre_h012,good_soft,joint_vector_cell,1e-05,0.05,16.0,1.6
e247_pre_h012,good_soft,joint_vector_cell,3e-05,0.05,16.0,1.6
e247_post_h012,h012,joint_vector_cell,1e-05,0.05,16.0,1.6
e247_post_h012,h012,joint_vector_cell,3e-05,0.05,16.0,1.6
e247_post_h012,h012,joint_vector_cell,0.0001,0.05,16.0,1.6
e247_post_h012,h012,joint_vector_cell,1e-05,0.1,9.0,1.0
e247_post_h012,h012,joint_vector_cell,0.0003,0.05,16.0,1.6
e247_post_h012,good_soft,joint_vector_cell,1e-05,0.05,16.0,1.6
e247_post_h012,h012,joint_vector_cell,3e-05,0.1,9.0,1.0
e247_post_h012,good_soft,joint_vector_cell,3e-05,0.05,16.0,1.6
h012_residual,anchor,joint_vector_cell,1e-05,0.05,16.0,1.6
h012_residual,h012,joint_vector_cell,1e-05,0.05,16.0,1.6
h012_residual,anchor,joint_vector_cell,3e-05,0.05,16.0,1.6
h012_residual,h012,joint_vector_cell,3e-05,0.05,16.0,1.6
h012_residual,anchor,memory_state,1e-05,0.05,16.0,1.6
h012_residual,h012,memory_state,1e-05,0.05,16.0,1.6
h012_residual,anchor,joint_vector_cell,1e-05,0.1,9.0,1.0
h012_residual,h012,joint_vector_cell,1e-05,0.1,9.0,1.0
h012_residual,good_soft,joint_vector_cell,1e-05,0.05,16.0,1.6
h012_residual,anchor,memory_state,1e-05,0.1,9.0,1.0
