q_source,row_prior,subset_size,label_mode,best_mae,median_mae,best_spearman,n_particles
h018hard,h019_row_weight,155,sample,0.00020282497980678664,0.0013410510085976588,0.9864661654121751,36
h012posterior,h035_score_public_row_subset,155,sample,0.00022677974517686184,0.002293218823851282,0.9593984962392801,36
h012posterior,h035_route_translator_score,95,temperature_sample,0.0002518897033673146,0.0030885067514736884,0.9007518796980076,24
h020vector,h030_score_public_row_subset,230,sample,0.0002541750242728994,0.0019070698151402092,0.975939849622716,36
joint_hard_mid,h013_late_social_phone,230,sample,0.000268444255857373,0.0015288851481156812,0.966917293231751,36
joint_hard_mid,h035_score_identity_combo,155,temperature_sample,0.0002784963812657767,0.0021036668116584563,0.957894736840786,24
h012posterior,h013_late_social_phone,230,sample,0.00028065942575539426,0.0013153646221311154,0.9323308270663851,36
h015feedback,h035_route_translator_score,190,sample,0.00028747840141707187,0.0015526752846687884,0.9563909774422916,36
h020vector,h035_private_safe_score,230,sample,0.00028944891690062203,0.0012762212262945806,0.9624060150362687,36
h017joint,h035_score_public_row_subset,190,sample,0.00029356982924164674,0.0012413959164347056,0.9789473684197043,36
h017joint,h030_score_no_h012_combo,230,temperature_sample,0.0002936967732801559,0.00247533234575739,0.9413533834573502,24
h018hard,uniform,190,sample,0.0002941274509513711,0.00154047389407721,0.9744360902242218,36
posterior_vector_mid,h035_score_public_row_subset,155,temperature_sample,0.0002945095406747805,0.0025253639239281953,0.9458646616528327,24
h012,h030_score_identity_combo,230,sample,0.00029502961369763165,0.0029350662656680406,0.9714285714272336,36
posterior_vector_mid,h019_row_weight,230,sample,0.00029559163694067885,0.0013946261234874502,0.9804511278181985,36
posterior_vector_mid,h035_score_public_row_subset,190,temperature_sample,0.000296718184641063,0.002783696268523617,0.975939849622716,24
h020vector,uniform,230,sample,0.00029689573126934915,0.0013920345727193566,0.9699248120287393,36
h012,h030_score_memory_public_combo,230,sample,0.00029919855663702616,0.002832536360423148,0.9563909774422918,36
posterior_vector_mid,h019_mean_abs_logit_move_to_proxy,155,sample,0.00030240659196356553,0.00212594174379201,0.9398496240588559,36
h017joint,h035_score_identity_combo,230,sample,0.0003064822143519647,0.0015562741426229983,0.9729323308257276,36
h012posterior,h019_inclusion_prob,230,sample,0.00030705348005271313,0.0011658891059094763,0.9473684210513267,36
h020vector,h013_calendar_pay_weekend,125,sample,0.0003075328500202794,0.002225510585074158,0.9939849624046462,36
h020vector,h030_score_public_row_subset,70,sample,0.00030867855091199663,0.003584629145493551,0.9819548872166927,36
h012,h013_body_calendar,190,sample,0.0003104423934133997,0.0034283547511761523,0.9488721804498208,36
h017joint,h013_late_social_phone,190,temperature_sample,0.0003110728007256259,0.0025926965173464636,0.9248120300739144,24
joint_hard_mid,h035_score_public_row_subset,230,sample,0.0003138284287333438,0.0014342121203623176,0.966917293231751,36
