candidate_id,file,resolved_path,family,components,component_count,changed_cells_vs_h012,changed_rows_vs_h012,mean_abs_prob_move_h012,max_abs_prob_move_h012,mean_abs_logit_move_h012,max_abs_logit_move_h012,route_equation_delta_vs_h012,route_equation_delta_iqr,h012posterior_delta_vs_h012,h036world_delta_vs_h012
h043_q2_top15_a0.08_c15_cf4f56c0,submission_h043_q2_top15_a0.08_c15_cf4f56c0.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a0.08_c15_cf4f56c0.csv,q2_top15_a0.08,q2_top15_a0.08,1,15,15,0.00023035348160379377,0.006323816227665535,0.0010598769060235467,0.03581437667173448,-1.4342396156809654e-05,6.900085125485406e-05,-1.572805954557904e-06,-2.1397121924727725e-06
h043_q2_top15_a0.14_c15_a571e8c6,submission_h043_q2_top15_a0.14_c15_a571e8c6.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a0.14_c15_a571e8c6.csv,q2_top15_a0.14,q2_top15_a0.14,1,15,15,0.0004025470203396995,0.010986013709512576,0.001854784585541175,0.06267515917553435,-2.4587741264117786e-05,0.000120757122407208,-2.508271069947396e-06,-3.514620680732624e-06
h043_q2_top15_a0.22_c15_9cbf98c2,submission_h043_q2_top15_a0.22_c15_9cbf98c2.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a0.22_c15_9cbf98c2.csv,q2_top15_a0.22,q2_top15_a0.22,1,15,15,0.0006313549077091043,0.017094458744251084,0.002914661491564698,0.0984895358472686,-3.756976608855101e-05,0.00018969794113743546,-3.4328985183472108e-06,-5.044762545288169e-06
h043_q2_top15_a0.34_c15_a64da2d9,submission_h043_q2_top15_a0.34_c15_a64da2d9.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a0.34_c15_a64da2d9.csv,q2_top15_a0.34,q2_top15_a0.34,1,15,15,0.0009728353809555626,0.026025776411750523,0.004504476850599963,0.15221110085486989,-5.5598067467801804e-05,0.00029332387747627367,-4.135737503589492e-06,-6.699282355060581e-06
h043_q2_top15_a0.42_c15_5c96067d,submission_h043_q2_top15_a0.42_c15_5c96067d.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a0.42_c15_5c96067d.csv,q2_top15_a0.42,q2_top15_a0.42,1,15,15,0.0011992983928016524,0.031825780911449275,0.005564353756623482,0.18802547752660437,-6.666040601162855e-05,0.00036249573716862026,-4.153519933917389e-06,-7.38147126902376e-06
h043_q2_top15_a0.5_c15_1fd637bc,submission_h043_q2_top15_a0.5_c15_1fd637bc.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a0.5_c15_1fd637bc.csv,q2_top15_a0.5,q2_top15_a0.5,1,15,15,0.0014247808148895049,0.03750264228826794,0.0066242306626469825,0.22383985419833818,-7.696292581150542e-05,0.000431454008682701,-3.814944352675158e-06,-7.732061224930712e-06
h043_q2_top15_a0.58_c15_f7536dde,submission_h043_q2_top15_a0.58_c15_f7536dde.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a0.58_c15_f7536dde.csv,q2_top15_a0.58,q2_top15_a0.58,1,15,15,0.0016492594519864475,0.04305671614590323,0.007684107568670501,0.25965423087007267,-8.651034114184429e-05,0.0005003158264871009,-3.123686620945555e-06,-7.755398261172269e-06
h043_q2_top15_a0.66_c15_e0b2860c,submission_h043_q2_top15_a0.66_c15_e0b2860c.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a0.66_c15_e0b2860c.csv,q2_top15_a0.66,q2_top15_a0.66,1,15,15,0.0018727118696250063,0.048488496918805524,0.008743984474694022,0.2954686075418076,-9.530743429116985e-05,0.0005691335029738046,-2.0834376212797998e-06,-7.455830815205965e-06
h043_q2_top15_a0.78_c15_cd5990d0,submission_h043_q2_top15_a0.78_c15_cd5990d0.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a0.78_c15_cd5990d0.csv,q2_top15_a0.78,q2_top15_a0.78,1,15,15,0.0022059190912311756,0.05640827282238181,0.010333799833729288,0.3491901725494082,-0.00010710683731399619,0.0006706331862491649,1.2319316965797868e-07,-6.4105398657992924e-06
h043_q2_top15_a0.92_c15_c7132f4d,submission_h043_q2_top15_a0.92_c15_c7132f4d.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_q2_top15_a0.92_c15_c7132f4d.csv,q2_top15_a0.92,q2_top15_a0.92,1,15,15,0.0025915877146380443,0.06530560317851364,0.012188584419270442,0.411865331724943,-0.00011877504465585122,0.000790784567902596,3.6627953606158103e-06,-4.304658259617288e-06
