q_source,row_prior,subset_size,label_mode,particles,best_mae,median_mae,best_spearman,lofo_mae,lofo_max_abs
h041_route_public_q,h048_support_public_not_private,190,sample,10,0.0007388093264610587,0.0018976620577772867,0.94135338345735,0.00014547990025508324,0.0006380370521731002
h048_q2_support_phase_q,h048_support_identity_sharp,75,sample,10,0.0008997666297852885,0.002652124300503088,0.9428571428558442,0.00017113039976196024,0.000759634890885515
h048_q2_coretail_q,h048_support_identity,95,sample,10,0.0004509082401248108,0.0024029704545742887,0.948872180449821,0.00017782782765958256,0.0008960576108953573
h012posterior,uniform,155,sample,10,0.0005452502162102454,0.0010246911679161175,0.9127819548859609,0.00018412305659426244,0.000741763301908064
posterior_vector_mid,h048_public_core_tail,190,sample,10,0.0005991684416745826,0.0017929022687543901,0.94135338345735,0.000184273161463431,0.0009161999276938899
h048_q2_public_soft_q,h041_public_not_private,155,sample,10,0.0006709999424719738,0.0012178020342781828,0.9563909774422918,0.000193846643227204,0.0008449269092390809
h012,h041_public_not_private,155,temperature_sample,7,0.0007116445547710092,0.0014299836879244486,0.9293233082693967,0.00021489600627294935,0.0009737773680761203
h041_route_public_q,h048_core_tail_prior,190,sample,10,0.00041641778032718214,0.0013382974744304758,0.9473684210513267,0.0002257887456524714,0.0010278844599546678
h048_q2_public_soft_q,h048_support_identity,95,sample,10,0.0008651511038618619,0.0020384354112902734,0.9052631578934899,0.0002276466460542804,0.0011541248590212078
h012,h048_support_public,95,sample,10,0.0005181936658878202,0.0018625116042541193,0.8601503759386651,0.00023484740687722158,0.0007174443995287307
h012posterior,h048_support_public_not_private,190,sample,10,0.0005190813697688063,0.0018748024887890132,0.9609022556377742,0.00023568317155583845,0.0007243326550963394
posterior_vector_mid,h048_support_identity_sharp,155,sample,10,0.00043480609881327883,0.0012442865446752433,0.9473684210513268,0.0002359834253384297,0.0006667566248320204
posterior_vector_mid,h048_support_public,155,sample,10,0.000611094910258379,0.0013267130281759318,0.9684210526302451,0.00023711684283443633,0.0007945367865239104
h048_q2_public_soft_q,h048_support_public,155,sample,10,0.0008106684808147687,0.001546457230978415,0.9503759398483151,0.00025832089089635417,0.0006677368620961917
h041_route_public_q,h048_core_tail_prior,95,sample,10,0.0007542682568694561,0.0035523858682661594,0.9293233082693969,0.0002601003984661414,0.0009569244203674349
h041_route_public_q,uniform,125,sample,10,0.0005619080832893544,0.001965667980736369,0.9203007518784317,0.00026027868791218925,0.0010440930671585316
h012,h048_support_identity_sharp,125,sample,10,0.0006423483019082812,0.002064142963833995,0.9428571428558444,0.0002607681069124727,0.0009524027769659341
h048_q2_support_phase_q,h048_support_public_not_private,190,sample,10,0.0004439738006382787,0.0014612170922393562,0.9593984962392802,0.00026415750965223664,0.0014114246687134454
h048_q2_coretail_q,h041_public_route,190,sample,10,0.0006557411099985444,0.001710651945610604,0.9398496240588559,0.00026720675324707585,0.0015556471038294176
h012,h048_support_identity,190,sample,10,0.0008870023676455962,0.002230831440039302,0.9278195488709027,0.00026795041935880347,0.0013226827926838079
h048_q2_public_soft_q,h041_memory_disagree_public,155,sample,10,0.0007754746434753218,0.0023761542126134586,0.948872180449821,0.0002691738949536399,0.0013934717828440052
h012,h048_public_core_tail,75,sample,10,0.0011821180943132443,0.004604345460681568,0.8541353383446884,0.0002758659778792095,0.000986273284957791
h012,h048_support_public,125,sample,10,0.0009955240883220858,0.002058795487312335,0.9112781954874667,0.0002775683734336426,0.001840435672901616
h048_q2_support_phase_q,h041_public_route,75,sample,10,0.000878426754216422,0.0020730212081846878,0.8977443609010193,0.00027768702289333104,0.0007686516309346192
