particle,q_source,row_prior,subset_size,label_mode,mae,rmse,max_abs,spearman,mean_pred_delta,std_pred_delta
11609,h048_q2_public_soft_q,h048_support_identity_sharp,190,sample,0.0003193837484759319,0.00044525599377168916,0.0009133362728716427,0.8992481202995134,0.00949154281448596,0.0015561784897205066
7685,h041_route_private_tempered_q,h048_public_core_tail,190,sample,0.00032086668945203084,0.0005344982045584989,0.0019104909452304936,0.9443609022543384,0.009263325122270396,0.0012650570884556332
3043,h012posterior,h048_public_core_tail,155,sample,0.000341973668379774,0.0005807261426643492,0.0020545656928808356,0.8345864661642641,0.009317421202267471,0.0014399517361193797
2927,h012posterior,h048_core_tail_prior,190,sample,0.00036147784599593327,0.0006077726498252366,0.0020947050689200733,0.8451127819537233,0.009546137367784292,0.001643043301612132
10216,h048_q2_coretail_q,h048_support_public,190,temperature_sample,0.00038706851839507824,0.0006037565838719882,0.0016163210410516191,0.9233082706754201,0.009412544635987643,0.0017564263377930981
5134,h041_route_public_q,h041_memory_disagree_public,125,temperature_sample,0.0004045589413345055,0.0007052106595092447,0.002731724797024317,0.6676691729314111,0.009293924656145081,0.00153274234716505
3900,posterior_vector_mid,h048_support_identity_sharp,190,sample,0.00041009487510351803,0.0006880920980326472,0.002185825073974723,0.9233082706754201,0.009397290034296528,0.0015369778038281797
1949,h012posterior,h041_public_not_private,190,sample,0.00041090097912891316,0.0008311667693749813,0.0033982798063393535,0.8661654135326415,0.00913798365277393,0.001090786697025675
2882,h012posterior,h048_core_tail_prior,125,sample,0.0004145478639646483,0.0007403773229914598,0.0026986646140809978,0.9503759398483151,0.009242131840284423,0.0012206869768135494
6003,h041_route_public_q,h048_core_tail_prior,190,sample,0.00041641778032718214,0.0005484524497075563,0.001208682271024799,0.9473684210513267,0.00968947593740439,0.0016779781071410754
4050,posterior_vector_mid,h048_support_public,190,temperature_sample,0.0004169881048008398,0.0006121257521870625,0.001700400293458637,0.9248120300739144,0.009490910760792443,0.0015725295765462448
2236,h012posterior,h048_support_identity,190,temperature_sample,0.00042643266420380423,0.0005536528971575477,0.0011899193862081724,0.9338345864648794,0.00947859267256882,0.0015650415313324538
5012,h041_route_public_q,h041_public_not_private,155,temperature_sample,0.0004305072134701235,0.0007667453653412676,0.0028712695798021153,0.9609022556377743,0.00965356594494407,0.0018185267308066743
3885,posterior_vector_mid,h048_support_identity_sharp,155,sample,0.00043480609881327883,0.0007651859870765552,0.002811626182678528,0.8917293233070426,0.009089970367369509,0.0011414530358848421
2229,h012posterior,h048_support_identity,190,sample,0.0004389481384448884,0.0008145088003269917,0.002251304034640753,0.8977443609010193,0.009085094635709525,0.0011198091715018794
8809,h048_q2_support_phase_q,h048_support_public_not_private,190,sample,0.0004439738006382787,0.000791151778047455,0.002102999538935609,0.8045112781943806,0.00922766024846108,0.0014622183061157564
5581,h041_route_public_q,h048_support_public,190,sample,0.00044637317035035266,0.0007445415874014235,0.0022459519188551443,0.6827067669163529,0.009368110945506982,0.001439851935876581
1081,h012,h048_support_public_not_private,155,sample,0.00044709064855126996,0.0006818694517190739,0.0017717403684876804,0.8721804511266185,0.00923650576289832,0.0014938622092506562
5531,h041_route_public_q,h048_support_public,95,temperature_sample,0.0004476545367856689,0.0006320191920353943,0.0015877187515409095,0.8466165413522174,0.009474921939059064,0.001553988910517324
4612,posterior_vector_mid,h048_public_core_tail,190,temperature_sample,0.00044780877870685123,0.0006453398542687616,0.0021153785835883905,0.9037593984949958,0.009215697910114553,0.0017635324505737178
9862,h048_q2_coretail_q,h048_support_identity,95,sample,0.0004509082401248108,0.000779676961717363,0.002509015942757464,0.720300751878707,0.009415628218750716,0.0017573073630308509
5164,h041_route_public_q,h041_memory_disagree_public,190,sample,0.00045870519905404463,0.0007123772872785898,0.002328584821761008,0.7518796992470848,0.009345450068881194,0.0018021591933004648
4334,posterior_vector_mid,h048_support_q2regime,190,temperature_sample,0.00046095735063237325,0.0007173649784632847,0.0024085147701551277,0.9654135338332568,0.009193326648944037,0.001647204880396569
4616,posterior_vector_mid,h048_public_core_tail,190,temperature_sample,0.0004617371925542591,0.0008176099421211842,0.0025103880388530984,0.9624060150362684,0.009821518812200444,0.002005702501124858
2795,h012posterior,h048_support_q2regime,190,temperature_sample,0.00046215870052962644,0.0006197283998376095,0.0018169910180709497,0.9533834586453035,0.009293758345305473,0.0017249853590009857
1463,h012,h048_public_core_tail,95,sample,0.0004682523549601488,0.000627494279458289,0.001532324169318186,0.9654135338332569,0.009730518400799188,0.0015196403691344897
11321,h048_q2_public_soft_q,h041_memory_disagree_public,190,sample,0.0004687596237427532,0.0006171265759758068,0.0014597469309529654,0.9007518796980075,0.00954719009460121,0.001389589207517821
8221,h048_q2_support_phase_q,h041_memory_disagree_public,155,sample,0.0004688417388847287,0.0006410502720951674,0.0016430487920769,0.8887218045100541,0.009314936802019438,0.0015819323179261128
4820,h041_route_public_q,h041_public_route,95,sample,0.0004831779738314274,0.0007029809189920702,0.0021804976426122516,0.8827067669160776,0.009535918751242614,0.001302207751393226
10441,h048_q2_coretail_q,h048_support_q2regime,125,sample,0.0004853191902769548,0.000787426948007409,0.0026471493525888727,0.9398496240588559,0.009355341383264236,0.0019282588416939367
11044,h048_q2_public_soft_q,h041_public_route,190,sample,0.0004931080987438491,0.0008157153213663294,0.002734683847028817,0.9609022556377743,0.00965945047870566,0.001667896764442108
8910,h048_q2_support_phase_q,h048_support_q2regime,125,temperature_sample,0.0004942347179509927,0.000721067760462802,0.0019122231641865422,0.921804511276926,0.009533120901998152,0.0015974681450147423
2309,h012posterior,h048_support_identity_sharp,95,sample,0.0004978426014310709,0.000621479114668157,0.0013570865139550577,0.8857142857130659,0.009629894554337971,0.001540365824215583
3884,posterior_vector_mid,h048_support_identity_sharp,155,sample,0.0005003081558063503,0.0007316401772324197,0.0022018635882257703,0.7518796992470848,0.008970130899181677,0.0016428394307746068
9368,h048_q2_coretail_q,uniform,190,sample,0.0005095483847757156,0.0009418977872223254,0.003010771576034213,0.7233082706756956,0.009063033630675248,0.001318779106543821
4015,posterior_vector_mid,h048_support_public,125,temperature_sample,0.0005096448556812033,0.0007989934625676222,0.002204647040138478,0.6781954887208704,0.009275907176001717,0.001496299499072312
2586,h012posterior,h048_support_public_not_private,95,sample,0.0005128382730154535,0.0007938946986217697,0.0026412813448847897,0.9338345864648794,0.009282127415919536,0.0018128827376055908
900,h012,h048_support_public,95,sample,0.0005181936658878202,0.0008098562077458088,0.0027157448043412247,0.8586466165401708,0.009573784389640242,0.002000784393633822
9928,h048_q2_coretail_q,h048_support_identity,190,sample,0.0005186715326265873,0.0007909242985694829,0.002043002923277153,0.8917293233070426,0.009169279065370703,0.0012974759987996218
9553,h048_q2_coretail_q,h041_public_not_private,59,temperature_sample,0.0005186945242053489,0.0008364923076096669,0.0029197495055635746,0.8586466165401707,0.009235451640631016,0.0015333419634088925
2645,h012posterior,h048_support_public_not_private,190,sample,0.0005190813697688063,0.0008401860291297874,0.002728237492241192,0.9308270676678908,0.009260036610044193,0.001314673951701127
3444,posterior_vector_mid,h041_public_not_private,125,sample,0.0005193574915966651,0.0008440695667261725,0.002456172916302783,0.8496240601492058,0.009403966572239708,0.001550843416940686
9792,h048_q2_coretail_q,h041_memory_disagree_public,190,temperature_sample,0.000524196938169701,0.0007540281599898665,0.0021050657702901716,0.8977443609010193,0.009425367113295134,0.0016378116881019952
2173,h012posterior,h048_support_identity,95,temperature_sample,0.0005243982224347189,0.000710472020932914,0.0016680347384089907,0.8977443609010191,0.00914211162338903,0.0016684497013784562
4462,posterior_vector_mid,h048_core_tail_prior,190,sample,0.0005259666068386745,0.0007252047129114923,0.0017625727888408924,0.8300751879687815,0.009484520280134617,0.0016493306522826806
10201,h048_q2_coretail_q,h048_support_public,190,sample,0.0005272315477334172,0.0006643157660951715,0.0016848932224236262,0.8646616541341474,0.008941419843852418,0.0013796978420309112
5228,h041_route_public_q,h048_support_identity,75,sample,0.0005295340795571686,0.0006891638263145645,0.0015773674342419112,0.780451127818474,0.009127102269472609,0.0016749304646030145
267,h012,h041_public_route,190,sample,0.0005297172692409101,0.000729631835877766,0.0017699895675450782,0.8827067669160774,0.00959027548538043,0.0019285473151581115
5005,h041_route_public_q,h041_public_not_private,155,sample,0.0005307665039990621,0.0007098731857434789,0.0017918832184076593,0.914285714284455,0.009280192399709312,0.0018741188347674036
8243,h048_q2_support_phase_q,h041_memory_disagree_public,190,sample,0.0005312456992050588,0.0006682147523662736,0.0014902641416502972,0.921804511276926,0.008902083998729274,0.0013754912658786712
8106,h048_q2_support_phase_q,h041_public_not_private,190,sample,0.0005347077558415847,0.0008633682988565747,0.0028983513555874262,0.867669172931136,0.009637586611640565,0.0016575950941986781
1184,h012,h048_support_q2regime,95,sample,0.0005402328229678427,0.0007553238191606796,0.0020512039877280657,0.9518796992468093,0.009689911818840368,0.0014745646804248328
1662,h012posterior,uniform,190,sample,0.0005410862826374454,0.0007714492018155958,0.0022273228163961056,0.8721804511266185,0.00926835200118065,0.0010082483269303973
9185,h048_q2_support_phase_q,h048_public_core_tail,125,sample,0.0005424159183913429,0.0010203740132879973,0.003606952954642929,0.7669172932320266,0.009081068988581121,0.0013797559820118172
4282,posterior_vector_mid,h048_support_q2regime,125,sample,0.000543883278441312,0.0007247586231370268,0.0020642045016990296,0.9172932330814433,0.00916110014931236,0.0016585730357701017
4469,posterior_vector_mid,h048_core_tail_prior,190,sample,0.0005443018688051712,0.0009106260090130351,0.002957275838346379,0.9203007518784317,0.00912822789255968,0.0011374603670989863
1641,h012posterior,uniform,155,sample,0.0005452502162102454,0.0009332031387824097,0.0026266397831103397,0.7233082706756955,0.009499152217170933,0.0019249521041238124
1601,h012posterior,uniform,95,sample,0.0005458457402086979,0.0009302633966701697,0.003040616685605453,0.6481203007509869,0.009082167818070214,0.0014155708654856583
5260,h041_route_public_q,h048_support_identity,125,sample,0.0005475119625220168,0.0007663527202517256,0.0022159333640294557,0.8360902255627582,0.00964027399101746,0.001684796075363331
5834,h041_route_public_q,h048_support_q2regime,125,temperature_sample,0.0005478482317897806,0.0007423726734883203,0.0020868144256322232,0.8917293233070426,0.0095711229305172,0.0013085836515710494
4461,posterior_vector_mid,h048_core_tail_prior,190,sample,0.0005480865492804188,0.0010513435111611843,0.004259739802286399,0.9248120300739142,0.00941165571651217,0.0020916538980823096
10349,h048_q2_coretail_q,h048_support_public_not_private,190,sample,0.0005492049789160556,0.000884718129338842,0.0024667885984464167,0.666165413532917,0.009084910812625533,0.0013341924645060854
3020,h012posterior,h048_public_core_tail,125,sample,0.0005516121462837612,0.0008425108315620295,0.002404566052521255,0.7488721804500964,0.009102123349203264,0.0011436957615996268
1956,h012posterior,h041_public_not_private,190,temperature_sample,0.0005517815530315044,0.0008140526163551992,0.0022208360683658983,0.8315789473672757,0.009609881592213607,0.0016181615011954084
10464,h048_q2_coretail_q,h048_support_q2regime,155,sample,0.0005535060789636522,0.0007389901744553288,0.0013769283092045469,0.8766917293221009,0.00936838617330918,0.0015964306538925192
5705,h041_route_public_q,h048_support_public_not_private,155,sample,0.0005541042227859368,0.0007958944871181679,0.0017603232643138584,0.7909774436079332,0.009289772506992536,0.0013137295338752646
6528,h041_route_private_tempered_q,h041_public_not_private,125,sample,0.0005572361137610913,0.0008559775526231981,0.0029296562760777415,0.5609022556383252,0.00924076890992309,0.0018725241337949204
5167,h041_route_public_q,h041_memory_disagree_public,190,sample,0.0005585976092000673,0.0008844039857166808,0.0027525469553181803,0.8812030075175833,0.009072017634925673,0.0011240997292986657
4701,h041_route_public_q,uniform,125,sample,0.0005619080832893544,0.0007773169737711185,0.002322209054409304,0.9007518796980076,0.009528344277156594,0.0017231362823512686
1247,h012,h048_support_q2regime,190,sample,0.0005623073197940468,0.0008872105588839138,0.0030790352883727544,0.7233082706756956,0.009454933528765787,0.0015934788388136465
8191,h048_q2_support_phase_q,h041_memory_disagree_public,95,temperature_sample,0.0005623079738498366,0.0009683786857692565,0.003548993355096841,0.7744360902244973,0.009662555834344572,0.002004643352076456
9754,h048_q2_coretail_q,h041_memory_disagree_public,125,temperature_sample,0.0005627225783709065,0.0007250146403905214,0.0019289148908967439,0.7443609022546139,0.009564184083042509,0.0013979035813604073
8389,h048_q2_support_phase_q,h048_support_identity,190,sample,0.0005630928917085978,0.00078249145770904,0.0017517797423472932,0.8315789473672758,0.008957618692042453,0.0014390463466232898
4589,posterior_vector_mid,h048_public_core_tail,155,sample,0.0005636013046495877,0.000865077453575084,0.0028934863109583006,0.7353383458636488,0.00951416928317817,0.0016399130708657217
5545,h041_route_public_q,h048_support_public,125,sample,0.0005678383837546053,0.0010867595867863058,0.0037039045356627495,0.7624060150365439,0.009362140931317932,0.0020545603445527635
4146,posterior_vector_mid,h048_support_public_not_private,125,sample,0.000571490148755396,0.0009973516869203163,0.003060649889075416,0.8661654135326415,0.009526866666564052,0.002111990001869343
