candidate_id,file,resolved_path,rollback_k,alpha,changed_cells_vs_h042,changed_rows_vs_h042,protected_h042_q2row_changed_cells,h055_posterior_delta_vs_h042,Q1_changed_vs_h042,Q2_changed_vs_h042,Q3_changed_vs_h042,S1_changed_vs_h042,S2_changed_vs_h042,S3_changed_vs_h042,S4_changed_vs_h042
h058_private_tail_eject_k120_a0p55_ae06dc80,submission_h058_private_tail_eject_k120_a0p55_ae06dc80.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k120_a0p55_ae06dc80.csv,120,0.55,120,95,0,-2.0193072492569186e-05,23,14,27,14,7,22,13
h058_private_tail_eject_k120_a0p75_afa97a30,submission_h058_private_tail_eject_k120_a0p75_afa97a30.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k120_a0p75_afa97a30.csv,120,0.75,120,95,0,-1.908360315749924e-05,23,14,27,14,7,22,13
h058_private_tail_eject_k120_a0p85_a5012b04,submission_h058_private_tail_eject_k120_a0p85_a5012b04.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k120_a0p85_a5012b04.csv,120,0.85,120,95,0,-1.6831486356227998e-05,23,14,27,14,7,22,13
h058_private_tail_eject_k120_a1p0_3b53537d,submission_h058_private_tail_eject_k120_a1p0_3b53537d.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k120_a1p0_3b53537d.csv,120,1.0,120,95,0,-1.1326954427737235e-05,23,14,27,14,7,22,13
h058_private_tail_eject_k240_a0p55_8fa65ab2,submission_h058_private_tail_eject_k240_a0p55_8fa65ab2.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k240_a0p55_8fa65ab2.csv,240,0.55,240,148,0,6.221445840615125e-06,40,25,46,31,27,40,31
h058_private_tail_eject_k240_a0p75_5bc5126b,submission_h058_private_tail_eject_k240_a0p75_5bc5126b.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k240_a0p75_5bc5126b.csv,240,0.75,240,148,0,2.527601692403625e-05,40,25,46,31,27,40,31
h058_private_tail_eject_k240_a0p85_12ca986d,submission_h058_private_tail_eject_k240_a0p85_12ca986d.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k240_a0p85_12ca986d.csv,240,0.85,240,148,0,3.816433171344169e-05,40,25,46,31,27,40,31
h058_private_tail_eject_k240_a1p0_0aeaf0d9,submission_h058_private_tail_eject_k240_a1p0_0aeaf0d9.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k240_a1p0_0aeaf0d9.csv,240,1.0,240,148,0,6.1699938390114e-05,40,25,46,31,27,40,31
h058_private_tail_eject_k360_a0p55_baa131f0,submission_h058_private_tail_eject_k360_a0p55_baa131f0.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k360_a0p55_baa131f0.csv,360,0.55,360,177,0,6.288072157323299e-05,61,32,61,49,46,62,49
h058_private_tail_eject_k360_a0p75_b7809181,submission_h058_private_tail_eject_k360_a0p75_b7809181.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k360_a0p75_b7809181.csv,360,0.75,360,177,0,0.0001151247868935723,61,32,61,49,46,62,49
h058_private_tail_eject_k360_a0p85_dfe0ca0a,submission_h058_private_tail_eject_k360_a0p85_dfe0ca0a.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k360_a0p85_dfe0ca0a.csv,360,0.85,360,177,0,0.0001471390677044715,61,32,61,49,46,62,49
h058_private_tail_eject_k360_a1p0_4d094f0e,submission_h058_private_tail_eject_k360_a1p0_4d094f0e.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k360_a1p0_4d094f0e.csv,360,1.0,360,177,0,0.0002025367176898829,61,32,61,49,46,62,49
h058_private_tail_eject_k500_a0p55_138bba8f,submission_h058_private_tail_eject_k500_a0p55_138bba8f.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k500_a0p55_138bba8f.csv,500,0.55,500,197,0,0.0001758844934892645,83,42,76,66,69,85,79
h058_private_tail_eject_k500_a0p75_14dcf867,submission_h058_private_tail_eject_k500_a0p75_14dcf867.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k500_a0p75_14dcf867.csv,500,0.75,500,197,0,0.0002898164910383194,83,42,76,66,69,85,79
h058_private_tail_eject_k500_a0p85_5bf05a14,submission_h058_private_tail_eject_k500_a0p85_5bf05a14.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k500_a0p85_5bf05a14.csv,500,0.85,500,197,0,0.0003568075159118278,83,42,76,66,69,85,79
h058_private_tail_eject_k500_a1p0_2ae341b8,submission_h058_private_tail_eject_k500_a1p0_2ae341b8.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k500_a1p0_2ae341b8.csv,500,1.0,500,197,0,0.0004698448166274849,83,42,76,66,69,85,79
h058_private_tail_eject_k650_a0p55_3fab1717,submission_h058_private_tail_eject_k650_a0p55_3fab1717.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k650_a0p55_3fab1717.csv,650,0.55,650,203,0,0.00038959271352623226,106,49,86,93,102,111,103
h058_private_tail_eject_k650_a0p75_d6bf8794,submission_h058_private_tail_eject_k650_a0p75_d6bf8794.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k650_a0p75_d6bf8794.csv,650,0.75,650,203,0,0.0006197003550478808,106,49,86,93,102,111,103
h058_private_tail_eject_k650_a0p85_ebc2e41b,submission_h058_private_tail_eject_k650_a0p85_ebc2e41b.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k650_a0p85_ebc2e41b.csv,650,0.85,650,203,0,0.000752548203374892,106,49,86,93,102,111,103
h058_private_tail_eject_k650_a1p0_5764d8d8,submission_h058_private_tail_eject_k650_a1p0_5764d8d8.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k650_a1p0_5764d8d8.csv,650,1.0,650,203,0,0.0009741336450139748,106,49,86,93,102,111,103
h058_private_tail_eject_k800_a0p55_b1bbe862,submission_h058_private_tail_eject_k800_a0p55_b1bbe862.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k800_a0p55_b1bbe862.csv,800,0.55,800,205,0,0.0007881148571013963,119,56,97,124,132,141,131
h058_private_tail_eject_k800_a0p75_e1fd2dd1,submission_h058_private_tail_eject_k800_a0p75_e1fd2dd1.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k800_a0p75_e1fd2dd1.csv,800,0.75,800,205,0,0.001232180959837792,119,56,97,124,132,141,131
h058_private_tail_eject_k800_a0p85_9f40f41c,submission_h058_private_tail_eject_k800_a0p85_9f40f41c.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k800_a0p85_9f40f41c.csv,800,0.85,800,205,0,0.0014870056553409894,119,56,97,124,132,141,131
h058_private_tail_eject_k800_a1p0_dd30ff65,submission_h058_private_tail_eject_k800_a1p0_dd30ff65.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k800_a1p0_dd30ff65.csv,800,1.0,800,205,0,0.001913470372004955,119,56,97,124,132,141,131
h058_private_tail_eject_k943_a0p55_1853ea5b,submission_h058_private_tail_eject_k943_a0p55_1853ea5b.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k943_a0p55_1853ea5b.csv,943,0.55,943,205,0,0.0018014578674659942,133,60,117,155,170,156,152
h058_private_tail_eject_k943_a0p75_c790a3ed,submission_h058_private_tail_eject_k943_a0p75_c790a3ed.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k943_a0p75_c790a3ed.csv,943,0.75,943,205,0,0.002937749120620725,133,60,117,155,170,156,152
h058_private_tail_eject_k943_a0p85_e129dc83,submission_h058_private_tail_eject_k943_a0p85_e129dc83.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k943_a0p85_e129dc83.csv,943,0.85,943,205,0,0.0037167317175968995,133,60,117,155,170,156,152
h058_private_tail_eject_k943_a1p0_e41dad87,submission_h058_private_tail_eject_k943_a1p0_e41dad87.csv,/Users/kbsoo/Downloads/cl2/hitl/h058_private_tail_ejection_jepa/submission_h058_private_tail_eject_k943_a1p0_e41dad87.csv,943,1.0,943,205,0,0.005489352547247139,133,60,117,155,170,156,152
