fold,target,mae,rmse,spearman,auc_if_binary,task
0,h068_cell_health,0.13981905978541911,0.17601434649862863,0.31282399523522963,0.6446889410241889,story_to_h068_health
1,h068_cell_health,0.1376130124916596,0.1736637393828228,0.24605113058869107,0.5952157231227,story_to_h068_health
2,h068_cell_health,0.15160799667315988,0.19736999014965315,0.29830185948531546,0.631705292036676,story_to_h068_health
3,h068_cell_health,0.14600314709851916,0.17972213464706974,0.29220309215423096,0.6441589811155028,story_to_h068_health
4,h068_cell_health,0.1439074297948731,0.17869432945354793,0.2677367407152051,0.6381260521885521,story_to_h068_health
0,h068_selected_cell,0.4702471538682988,0.4881105581501071,0.11637365889849229,0.5685576106136854,story_to_h068_selected
1,h068_selected_cell,0.4805972378505537,0.49326840600522315,0.03278394017445911,0.5192494968512628,story_to_h068_selected
2,h068_selected_cell,0.4778834267549651,0.4891000930808903,0.02093118314931436,0.512408179471908,story_to_h068_selected
3,h068_selected_cell,0.4815832341726796,0.4943319106199342,-0.038342740837160876,0.47737283319124757,story_to_h068_selected
4,h068_selected_cell,0.48379570947227213,0.496771688773504,-0.03368665558421501,0.4802112753548766,story_to_h068_selected
0,latent_shortcut_energy,0.225217602175194,0.2688840692536671,0.15204924599325878,0.6040879314688838,story_to_shortcut
1,latent_shortcut_energy,0.22732853264360053,0.26977215982245467,0.135947618643214,0.5699447303220888,story_to_shortcut
2,latent_shortcut_energy,0.26803593181664337,0.306395709536758,0.1711126607444183,0.5791078305519897,story_to_shortcut
3,latent_shortcut_energy,0.21371733550683647,0.254754938886153,0.20021547699338518,0.5947876973326075,story_to_shortcut
4,latent_shortcut_energy,0.20349453957854355,0.2476977604529574,0.12009121308130957,0.5646729104583511,story_to_shortcut
0,h068_cell_health,0.06041213933937443,0.0799310815118482,0.9054427998052528,0.9637974273926058,story_route_to_h068_health
1,h068_cell_health,0.05769109318932578,0.08040850587602424,0.8833319530812765,0.9665648735416178,story_route_to_h068_health
2,h068_cell_health,0.06646087421173935,0.0858633095675671,0.8992801941566283,0.9579813731860516,story_route_to_h068_health
3,h068_cell_health,0.0657285868610735,0.08943620112745458,0.8749588137405686,0.9619675010979358,story_route_to_h068_health
4,h068_cell_health,0.05824606166951895,0.07777226383532902,0.905894858053944,0.9662773569023568,story_route_to_h068_health
0,h068_selected_cell,0.4649871182763837,0.4843543156528093,0.16429875007499242,0.5967910594078819,story_route_to_h068_selected
1,h068_selected_cell,0.4798369653011024,0.4901864488640639,0.07032238094757502,0.5412906576640915,story_route_to_h068_selected
2,h068_selected_cell,0.48397993846017984,0.49911049717380507,-0.03829011104114574,0.4773013036860565,story_route_to_h068_selected
3,h068_selected_cell,0.47436284411100044,0.4901085535622847,0.05730343685553713,0.5338164251207729,story_route_to_h068_selected
4,h068_selected_cell,0.48061809472071426,0.49415159629226735,0.02001218371592384,0.5117558595899204,story_route_to_h068_selected
0,latent_shortcut_energy,0.1252311376153756,0.1486364392079883,0.8362834466656762,0.9112181909800958,story_route_to_shortcut
1,latent_shortcut_energy,0.13349592103209232,0.16395305495857732,0.7922521968425811,0.8581093958452449,story_route_to_shortcut
2,latent_shortcut_energy,0.15140067359386383,0.18111492792590045,0.8180575475435294,0.8643774069319641,story_route_to_shortcut
3,latent_shortcut_energy,0.12366514486537512,0.1554901563804639,0.790891264706617,0.8781981491562331,story_route_to_shortcut
4,latent_shortcut_energy,0.1265272243490355,0.1505295472358605,0.7930424282552736,0.867745139775791,story_route_to_shortcut
