top_n,selected_cells,selected_rows,mean_true_opp_rank,mean_true_same_rank,mean_true_margin_rank,mean_h073_bridge,mean_h068_health,mean_public,mean_invariant,mean_shortcut_energy,mean_cell_gain,q2_cells,h050_null,iter,kind,overlap_with_real
360,360,133,0.7785063492063494,0.22812301587301584,0.7825492063492063,0.7175027777777779,0.641573561904762,0.7047512698412699,0.6001268650793651,0.14191757936507932,0.0027013236971903404,16,0,-1,real,
520,520,169,0.724689010989011,0.2790296703296703,0.7249989010989011,0.6691726978021979,0.6003638616483516,0.6743024395604396,0.5681065659340659,0.18841879120879115,0.0023312784363363824,37,0,-1,real,
700,700,181,0.6633151020408163,0.3319595918367347,0.6608195918367347,0.6157360489795919,0.5529347497959184,0.6270194367346938,0.5547836857142857,0.24357887755102037,0.0019659806839403848,73,0,-1,real,
360,360,138,0.7096936507936508,0.298231746031746,0.7086142857142856,0.6805769603174604,0.6196636215873017,0.6717557619047618,0.5815005317460317,0.2053156349206349,0.0019060975461015124,7,0,0,target_stratified_bad_axis_shuffle,0.7111111111111111
520,520,160,0.6514384615384615,0.3595532967032967,0.6477131868131868,0.6355386153846154,0.5821201079120879,0.6402765824175823,0.5715992582417582,0.25212576923076924,0.001966612315953209,28,0,0,target_stratified_bad_axis_shuffle,0.7769230769230769
700,700,174,0.6039151020408163,0.407255918367347,0.5993755102040816,0.5929038489795919,0.5479188746938776,0.6042756979591837,0.5639151142857143,0.2979976326530612,0.0017944537977014198,51,0,0,target_stratified_bad_axis_shuffle,0.84
360,360,135,0.6950000000000001,0.32876349206349204,0.6898920634920634,0.6829963492063493,0.6281688076190477,0.6833074126984127,0.5849344206349206,0.20293154761904758,0.0021772564942985993,8,0,1,target_stratified_bad_axis_shuffle,0.7027777777777777
520,520,161,0.6516417582417583,0.366693956043956,0.6458967032967032,0.6365444120879121,0.5849674924175824,0.6410484835164836,0.5754675274725276,0.2519692307692308,0.002018837645598841,24,0,1,target_stratified_bad_axis_shuffle,0.7865384615384615
700,700,179,0.6148522448979592,0.39667959183673474,0.6105330612244898,0.5911576040816326,0.5464553375510204,0.604115706122449,0.5606666857142857,0.30430220408163267,0.0017817303602598341,56,0,1,target_stratified_bad_axis_shuffle,0.84
360,360,138,0.7209190476190476,0.30101746031746024,0.7135650793650794,0.6869653253968254,0.6270705355555557,0.6848033015873015,0.5827638095238096,0.19695650793650793,0.0021276105047492314,10,0,2,target_stratified_bad_axis_shuffle,0.7305555555555555
520,520,162,0.6653274725274726,0.34388681318681313,0.6587879120879121,0.6409928736263737,0.5850195982417582,0.6454963076923078,0.5745017197802197,0.24743931318681317,0.0020980334066790767,31,0,2,target_stratified_bad_axis_shuffle,0.7865384615384615
700,700,178,0.6250024489795919,0.3829281632653062,0.6212130612244898,0.5899710734693878,0.5470508083265306,0.6055588326530613,0.5665424285714286,0.307237693877551,0.001842228667990489,57,0,2,target_stratified_bad_axis_shuffle,0.8285714285714286
360,360,145,0.7091746031746031,0.2916095238095238,0.7077444444444445,0.6815595317460318,0.6184770744444444,0.6768284761904761,0.5857794206349206,0.2031346825396825,0.0021994770825413787,12,0,3,target_stratified_bad_axis_shuffle,0.7055555555555556
520,520,163,0.6559472527472526,0.3526620879120879,0.6505747252747254,0.6373709065934067,0.5815178823076923,0.6399986813186813,0.5743511813186813,0.24962052197802195,0.0021437049061051824,29,0,3,target_stratified_bad_axis_shuffle,0.7865384615384615
700,700,178,0.6109363265306124,0.39646040816326533,0.6082636734693878,0.5909076285714286,0.5453423822857143,0.6034956979591837,0.5658026285714285,0.299579387755102,0.0018511000159188856,57,0,3,target_stratified_bad_axis_shuffle,0.8485714285714285
360,360,140,0.7066714285714286,0.30245079365079364,0.704811111111111,0.682856134920635,0.6216795357142857,0.6793010317460317,0.5862996428571429,0.20327305555555553,0.001854044794099441,12,0,4,target_stratified_bad_axis_shuffle,0.7027777777777777
520,520,163,0.6602362637362638,0.34986153846153845,0.6590505494505495,0.6333092032967034,0.5788406303296704,0.6352028351648351,0.5804902967032967,0.2545332692307692,0.0019195915712312299,29,0,4,target_stratified_bad_axis_shuffle,0.775
700,700,174,0.6091697959183674,0.39537469387755103,0.6088971428571429,0.5919508448979592,0.5468331718367346,0.6061618530612245,0.5690592571428571,0.30086993877551016,0.0018371494732629585,58,0,4,target_stratified_bad_axis_shuffle,0.8614285714285714
360,360,134,0.7262587301587301,0.2806269841269841,0.7258603174603174,0.6750225555555556,0.6165001046031746,0.6735448095238095,0.5868893650793651,0.2084076587301587,0.0020046871925016945,13,0,5,target_stratified_bad_axis_shuffle,0.7111111111111111
520,520,157,0.6633010989010989,0.3455840659340659,0.6622934065934065,0.6385142857142857,0.5834286776923077,0.640590032967033,0.5781841428571428,0.2519702747252747,0.0019981241031940848,28,0,5,target_stratified_bad_axis_shuffle,0.7884615384615384
700,700,179,0.619113469387755,0.3873751020408163,0.619290612244898,0.5925829469387756,0.5470916751020408,0.6078956816326531,0.5664749714285714,0.2991588163265305,0.0018822294711720378,61,0,5,target_stratified_bad_axis_shuffle,0.8514285714285714
360,360,142,0.6928603174603174,0.30890555555555554,0.6907539682539682,0.6763175317460318,0.611877353968254,0.6707676190476191,0.5825639206349207,0.2075667857142857,0.001991698557566072,14,0,6,target_stratified_bad_axis_shuffle,0.6888888888888889
520,520,165,0.6433,0.36118901098901096,0.6427285714285715,0.6366183351648352,0.5786496256043956,0.6351132307692308,0.5719862582417582,0.2541921703296703,0.0017873025509064948,27,0,6,target_stratified_bad_axis_shuffle,0.7807692307692308
700,700,174,0.606395918367347,0.4056767346938776,0.6057836734693878,0.5944035102040817,0.5437508484081633,0.5954318530612245,0.5604915714285714,0.29726936734693876,0.0017897457338275778,46,0,6,target_stratified_bad_axis_shuffle,0.8342857142857143
360,360,143,0.7210698412698412,0.30270476190476187,0.7200190476190478,0.6805092301587302,0.6243752853968254,0.6898578412698413,0.5755803650793652,0.21016353174603172,0.0022933080767047927,12,0,7,target_stratified_bad_axis_shuffle,0.6972222222222222
520,520,157,0.6628978021978023,0.3507901098901099,0.6647615384615385,0.6391963791208791,0.5849530998901099,0.6430248901098901,0.5682786043956045,0.2502643406593406,0.002001619749951432,24,0,7,target_stratified_bad_axis_shuffle,0.7903846153846154
700,700,176,0.6173567346938775,0.3911877551020408,0.6206571428571429,0.5945482938775511,0.5491484478367348,0.6072708408163264,0.561162542857143,0.2970868571428571,0.0017822124438070404,51,0,7,target_stratified_bad_axis_shuffle,0.8557142857142858
360,360,144,0.7017174603174603,0.3128603174603174,0.7005746031746032,0.6737326746031747,0.6114228587301587,0.6652072222222223,0.5793014206349206,0.2104429761904762,0.0019652766507271585,11,0,8,target_stratified_bad_axis_shuffle,0.7
