row,subject_id,sleep_date,lifelog_date,sleep_dt,anchor_seed_row,episode_offset,candidate_id
3,id01,2024-08-03,2024-08-02,2024-08-03,4,-1,h079_top16_episode_stage_n015_311bd785
5,id01,2024-08-06,2024-08-05,2024-08-06,4,1,h079_top16_episode_stage_n015_311bd785
11,id01,2024-08-14,2024-08-13,2024-08-14,12,-1,h079_top16_episode_stage_n015_311bd785
13,id01,2024-08-17,2024-08-16,2024-08-17,12,1,h079_top16_episode_stage_n015_311bd785
59,id03,2024-08-17,2024-08-16,2024-08-17,60,-1,h079_top16_episode_stage_n015_311bd785
61,id03,2024-08-19,2024-08-18,2024-08-19,60,1,h079_top16_episode_stage_n015_311bd785
68,id03,2024-08-28,2024-08-27,2024-08-28,69,-1,h079_top16_episode_stage_n015_311bd785
70,id03,2024-09-16,2024-09-15,2024-09-16,69,1,h079_top16_episode_stage_n015_311bd785
81,id04,2024-09-12,2024-09-11,2024-09-12,80,1,h079_top16_episode_stage_n015_311bd785
81,id04,2024-09-12,2024-09-11,2024-09-12,82,-1,h079_top16_episode_stage_n015_311bd785
83,id04,2024-09-14,2024-09-13,2024-09-14,82,1,h079_top16_episode_stage_n015_311bd785
85,id04,2024-09-16,2024-09-15,2024-09-16,86,-1,h079_top16_episode_stage_n015_311bd785
87,id04,2024-09-20,2024-09-19,2024-09-20,86,1,h079_top16_episode_stage_n015_311bd785
93,id04,2024-09-27,2024-09-26,2024-09-27,94,-1,h079_top16_episode_stage_n015_311bd785
95,id04,2024-10-16,2024-10-15,2024-10-16,94,1,h079_top16_episode_stage_n015_311bd785
99,id04,2024-10-20,2024-10-19,2024-10-20,100,-1,h079_top16_episode_stage_n015_311bd785
101,id04,2024-10-24,2024-10-23,2024-10-24,100,1,h079_top16_episode_stage_n015_311bd785
121,id05,2024-11-13,2024-11-12,2024-11-13,122,-1,h079_top16_episode_stage_n015_311bd785
123,id05,2024-11-16,2024-11-15,2024-11-16,122,1,h079_top16_episode_stage_n015_311bd785
157,id07,2024-07-19,2024-07-18,2024-07-19,158,-1,h079_top16_episode_stage_n015_311bd785
159,id07,2024-07-21,2024-07-20,2024-07-21,158,1,h079_top16_episode_stage_n015_311bd785
163,id07,2024-07-25,2024-07-24,2024-07-25,164,-1,h079_top16_episode_stage_n015_311bd785
165,id07,2024-07-27,2024-07-26,2024-07-27,164,1,h079_top16_episode_stage_n015_311bd785
171,id07,2024-08-20,2024-08-19,2024-08-20,172,-1,h079_top16_episode_stage_n015_311bd785
173,id07,2024-08-23,2024-08-22,2024-08-23,172,1,h079_top16_episode_stage_n015_311bd785
176,id07,2024-08-27,2024-08-26,2024-08-27,177,-1,h079_top16_episode_stage_n015_311bd785
178,id07,2024-08-29,2024-08-28,2024-08-29,177,1,h079_top16_episode_stage_n015_311bd785
199,id08,2024-09-18,2024-09-17,2024-09-18,200,-1,h079_top16_episode_stage_n015_311bd785
3,id01,2024-08-03,2024-08-02,2024-08-03,4,-1,h079_top16_episode_nonq2_n020_8ff4cfda
5,id01,2024-08-06,2024-08-05,2024-08-06,4,1,h079_top16_episode_nonq2_n020_8ff4cfda
11,id01,2024-08-14,2024-08-13,2024-08-14,12,-1,h079_top16_episode_nonq2_n020_8ff4cfda
13,id01,2024-08-17,2024-08-16,2024-08-17,12,1,h079_top16_episode_nonq2_n020_8ff4cfda
59,id03,2024-08-17,2024-08-16,2024-08-17,60,-1,h079_top16_episode_nonq2_n020_8ff4cfda
61,id03,2024-08-19,2024-08-18,2024-08-19,60,1,h079_top16_episode_nonq2_n020_8ff4cfda
68,id03,2024-08-28,2024-08-27,2024-08-28,69,-1,h079_top16_episode_nonq2_n020_8ff4cfda
70,id03,2024-09-16,2024-09-15,2024-09-16,69,1,h079_top16_episode_nonq2_n020_8ff4cfda
81,id04,2024-09-12,2024-09-11,2024-09-12,80,1,h079_top16_episode_nonq2_n020_8ff4cfda
81,id04,2024-09-12,2024-09-11,2024-09-12,82,-1,h079_top16_episode_nonq2_n020_8ff4cfda
83,id04,2024-09-14,2024-09-13,2024-09-14,82,1,h079_top16_episode_nonq2_n020_8ff4cfda
85,id04,2024-09-16,2024-09-15,2024-09-16,86,-1,h079_top16_episode_nonq2_n020_8ff4cfda
87,id04,2024-09-20,2024-09-19,2024-09-20,86,1,h079_top16_episode_nonq2_n020_8ff4cfda
93,id04,2024-09-27,2024-09-26,2024-09-27,94,-1,h079_top16_episode_nonq2_n020_8ff4cfda
95,id04,2024-10-16,2024-10-15,2024-10-16,94,1,h079_top16_episode_nonq2_n020_8ff4cfda
99,id04,2024-10-20,2024-10-19,2024-10-20,100,-1,h079_top16_episode_nonq2_n020_8ff4cfda
101,id04,2024-10-24,2024-10-23,2024-10-24,100,1,h079_top16_episode_nonq2_n020_8ff4cfda
121,id05,2024-11-13,2024-11-12,2024-11-13,122,-1,h079_top16_episode_nonq2_n020_8ff4cfda
123,id05,2024-11-16,2024-11-15,2024-11-16,122,1,h079_top16_episode_nonq2_n020_8ff4cfda
157,id07,2024-07-19,2024-07-18,2024-07-19,158,-1,h079_top16_episode_nonq2_n020_8ff4cfda
159,id07,2024-07-21,2024-07-20,2024-07-21,158,1,h079_top16_episode_nonq2_n020_8ff4cfda
163,id07,2024-07-25,2024-07-24,2024-07-25,164,-1,h079_top16_episode_nonq2_n020_8ff4cfda
165,id07,2024-07-27,2024-07-26,2024-07-27,164,1,h079_top16_episode_nonq2_n020_8ff4cfda
171,id07,2024-08-20,2024-08-19,2024-08-20,172,-1,h079_top16_episode_nonq2_n020_8ff4cfda
173,id07,2024-08-23,2024-08-22,2024-08-23,172,1,h079_top16_episode_nonq2_n020_8ff4cfda
176,id07,2024-08-27,2024-08-26,2024-08-27,177,-1,h079_top16_episode_nonq2_n020_8ff4cfda
178,id07,2024-08-29,2024-08-28,2024-08-29,177,1,h079_top16_episode_nonq2_n020_8ff4cfda
199,id08,2024-09-18,2024-09-17,2024-09-18,200,-1,h079_top16_episode_nonq2_n020_8ff4cfda
3,id01,2024-08-03,2024-08-02,2024-08-03,4,-1,h079_top16_episode_all_n012_8a546735
5,id01,2024-08-06,2024-08-05,2024-08-06,4,1,h079_top16_episode_all_n012_8a546735
11,id01,2024-08-14,2024-08-13,2024-08-14,12,-1,h079_top16_episode_all_n012_8a546735
13,id01,2024-08-17,2024-08-16,2024-08-17,12,1,h079_top16_episode_all_n012_8a546735
59,id03,2024-08-17,2024-08-16,2024-08-17,60,-1,h079_top16_episode_all_n012_8a546735
61,id03,2024-08-19,2024-08-18,2024-08-19,60,1,h079_top16_episode_all_n012_8a546735
68,id03,2024-08-28,2024-08-27,2024-08-28,69,-1,h079_top16_episode_all_n012_8a546735
70,id03,2024-09-16,2024-09-15,2024-09-16,69,1,h079_top16_episode_all_n012_8a546735
81,id04,2024-09-12,2024-09-11,2024-09-12,80,1,h079_top16_episode_all_n012_8a546735
81,id04,2024-09-12,2024-09-11,2024-09-12,82,-1,h079_top16_episode_all_n012_8a546735
83,id04,2024-09-14,2024-09-13,2024-09-14,82,1,h079_top16_episode_all_n012_8a546735
85,id04,2024-09-16,2024-09-15,2024-09-16,86,-1,h079_top16_episode_all_n012_8a546735
87,id04,2024-09-20,2024-09-19,2024-09-20,86,1,h079_top16_episode_all_n012_8a546735
93,id04,2024-09-27,2024-09-26,2024-09-27,94,-1,h079_top16_episode_all_n012_8a546735
95,id04,2024-10-16,2024-10-15,2024-10-16,94,1,h079_top16_episode_all_n012_8a546735
99,id04,2024-10-20,2024-10-19,2024-10-20,100,-1,h079_top16_episode_all_n012_8a546735
101,id04,2024-10-24,2024-10-23,2024-10-24,100,1,h079_top16_episode_all_n012_8a546735
121,id05,2024-11-13,2024-11-12,2024-11-13,122,-1,h079_top16_episode_all_n012_8a546735
123,id05,2024-11-16,2024-11-15,2024-11-16,122,1,h079_top16_episode_all_n012_8a546735
157,id07,2024-07-19,2024-07-18,2024-07-19,158,-1,h079_top16_episode_all_n012_8a546735
159,id07,2024-07-21,2024-07-20,2024-07-21,158,1,h079_top16_episode_all_n012_8a546735
163,id07,2024-07-25,2024-07-24,2024-07-25,164,-1,h079_top16_episode_all_n012_8a546735
165,id07,2024-07-27,2024-07-26,2024-07-27,164,1,h079_top16_episode_all_n012_8a546735
171,id07,2024-08-20,2024-08-19,2024-08-20,172,-1,h079_top16_episode_all_n012_8a546735
173,id07,2024-08-23,2024-08-22,2024-08-23,172,1,h079_top16_episode_all_n012_8a546735
176,id07,2024-08-27,2024-08-26,2024-08-27,177,-1,h079_top16_episode_all_n012_8a546735
178,id07,2024-08-29,2024-08-28,2024-08-29,177,1,h079_top16_episode_all_n012_8a546735
199,id08,2024-09-18,2024-09-17,2024-09-18,200,-1,h079_top16_episode_all_n012_8a546735
3,id01,2024-08-03,2024-08-02,2024-08-03,4,-1,h079_top8_episode_all_n018_27e5bf71
5,id01,2024-08-06,2024-08-05,2024-08-06,4,1,h079_top8_episode_all_n018_27e5bf71
68,id03,2024-08-28,2024-08-27,2024-08-28,69,-1,h079_top8_episode_all_n018_27e5bf71
70,id03,2024-09-16,2024-09-15,2024-09-16,69,1,h079_top8_episode_all_n018_27e5bf71
81,id04,2024-09-12,2024-09-11,2024-09-12,80,1,h079_top8_episode_all_n018_27e5bf71
85,id04,2024-09-16,2024-09-15,2024-09-16,86,-1,h079_top8_episode_all_n018_27e5bf71
