route_id,row,subject_id,sleep_date,route_name,targets,n_cells,q2_cells,s_cells,route_score,route_score_sum,route_score_mean,mean_latent_hsjepa_score,mean_context_energy,mean_shortcut_energy,mean_public_score,mean_invariant_score,mean_cell_gain,sum_cell_gain,outside_h070_cells,outside_h069_cells,h068_overlap_cells,h069_overlap_cells,target_mask,target_indices,route_rank,novelty_rank,shortcut_avoid_rank,assignment_route_score,h085_route_gain_sum,h085_route_cell_score_mean,h085_route_abs_move_mean,h085_route_source_agree_mean,h085_route_h082_cells,h085_route_bad_same_mean,h085_route_public_mean,h085_route_invariant_mean,h085_route_score
r138_q3_s_stage,138,id06,2024-07-18,q3_s_stage,"Q3,S1,S2,S3,S4",5,0,4,2.6344889197955697,4.382922857142857,0.8765845714285714,0.8859647712475318,0.8650171428571429,0.1056885714285714,0.7949714285714287,0.804777142857143,0.0030232501800058,0.0151162509000294,1,5,2,0,11111,"2,3,4,5,6",0.9954710144927535,0.6632699275362319,0.9750905797101448,0.936503623188406,0.013413389766675174,0.7348238857142858,1.8244719670062135,1.0,5,0.1785714285714285,0.7949714285714287,0.804777142857143,0.9503183213250519
r138_full_state,138,id06,2024-07-18,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.7693797691024487,5.810302857142857,0.8300432653061225,0.8563658519438216,0.8303836734693879,0.179,0.7714432653061224,0.8047771428571429,0.0026805308265061,0.0187637157855427,3,7,3,0,1111111,"0,1,2,3,4,5,6",1.0,0.9026268115942028,0.9248188405797102,0.9705797101449276,0.016745802819307383,0.7133739591836736,1.3399566956772944,1.0,7,0.26579591836734684,0.7714432653061224,0.8047771428571429,0.9433855705412599
r138_nonq2_full,138,id06,2024-07-18,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,2.668190970959358,5.018111428571428,0.8363519047619047,0.8509725415642014,0.8171676190476193,0.1727547619047619,0.7757885714285714,0.804777142857143,0.0028143821911058,0.0168862931466353,2,6,2,0,1011111,"0,2,3,4,5,6",0.9963768115942028,0.8054800724637681,0.9284420289855072,0.9535461956521738,0.015023431172764954,0.7118897333333334,1.54056736033531,1.0,6,0.28033333333333327,0.7757885714285714,0.804777142857143,0.9391010492753624
r140_full_state,140,id06,2024-07-21,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.71981988495174,5.621428571428572,0.803061224489796,0.8292817703111686,0.8332130612244899,0.1898448979591836,0.7038579591836734,0.8460171428571429,0.0016240922664599,0.0113686458652197,3,6,3,1,1111111,"0,1,2,3,4,5,6",0.9981884057971014,0.8591485507246377,0.9125905797101448,0.9552989130434784,0.010735600713610753,0.6833302938775511,1.7797478834428635,1.0,7,0.25224489795918353,0.7038579591836734,0.8460171428571429,0.9324338259094943
r140_q3_s_stage,140,id06,2024-07-21,q3_s_stage,"Q3,S1,S2,S3,S4",5,0,4,2.626490645566996,4.383431428571429,0.8766862857142858,0.886250485533246,0.8864891428571429,0.1046314285714285,0.7212011428571429,0.846017142857143,0.0017508396944284,0.0087541984721422,1,5,1,0,11111,"2,3,4,5,6",0.9945652173913044,0.6632699275362319,0.9755434782608696,0.9264945652173914,0.00834579138501275,0.7516852342857143,2.460180951836328,1.0,5,0.1785714285714285,0.7212011428571429,0.846017142857143,0.9314288824844721
r128_s_stage,128,id06,2024-07-07,s_stage,"S1,S2,S3,S4",4,0,4,2.514015673718743,3.465491428571429,0.8663728571428573,0.8613580520019103,0.8557942857142857,0.0670999999999999,0.7877385714285714,0.7328571428571429,0.0036367740776731,0.0145470963106925,1,2,3,2,1111,"3,4,5,6",0.9873188405797102,0.3154438405797101,0.9936594202898552,0.8780570652173911,0.013798937613938196,0.7438631571428571,1.2138300378116784,1.0,4,0.1785714285714285,0.7877385714285714,0.7328571428571429,0.9310004474120082
r066_nonq2_full,66,id03,2024-08-25,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,2.713226052835512,5.067431428571429,0.8445719047619048,0.8551592082308681,0.8529714285714286,0.1700261904761904,0.737992380952381,0.7341371428571427,0.0023504499571464,0.0141026997428787,2,6,1,0,1011111,"0,2,3,4,5,6",0.9977355072463768,0.8054800724637681,0.9302536231884058,0.9520561594202898,0.01309894240094973,0.6905030285714285,0.42595178308281234,1.0,6,0.23414285714285707,0.737992380952381,0.7341371428571427,0.9258214890269152
r066_full_state,66,id03,2024-08-25,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.7492292798940907,5.723545714285715,0.8176493877551021,0.8456474845968829,0.8354318367346938,0.2100142857142857,0.7578522448979594,0.7341371428571427,0.0024015438150871,0.01681080670561,3,7,1,0,1111111,"0,1,2,3,4,5,6",0.9990942028985508,0.9026268115942028,0.8786231884057971,0.9634057971014492,0.015561174053040316,0.6907194367346939,0.3887486874959888,1.0,7,0.2859999999999999,0.7578522448979594,0.7341371428571427,0.9254634600414079
r066_recovery_route,66,id03,2024-08-25,recovery_route,"Q1,S2,S3,S4",4,0,3,2.377015095151114,3.5333085714285715,0.8833271428571429,0.8922326530239472,0.8904371428571428,0.1170642857142857,0.7629042857142858,0.7341371428571428,0.0029090705015363,0.0116362820061453,1,4,0,0,1000111,"0,4,5,6",0.9714673913043478,0.5849184782608695,0.96875,0.9062364130434782,0.010856849882840146,0.7366568142857144,0.5917128519687136,1.0,4,0.1785714285714285,0.7629042857142858,0.7341371428571428,0.9220780966873706
r054_s_stage,54,id02,2024-10-12,s_stage,"S1,S2,S3,S4",4,0,4,2.4621687594330286,3.400468571428572,0.850117142857143,0.8393694805733389,0.8428457142857144,0.0659999999999999,0.7399357142857143,0.6424971428571429,0.0037811306177578,0.0151245224710312,1,3,1,1,1111,"3,4,5,6",0.9805253623188406,0.46875,0.9941123188405796,0.8970471014492754,0.012363941484372884,0.7244648428571429,1.9733295535049944,1.0,4,0.1785714285714285,0.7399357142857143,0.6424971428571429,0.9209123807453415
