action_id,route_id,row,subject_id,sleep_date,route_name,route_targets,mode,route_group,route_n_cells,action_cells,action_q2_cells,changed_cells,model_pred_delta_vs_h057,posterior_delta_vs_h057,hard_diag_delta_vs_h057,anti_h088_direction_rate,h057_positive_align_rate,selected_conflict_rate,selected_toxic_mean,selected_safe_cell_mean,mean_bad_same_rank,mean_h098_frontier_cell_score,max_h098_frontier_cell_score,assignment_route_score,h071_route_score,h071_route_rank,h071_novelty_rank,h071_shortcut_avoid_rank,Q1_cells,Q2_cells,Q3_cells,S1_cells,S2_cells,S3_cells,S4_cells,h099_route_score,basis_spec,basis_id,basis_alpha,basis_cap,basis_norm_l2,basis_norm_l1
r144_s14_edge_conflict_invert,r144_s14_edge,144,id06,2024-08-14,s14_edge,"S1,S4",conflict_invert,conflict,2,2,0,2,-2.338503493011534e-05,7.733280157292902e-07,1.3596498180662417e-06,1.0,1.0,1.0,0.7920428571428573,0.2973805142857143,0.35671428571428565,0.5610147657142857,0.7918176,0.5240353260869566,1.3719946472372735,0.6168478260869565,0.3154438405797101,0.5910326086956522,0,0,0,1,0,0,1,0.7746426499813814,basis_conflict_a052,basis_conflict_a052__r144_s14_edge_conflict_invert,0.52,0.68,0.400588976006242,0.5418513418218567
r164_q2_s3_tail_conflict_invert,r164_q2_s3_tail,164,id07,2024-07-26,q2_s3_tail,"Q2,S3",conflict_invert,conflict,2,1,0,1,-8.211885793847748e-05,2.771913937358183e-06,4.745939585863874e-06,1.0,1.0,1.0,0.8542571428571428,0.1178602285714285,0.4314285714285714,0.7967975657142858,0.7967975657142858,0.435516304347826,1.0232121366372524,0.3831521739130434,0.3154438405797101,0.6000905797101449,0,0,0,0,0,1,0,0.7667351672257963,basis_conflict_a052,basis_conflict_a052__r164_q2_s3_tail_conflict_invert,0.52,0.68,0.23633168802592944,0.23633168802592944
r151_full_state_conflict_invert,r151_full_state,151,id06,2024-08-25,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",conflict_invert,conflict,7,2,0,2,-1.8581616147178462e-05,4.9180910352975256e-06,7.646105603926661e-06,1.0,1.0,1.0,0.4635,0.11866702857142855,0.6911428571428572,0.48481501714285724,0.5168146514285716,0.6649864130434783,1.446434171771772,0.6526268115942029,0.9891304347826086,0.192481884057971,1,0,1,0,0,0,0,0.7056124946869105,basis_conflict_a052,basis_conflict_a052__r151_full_state_conflict_invert,0.52,0.68,0.3200673213743467,0.409495655203475
r164_s23_core_conflict_invert,r164_s23_core,164,id07,2024-07-26,s23_core,"S2,S3",conflict_invert,conflict,2,2,0,2,-1.943203154265694e-05,9.748617196115251e-06,1.7503146084385777e-05,1.0,1.0,1.0,0.8822571428571429,0.0696235428571428,0.612,0.5831052685714286,0.7967975657142858,0.2298460144927536,0.7268873678914735,0.2042572463768115,0.46875,0.1988224637681159,0,0,0,0,1,1,0,0.7015549691530056,basis_conflict_a052,basis_conflict_a052__r164_s23_core_conflict_invert,0.52,0.68,0.4253065091968206,0.5899316880259294
r164_q_subjective_conflict_invert,r164_q_subjective,164,id07,2024-07-26,q_subjective,"Q1,Q2,Q3",conflict_invert,conflict,3,2,0,2,-1.2528259239508372e-05,1.0272514693902945e-05,1.6397868494738883e-05,1.0,1.0,1.0,0.8621571428571428,0.08647651428571415,0.5595714285714286,0.6359089085714287,0.6744735314285715,0.4678351449275362,1.0761569232079218,0.4266304347826087,0.5849184782608695,0.3165760869565217,1,0,1,0,0,0,0,0.7003941047827287,basis_conflict_a052,basis_conflict_a052__r164_q_subjective_conflict_invert,0.52,0.68,0.3579754254297741,0.40939825455717915
r151_q_subjective_conflict_invert,r151_q_subjective,151,id06,2024-08-25,q_subjective,"Q1,Q2,Q3",conflict_invert,conflict,3,2,0,2,-1.8581616147178462e-05,4.9180910352975256e-06,7.646105603926661e-06,1.0,1.0,1.0,0.4635,0.11866702857142855,0.6911428571428572,0.48481501714285724,0.5168146514285716,0.5505298913043478,1.2413931772111473,0.5375905797101449,0.5849184782608695,0.28125,1,0,1,0,0,0,0,0.6953114077303887,basis_conflict_a052,basis_conflict_a052__r151_q_subjective_conflict_invert,0.52,0.68,0.3200673213743467,0.409495655203475
r144_q_subjective_conflict_invert,r144_q_subjective,144,id06,2024-08-14,q_subjective,"Q1,Q2,Q3",conflict_invert,conflict,3,1,0,1,-7.910834850896825e-06,1.326388282291774e-06,2.0200320326771523e-06,1.0,1.0,1.0,0.8645428571428572,0.1008794285714285,0.4182857142857142,0.7304870285714288,0.7304870285714288,0.545552536231884,1.2282623331720486,0.5321557971014492,0.5849184782608695,0.3120471014492754,0,0,1,0,0,0,0,0.6948509807362188,basis_conflict_a052,basis_conflict_a052__r144_q_subjective_conflict_invert,0.52,0.68,0.1547787814335089,0.1547787814335089
r135_s23_core_conflict_invert,r135_s23_core,135,id06,2024-07-14,s23_core,"S2,S3",conflict_invert,conflict,2,2,0,2,-1.1407350175529044e-05,1.4102455762855884e-06,2.998217656823888e-06,1.0,1.0,1.0,0.7422142857142857,0.14377297142857146,0.41357142857142853,0.5074890400000001,0.5573068457142858,0.419651268115942,1.1416047128964033,0.4696557971014493,0.3154438405797101,0.5040760869565217,0,0,0,0,1,1,0,0.6946487097586646,basis_conflict_a052,basis_conflict_a052__r135_s23_core_conflict_invert,0.52,0.68,0.4201154857338925,0.5804569182401639
r151_nonq2_full_conflict_invert,r151_nonq2_full,151,id06,2024-08-25,nonq2_full,"Q1,Q3,S1,S2,S3,S4",conflict_invert,conflict,6,2,0,2,-1.8581616147178462e-05,4.9180910352975256e-06,7.646105603926661e-06,1.0,1.0,1.0,0.4635,0.11866702857142855,0.6911428571428572,0.48481501714285724,0.5168146514285716,0.5160371376811593,1.2361577409129978,0.5357789855072463,0.9685235507246376,0.139945652173913,1,0,1,0,0,0,0,0.6922070599043018,basis_conflict_a052,basis_conflict_a052__r151_nonq2_full_conflict_invert,0.52,0.68,0.3200673213743467,0.409495655203475
r164_q1q3_subjective_conflict_invert,r164_q1q3_subjective,164,id07,2024-07-26,q1q3_subjective,"Q1,Q3",conflict_invert,conflict,2,2,0,2,-1.2528259239508372e-05,1.0272514693902945e-05,1.6397868494738883e-05,1.0,1.0,1.0,0.8621571428571428,0.08647651428571415,0.5595714285714286,0.6359089085714287,0.6744735314285715,0.2576132246376811,0.7953458976446404,0.2472826086956521,0.46875,0.1616847826086956,1,0,1,0,0,0,0,0.6814741319566417,basis_conflict_a052,basis_conflict_a052__r164_q1q3_subjective_conflict_invert,0.52,0.68,0.3579754254297741,0.40939825455717915
