model_index,feature_set,k_basis,alpha,source_route_basis_rank_score,source_weighted_loo_mae,source_h088_loo_pred,source_h088_loo_error,full_fit_mae,full_fit_spearman
0,signed_meta,40,0.1,4.8992935458841826e-05,0.00021650893124031332,0.0008528716074458096,0.00010626360744577217,0.00018357079637611857,0.9519460977375303
1,signed_meta,70,0.01,6.898658840527231e-05,0.00023243864888660258,0.0007436531511149836,-2.954848885053829e-06,6.922826960045173e-05,0.9771689728717362
2,signed_meta,70,0.03,0.0004423803224624465,0.00021414611576371482,0.0004624050121259402,-0.00028420298787409725,9.995876510013656e-05,0.9649924124621196
3,signed_abs,140,30.0,0.0012184090419756868,0.000249465664766893,1.6823839741975186e-06,-0.0007449256160258399,0.0002848536912590425,0.9282296650717703
4,signed_meta,100,0.01,0.0012651847896724096,0.0004815382570241903,0.0003878688729187916,-0.00035873912708124587,4.2668730980603276e-05,0.9771689728717362
5,signed_abs,180,30.0,0.0014129174449429756,0.00039960556191525004,0.00019415621957582672,-0.0005524517804242107,0.00033228079652852143,0.9258534682883518
6,signed_meta,40,0.3,0.0014353319967240026,0.00042067591388989266,0.0002191661527435057,-0.0005274418472565318,0.00020868135405811925,0.9475973261626671
7,signed_abs,180,10.0,0.0015389523016335687,0.0004057412281191436,0.00015046543613035776,-0.0005961425638696797,0.00023084547135731551,0.9267232226033243
8,signed_meta,100,0.03,0.001584386275716564,0.00046941283581428383,0.00018366585042304065,-0.0005629421495769968,6.812862710344e-05,0.9676016754070373
9,signed_abs,180,0.1,0.0016859921230131282,0.0005762386276923719,0.0004870645424472041,-0.00025954345755283334,5.2159627367101926e-05,0.9554251149974207
10,signed_abs,180,3.0,0.0017386122742516223,0.0004263602094612293,8.442213407485486e-05,-0.0006621858659251826,0.00015834637295150891,0.9632529038321742
11,signed_abs,180,0.3,0.0017676642211663473,0.0005026847479075393,0.0002635480549161636,-0.0004830599450838739,7.59827482802805e-05,0.9536856063674755
