candidate_id,action_id,route_id,row,subject_id,sleep_date,route_name,route_targets,mode,route_group,route_n_cells,action_cells,action_q2_cells,changed_cells,model_pred_delta_vs_h057,posterior_delta_vs_h057,hard_diag_delta_vs_h057,anti_h088_direction_rate,h057_positive_align_rate,selected_conflict_rate,selected_toxic_mean,selected_safe_cell_mean,mean_bad_same_rank,mean_h098_frontier_cell_score,max_h098_frontier_cell_score,assignment_route_score,h071_route_score,h071_route_rank,h071_novelty_rank,h071_shortcut_avoid_rank,Q1_cells,Q2_cells,Q3_cells,S1_cells,S2_cells,S3_cells,S4_cells,h099_route_score,basis_spec,basis_id,basis_alpha,basis_cap,basis_norm_l2,basis_norm_l1,h100_route_basis_pred_delta,h100_action_score,h102_bad_max_pos,h102_bad_mean_pos,h102_bad_weighted_pos,h102_h088_axis_cos,h102_good_max_cos,h102_good_mean_cos,h102_good_bad_margin,h102_shadow_ratio,h102_axis_score,h105_seed_priority,term_id,term_sign,term_amp,term_role,greedy_step,objective_gain,h102_cum_bad_max_pos,h102_cum_bad_weighted_pos,h102_cum_h088_axis_cos,h102_cum_good_max_cos,h102_cum_good_mean_cos,h102_cum_good_bad_margin,route_basis_pred_delta_vs_h057,h105_lagrangian
h105_signed_null_lagrange_c120_s42_74a05a1d,r164_q1q3_subjective_conflict_invert,r164_q1q3_subjective,164,id07,2024-07-26,q1q3_subjective,"Q1,Q3",conflict_invert,conflict,2,2,0,2,-1.0915587731533268e-05,1.0272514693902945e-05,1.6397868494738883e-05,1.0,1.0,1.0,0.8621571428571428,0.08647651428571415,0.5595714285714286,0.6359089085714287,0.6744735314285715,0.2576132246376811,0.7953458976446404,0.2472826086956521,0.46875,0.1616847826086956,1,0,1,0,0,0,0,0.6814741319566417,basis_conflict_a052,basis_conflict_a052__r164_q1q3_subjective_conflict_invert,0.52,0.68,0.3579754254297741,0.40939825455717915,-0.0009947102754284203,0.7672198881846133,0.006406430973327159,0.0004052772497575545,0.00039209910244702545,-0.0012208052232461416,0.011757912557137712,0.011708308631899958,0.011365813454690687,29.987017304404453,0.7491317577961792,0.9187509674095066,plus__basis_conflict_a052__r164_q1q3_subjective_conflict_invert,1,0.84,plus,0,0.3059823852665031,0.0,0.0,-0.007967225787412893,0.02210717642387867,0.022013911337816966,0.02210717642387867,-0.0008351503278636411,0.30616169439443836
h105_signed_null_lagrange_c120_s42_74a05a1d,r151_full_state_conflict_invert,r151_full_state,151,id06,2024-08-25,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",conflict_invert,conflict,7,2,0,2,-2.4366883572715268e-05,4.9180910352975256e-06,7.646105603926661e-06,1.0,1.0,1.0,0.4635,0.11866702857142855,0.6911428571428572,0.48481501714285724,0.5168146514285716,0.6649864130434783,1.446434171771772,0.6526268115942029,0.9891304347826086,0.192481884057971,1,0,1,0,0,0,0,0.7056124946869105,basis_conflict_a052,basis_conflict_a052__r151_full_state_conflict_invert,0.52,0.68,0.3200673213743467,0.409495655203475,-0.0008588976257082997,0.7949095637566821,0.009371404295081098,0.0023161032286859113,0.0023869435823465597,-0.005254122393292096,0.008691016902785868,0.003953161273622712,0.006304073320439308,3.6410635450287225,0.7592315872043527,0.8738158753059384,plus__basis_conflict_a052__r151_full_state_conflict_invert,1,0.84,plus,1,0.26337929293095824,0.0,0.0,-0.006326925482903276,0.02422811100480586,0.024125898184197286,0.02422811100480586,-0.0015631619988339686,0.5695409873253966
h105_signed_null_lagrange_c120_s42_74a05a1d,r164_s14_edge_conflict_invert,r164_s14_edge,164,id07,2024-07-26,s14_edge,"S1,S4",conflict_invert,conflict,2,2,0,2,-3.4648646653540798e-06,7.958970256549165e-06,6.692304785495445e-06,1.0,1.0,1.0,0.47674285714285713,0.0625157714285713,0.966,0.3922026628571429,0.3923701142857143,0.1131793478260869,0.3593673432974166,0.0398550724637681,0.46875,0.0108695652173913,0,0,0,1,0,0,1,0.35381827326765436,basis_conflict_a052,basis_conflict_a052__r164_s14_edge_conflict_invert,0.52,0.68,0.38649982298578456,0.5407025016007013,-0.00027931332331893185,0.5667852334039977,0.00032822617500416425,2.44476473611229e-05,2.7187119768729645e-05,-0.002021425020597442,0.011845507617313436,0.011795534148689897,0.011818320497544707,435.6868999428758,0.7516471483486323,0.8661284761045985,plus__basis_conflict_a052__r164_s14_edge_conflict_invert,1,0.84,plus,2,0.08529459986344845,0.0,0.0,-0.005955345979540357,0.027659505025550285,0.027542815943816346,0.027659505025550285,-0.00180453028507942,0.654835587188845
h105_signed_null_lagrange_c120_s42_74a05a1d,r151_q_subjective_conflict_invert,r151_q_subjective,151,id06,2024-08-25,q_subjective,"Q1,Q2,Q3",conflict_invert,conflict,3,2,0,2,-7.4617123018152435e-06,4.9180910352975256e-06,7.646105603926661e-06,1.0,1.0,1.0,0.4635,0.11866702857142855,0.6911428571428572,0.48481501714285724,0.5168146514285716,0.5505298913043478,1.2413931772111473,0.5375905797101449,0.5849184782608695,0.28125,1,0,1,0,0,0,0,0.6953114077303887,basis_conflict_a052,basis_conflict_a052__r151_q_subjective_conflict_invert,0.52,0.68,0.3200673213743467,0.409495655203475,-0.0008588976257082997,0.7835354380264904,0.049695631817453366,0.0433477641612643,0.042781861083409985,-0.0951283228318816,0.13179563835383926,0.13074043927539591,0.08901377727042928,3.080642869094451,0.7717961165492384,0.8529231791833054,plus__basis_conflict_a052__r151_q_subjective_conflict_invert,1,0.84,plus,3,0.07341067467762019,0.0,0.0,-0.005568758628618769,0.0268526656874113,0.02673938047503031,0.0268526656874113,-0.002008122017339284,0.7282462618664652
h105_signed_null_lagrange_c120_s42_74a05a1d,r151_recovery_route_conflict_invert,r151_recovery_route,151,id06,2024-08-25,recovery_route,"Q1,S2,S3,S4",conflict_invert,conflict,4,1,0,1,-9.277885351260322e-06,7.409641795192602e-07,2.103050012163615e-06,1.0,1.0,1.0,0.4616571428571429,0.2318356571428572,0.46,0.5168146514285716,0.5168146514285716,0.4887137681159419,1.227884638008257,0.5307971014492754,0.8054800724637681,0.2133152173913043,1,0,0,0,0,0,0,0.6442273504128373,basis_conflict_a052,basis_conflict_a052__r151_recovery_route_conflict_invert,0.52,0.68,0.10831198261532259,0.10831198261532259,-9.511860377958866e-05,0.7917878412649385,0.09153233545054507,0.08536764082066206,0.08442630915608787,-0.15177300835880206,0.1833560261219512,0.18258248927453494,0.09892971696586333,2.171787749375301,0.7776306514122174,0.8648952209197474,plus__basis_conflict_a052__r151_recovery_route_conflict_invert,1,0.84,plus,4,0.029949643010635962,0.0,0.0,-0.005305157866351202,0.02580022487140052,0.025691379664445735,0.02580022487140052,-0.002091598316110686,0.7581959048771012
h105_signed_null_lagrange_c120_s42_74a05a1d,r164_s14_edge_hybrid_route,r164_s14_edge,164,id07,2024-07-26,s14_edge,"S1,S4",hybrid_route,tail,2,2,0,2,-3.5837006178986944e-06,5.550837976966103e-06,4.469994149582569e-06,1.0,1.0,1.0,0.47674285714285713,0.0625157714285713,0.966,0.3922026628571429,0.3923701142857143,0.1131793478260869,0.3593673432974166,0.0398550724637681,0.46875,0.0108695652173913,0,0,0,1,0,0,1,0.377279328884117,basis_tail_hybrid_a044,basis_tail_hybrid_a044__r164_s14_edge_hybrid_route,0.44,0.58,0.32111178054375095,0.4500992960581902,-0.0002319130988082662,0.5820933303487023,0.004501041104754867,0.0003134185564074471,0.00034681512175089045,-6.606944923299077e-05,0.006883833393695413,0.006854792085950467,0.006537018271944523,19.84865455199312,0.6807364179608958,0.8353800541027953,plus__basis_tail_hybrid_a044__r164_s14_edge_hybrid_route,1,0.84,plus,5,0.02614178002228218,0.0,0.0,-0.004988241380174473,0.025458531295530027,0.02535112761507999,0.025458531295530027,-0.002166240217395394,0.7843376848993834
h105_signed_null_lagrange_c120_s42_74a05a1d,r144_q3_quality_frontier_descent,r144_q3_quality,144,id06,2024-08-14,q3_quality,Q3,frontier_descent,objective,1,1,0,1,-8.94859382975777e-06,1.8860184724129166e-06,2.7122581144961107e-06,1.0,1.0,1.0,0.8645428571428572,0.1008794285714285,0.4182857142857142,0.7304870285714288,0.7304870285714288,0.1986231884057971,0.7375129125367084,0.2105978260869565,0.1526268115942029,0.3826992753623188,0,0,1,0,0,0,0,0.6791045022426838,basis_objective_a042,basis_objective_a042__r144_q3_quality_frontier_descent,0.42,0.56,0.1843660595264805,0.1843660595264805,-6.699277164033213e-05,0.7697382972857147,0.005055481142697524,0.0035321237560263447,0.0035131121074922036,-0.0024090930023930317,0.0013826605112642013,0.001376827384993135,-0.002130451596228002,0.3935713052663989,0.6080625908406097,0.8213432745072781,plus__basis_objective_a042__r144_q3_quality_frontier_descent,1,0.84,plus,6,0.022575423554687668,0.0,0.0,-0.006057297310817024,0.02677120018591477,0.025583508989745984,0.02677120018591477,-0.0022266151021245123,0.806913108454071
h105_signed_null_lagrange_c120_s42_74a05a1d,r144_q1q3_subjective_conflict_invert,r144_q1q3_subjective,144,id06,2024-08-14,q1q3_subjective,"Q1,Q3",conflict_invert,conflict,2,1,0,1,-1.3494651355704253e-05,1.326388282291774e-06,2.0200320326771523e-06,1.0,1.0,1.0,0.8645428571428572,0.1008794285714285,0.4182857142857142,0.7304870285714288,0.7304870285714288,0.2414221014492753,0.7718183936486954,0.2309782608695652,0.46875,0.1526268115942029,0,0,1,0,0,0,0,0.667479241605784,basis_conflict_a052,basis_conflict_a052__r144_q1q3_subjective_conflict_invert,0.52,0.68,0.1547787814335089,0.1547787814335089,-5.602327380920598e-05,0.7708075505803007,0.006406430973327159,0.0004052772497575545,0.00039209910244702545,-0.0012208052232461416,0.011757912557137712,0.011708308631899958,0.011365813454690687,29.987017304404453,0.7523077122778621,0.9227860157155738,plus__basis_conflict_a052__r144_q1q3_subjective_conflict_invert,1,0.84,plus,7,0.0190561925348528,0.0,0.0,-0.006662819247029725,0.026817669309116724,0.02484023538350118,0.026817669309116724,-0.002278294911451552,0.8259693009889238
h105_signed_null_lagrange_c120_s42_74a05a1d,r164_q_subjective_conflict_invert,r164_q_subjective,164,id07,2024-07-26,q_subjective,"Q1,Q2,Q3",conflict_invert,conflict,3,2,0,2,-1.4212275244933825e-05,1.0272514693902945e-05,1.6397868494738883e-05,1.0,1.0,1.0,0.8621571428571428,0.08647651428571415,0.5595714285714286,0.6359089085714287,0.6744735314285715,0.4678351449275362,1.0761569232079218,0.4266304347826087,0.5849184782608695,0.3165760869565217,1,0,1,0,0,0,0,0.7003941047827287,basis_conflict_a052,basis_conflict_a052__r164_q_subjective_conflict_invert,0.52,0.68,0.3579754254297741,0.40939825455717915,-0.0009947102754284203,0.7879793560512773,0.049695631817453366,0.0433477641612643,0.042781861083409985,-0.0951283228318816,0.13179563835383926,0.13074043927539591,0.08901377727042928,3.080642869094451,0.7446215382976101,0.8603109313409762,plus__basis_conflict_a052__r164_q_subjective_conflict_invert,1,0.84,plus,8,0.011256904687647507,0.0,0.0,-0.006893502918937272,0.0268104881157109,0.0248480163001764,0.0268104881157109,-0.002309325581956279,0.8372262056765714
h105_signed_null_lagrange_c120_s42_74a05a1d,r146_full_state_counter_h088,r146_full_state,146,id06,2024-08-20,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",counter_h088,q2_route,7,1,0,1,-1.426093968020343e-05,1.1762308294115846e-08,5.94401777339135e-08,1.0,1.0,1.0,0.4641428571428571,0.1833594285714285,0.1785714285714285,0.4251408571428571,0.4251408571428571,0.4921784420289855,1.1487463490143184,0.4759963768115942,0.9977355072463768,0.0615942028985507,0,0,0,1,0,0,0,0.6853828576558092,basis_q2_counter_a050,basis_q2_counter_a050__r146_full_state_counter_h088,0.5,0.62,0.015711517677710493,0.015711517677710493,-3.0082865840617696e-05,0.8231559912017526,0.09881098050964032,0.09289742191018603,0.09188362314704748,-0.16231873168139746,0.19084260001244951,0.19003747903394308,0.09895897686540203,2.077003402772091,0.7923071743821023,0.886291382197604,plus__basis_q2_counter_a050__r146_full_state_counter_h088,1,0.84,plus,9,0.009207735801020411,0.0,0.0,-0.006902992875017317,0.026813942775128954,0.024851763414337466,0.026813942775128954,-0.00233490444184954,0.8464339414775918
h105_signed_null_lagrange_c120_s42_74a05a1d,r151_q1q3_subjective_hybrid_route,r151_q1q3_subjective,151,id06,2024-08-25,q1q3_subjective,"Q1,Q3",hybrid_route,tail,2,2,0,2,-1.4800921549655306e-05,3.603186921670317e-06,5.911506941279621e-06,1.0,1.0,1.0,0.4635,0.11866702857142855,0.6911428571428572,0.48481501714285724,0.5168146514285716,0.2380932971014492,0.7634947318475085,0.2241847826086956,0.46875,0.1453804347826087,1,0,1,0,0,0,0,0.6843203264482344,basis_tail_hybrid_a044,basis_tail_hybrid_a044__r151_q1q3_subjective_hybrid_route,0.44,0.58,0.2708261950090625,0.3464963236337095,-0.0007263683371430512,0.7534133389572518,0.0,0.0,0.0,-0.011863228096755022,0.030866354867458545,0.03073613682477733,0.030866354867458545,30866354.86745854,0.9023195331603648,0.9618411232770834,plus__basis_tail_hybrid_a044__r151_q1q3_subjective_hybrid_route,1,0.84,plus,10,0.00891473735614734,0.0,0.0,-0.006819245313519653,0.02655676240022334,0.024622393347684308,0.02655676240022334,-0.0023597258714557136,0.8553486788337391
