candidate_id,alpha_row207,beta_row135,changed_cells_vs_h136,delta_route_vs_h136,delta_h098_vs_h136,delta_h088_vs_h136,delta_margin_vs_h136,delta_route_vs_h141,delta_h098_vs_h141,delta_h088_vs_h141,delta_margin_vs_h141,route,h098,h088,margin,h102_cum_h088_axis_cos,h102_cum_good_bad_margin,h142_branch_saddle_pass,h142_coactivation_route_barrier,h142_balanced_barrier_probe_pass,h142_branch_saddle_score
h142_a0p5_b0p5_338bb491,0.5,0.5,5,3.610409617969129e-06,1.727043814249516e-06,-0.0019996567055933015,0.0003617941475017594,2.4176126786482673e-06,7.268737212535971e-07,-0.0005737178100223839,9.563155045644312e-05,-0.0007586831879701851,-2.5630984427275818e-05,-0.06413232112486356,0.15980284459579433,-0.06413232112486356,0.15980284459579433,False,True,True,0.04172664649799744
h142_a1p15_b1p15_e43717d9,1.15,1.15,5,3.6567002809594074e-06,2.5392518165517387e-06,-0.0026743180588250856,0.00030212555485545356,2.4639033416385455e-06,1.5390817235558197e-06,-0.001248379163254168,3.596295781013725e-05,-0.0007586368973071948,-2.4818776424973595e-05,-0.06480698247809534,0.15974317600314802,-0.06480698247809534,0.15974317600314802,False,False,False,0.04643881004808122
h142_a0p8_b0p8_89804047,0.8,0.8,5,3.6317692299714203e-06,2.1019083922502136e-06,-0.0023212285954482895,0.00036023419589953365,2.4389722906505585e-06,1.1017382992542946e-06,-0.0008952896998773718,9.407159885421734e-05,-0.0007586618283581828,-2.525611984927512e-05,-0.06445389301471854,0.1598012846441921,-0.06445389301471854,0.1598012846441921,False,True,False,0.04614344550850009
h142_a1p0_b1p15_cd79fab4,1.0,1.15,5,3.6502551488790287e-06,2.449005222410249e-06,-0.00253535020258102,0.00034999468183138926,2.457458209558167e-06,1.4488351294143298e-06,-0.0011094113070101025,8.383208478607296e-05,-0.0007586433424392752,-2.4909023019115085e-05,-0.06466801462185127,0.15979104513012396,-0.06466801462185127,0.15979104513012396,False,False,False,0.04605779869217109
h142_a1p15_b1p0_35e09655,1.15,1.0,5,3.6524591599368904e-06,2.4420653277552103e-06,-0.0026648393708110715,0.00028665730946203505,2.4596622206160285e-06,1.4418952347592913e-06,-0.001238900475240154,2.049471241671874e-05,-0.0007586411384282174,-2.4915962913770124e-05,-0.06479750379008133,0.1597277077577546,-0.06479750379008133,0.1597277077577546,False,False,False,0.04572487022865877
h142_a1p0_b1p0_930bba36,1.0,1.0,5,3.6460140278569454e-06,2.351818733613395e-06,-0.002525936508488001,0.0003344675158802324,2.4532170885360836e-06,1.3516486406174762e-06,-0.0010999976129170835,6.830491883491607e-05,-0.0007586475835602973,-2.500620950791194e-05,-0.06465860092775826,0.1597755179641728,-0.06465860092775826,0.1597755179641728,False,False,False,0.04555271264148502
h142_a0p8_b1p15_dd05072e,0.8,1.15,5,3.6416637565952342e-06,2.328676690941788e-06,-0.0023457414077812447,0.0004034808504533305,2.4488668172743724e-06,1.3285065979458692e-06,-0.000919802512210327,0.00013731825340801418,-0.000758651933831559,-2.5029351550583546e-05,-0.0644784058270515,0.1598445312987459,-0.0644784058270515,0.1598445312987459,False,False,False,0.04511279118210191
h142_a0p65_b0p8_d1462bb2,0.65,0.8,5,3.6253272736256736e-06,2.011662189189338e-06,-0.002175977103117531,0.00039247770379921554,2.4325303343048117e-06,1.0114920961934188e-06,-0.0007500382075466133,0.00012631510675389923,-0.0007586682703145286,-2.5346366052335996e-05,-0.06430864152238779,0.15983352815209179,-0.06430864152238779,0.15983352815209179,False,True,False,0.04510565500361641
h142_a0p8_b0p65_a1e33255,0.8,0.65,5,3.6275302425924257e-06,2.0047221662041186e-06,-0.002307772598128567,0.00033436968706249126,2.434733303271564e-06,1.0045520732081996e-06,-0.0008818337025576495,6.820709001717495e-05,-0.0007586660673455618,-2.5353306075321215e-05,-0.06444043701739882,0.15977542013535506,-0.06444043701739882,0.15977542013535506,False,True,False,0.044995579006187184
h142_a0p8_b1p0_41899cea,0.8,1.0,5,3.637422635572934e-06,2.2314902021451513e-06,-0.002336419929465282,0.0003878877924557156,2.4446256962520722e-06,1.2313201091492323e-06,-0.0009104810338943642,0.00012172519541039928,-0.0007586561749525813,-2.5126538039380183e-05,-0.06446908434873554,0.1598289382407483,-0.06446908434873554,0.1598289382407483,False,False,False,0.04460671625439913
h142_a1p15_b0p8_13804c11,1.15,0.8,5,3.6468057543355935e-06,2.3124835178599474e-06,-0.0026494280195068706,0.0002591828375283489,2.4540088150147316e-06,1.3123134248640284e-06,-0.001223489123935953,-6.979759516967388e-06,-0.0007586467918338186,-2.5045544723665387e-05,-0.06478209243877713,0.15970023328582092,-0.06478209243877713,0.15970023328582092,False,False,False,0.0444847477098616
h142_a1p0_b0p8_154098d1,1.0,0.8,5,3.6403606222556485e-06,2.2222369237186743e-06,-0.002510616044107468,0.00030690848329895104,2.4475636829347867e-06,1.2220668307227553e-06,-0.0010846771485365503,4.074588625363473e-05,-0.0007586532369658986,-2.513579131780666e-05,-0.06464328046337772,0.15974795893159152,-0.06464328046337772,0.15974795893159152,False,False,False,0.044310909243228946
h142_a0p65_b0p65_14ab08b8,0.65,0.65,5,3.621088286246679e-06,1.9144759631431344e-06,-0.0021626019424376627,0.00036656726268213813,2.428291346925817e-06,9.143058701472154e-07,-0.0007366630468667451,0.00010040466563682182,-0.0007586725093019076,-2.54435522783822e-05,-0.06429526636170792,0.1598076177109747,-0.06429526636170792,0.1598076177109747,False,True,False,0.044167347488820154
