candidate_id,branch,gamma,hash,known_endpoint_or_existing,changed_cells_vs_h136,delta_route_vs_h136,delta_h098_vs_h136,delta_h088_vs_h136,delta_margin_vs_h136,delta_route_vs_h141,delta_h098_vs_h141,delta_h088_vs_h141,delta_margin_vs_h141,route,h098,h088,margin,h102_cum_h088_axis_cos,h102_cum_good_bad_margin,h143_xor_branch_pass,h143_xor_branch_score
h143_row207_g0p8_4894032a,row207,0.8,4894032a,False,3,2.4181550881390707e-06,1.5325321968937032e-06,-0.0022292435247571254,0.00017203732806284067,1.2253581488182088e-06,5.323621038977842e-07,-0.0008033046291862078,-9.412526898247564e-05,-0.0007598754425000152,-2.582549604463163e-05,-0.06436190794402738,0.1596130877763554,-0.06436190794402738,0.1596130877763554,True,0.041566085765755864
h143_row207_g0p65_7df6a658,row207,0.65,7df6a658,False,3,2.4117131317935407e-06,1.442285993832719e-06,-0.0020844599426106877,0.00020400654156074727,1.2189161924726789e-06,4.421159008368e-07,-0.0006585210470397701,-6.215605548456904e-05,-0.0007598818844563607,-2.5915742247692615e-05,-0.06421712436188094,0.15964505698985332,-0.06421712436188094,0.15964505698985332,True,0.040421910564721164
h143_row207_g1p3_e54229b2,row207,1.3,e54229b2,False,3,2.4396381056127504e-06,1.8333540842508734e-06,-0.002692089092772458,1.797289978960892e-05,1.2468411662918885e-06,8.331839912549543e-07,-0.0012661501972015404,-0.0002481896972557074,-0.0007598539594825415,-2.552467415727446e-05,-0.06482475351204271,0.15945902334808218,-0.06482475351204271,0.15945902334808218,False,0.040148720632731956
h143_row207_g1p15_357fe89b,row207,1.15,357fe89b,False,3,2.4331916125032438e-06,1.7431073225036538e-06,-0.0025564453280511393,7.184469061388699e-05,1.240394673182382e-06,7.429372295077348e-07,-0.0011305064324802216,-0.00019431790643142932,-0.000759860405975651,-2.561492091902168e-05,-0.0646891097473214,0.15951289513890646,-0.0646891097473214,0.15951289513890646,False,0.04004547359130999
h143_row135_g0p8_2ffdce0a,row135,0.8,2ffdce0a,False,4,2.4064110811532115e-06,1.569546288352321e-06,-0.001515152965642426,0.0004551674653227311,1.2136141418323497e-06,5.69376195356402e-07,-8.921407007150828e-05,0.0001890048682774148,-0.000759887186507001,-2.5788481953173013e-05,-0.06364781738491268,0.1598962179136153,-0.06364781738491268,0.1598962179136153,False,0.039741382408985
h143_row207_g0p5_81491236,row207,0.5,81491236,False,3,2.4052725364771387e-06,1.3520399583775728e-06,-0.0019369646204289784,0.0002293750986469001,1.2124755971562769e-06,3.518698653816538e-07,-0.0005110257248580607,-3.678749839841622e-05,-0.0007598883250516771,-2.600598828314776e-05,-0.06406962903969923,0.15967042554693947,-0.06406962903969923,0.15967042554693947,False,0.0390099241696083
h143_row135_g0p65_54016519,row135,0.65,54016519,False,4,2.402172093773783e-06,1.4723600623064428e-06,-0.001502174412199346,0.0004291676494662944,1.2093751544529213e-06,4.721899693105238e-07,-7.623551662842842e-05,0.00016300505242097807,-0.0007598914254943805,-2.588566817921889e-05,-0.0636348388314696,0.15987021809775886,-0.0636348388314696,0.15987021809775886,False,0.03873995476001479
h143_row135_g1p3_a523f6e7,row135,1.3,a523f6e7,False,4,2.42054764321804e-06,1.8935011884479384e-06,-0.0015457547208583347,0.0005099727555273048,1.227750703897178e-06,8.933310954520194e-07,-0.00011981582528741708,0.0002438101584819885,-0.0007598730499449362,-2.5464527053077396e-05,-0.06367841914012859,0.15995102320381988,-0.06367841914012859,0.15995102320381988,False,0.03849364218396685
h143_row135_g1p15_047cbca1,row135,1.15,047cbca1,False,4,2.4163056077770254e-06,1.7963145870441124e-06,-0.0015386284115427931,0.0004987001351998699,1.2235086684561636e-06,7.961444940481933e-07,-0.00011268951597187549,0.00023253753815455358,-0.0007598772919803772,-2.556171365448122e-05,-0.06367129283081305,0.15993975058349244,-0.06367129283081305,0.15993975058349244,False,0.038236577408085504
h143_row135_g0p5_a55b4715,row135,0.5,a55b4715,False,4,2.397934020813069e-06,1.3751739488677538e-06,-0.0014874562291764468,0.00039878882104821267,1.2051370814922073e-06,3.7500385587183483e-07,-6.151733360552913e-05,0.00013262622400289636,-0.0007598956635673412,-2.598285429265758e-05,-0.0636201206484467,0.15983983926934078,-0.0636201206484467,0.15983983926934078,False,0.03756180591495291
