model_set,variant,n_features,alpha,loo_mae,loo_rmse,loo_spearman,h144_h145_pred_gap_abs
base_listener,all_full,317,1.0,0.0004507154491782551,0.0008517925556696281,0.8584715324643559,9.216891535299241e-07
base_listener,no_pre_h,317,30.0,0.0007163445526851618,0.001039921978488865,0.6050633809075329,2.782616508588702e-07
base_listener,no_bad,317,0.3,0.0002881113702066318,0.0006936329809079315,0.869411051250711,9.151150010060195e-07
base_listener,frontier_only,317,0.003,0.00019323025785776107,0.000335866372608166,-0.7356123579206245,1.5804790430226385e-09
base_listener,no_human_social,244,0.3,0.00043897533229484965,0.000855948508287373,0.825413663584862,1.1168615223689686e-06
base_listener,no_subject,227,1.0,0.0004306812328778221,0.0008204943116994285,0.8605376492693243,9.099135083867475e-07
base_listener,no_row_order,222,100.0,0.0004735225186983723,0.0007819743752680482,0.7654962762407795,2.386404534093886e-07
base_listener,no_base_prob,268,1.0,0.00043649714847076194,0.0008120638759761082,0.8047524955351785,9.30996811855314e-07
base_listener,structural_only,244,0.3,0.00043897533229484965,0.000855948508287373,0.825413663584862,1.1168615223689686e-06
base_listener,human_social_only,83,0.3,0.0004142516844002606,0.0007631883110254298,0.9018599853686916,5.308413476568506e-07
gemini2_semantic_listener,all_full,884,10.0,0.00046977380929507273,0.0008586090434101708,0.6911160712619183,7.250968814971322e-07
gemini2_semantic_listener,no_pre_h,884,0.03,0.0006284855645009663,0.0010940306286090812,0.563045090566732,6.191029617650247e-07
gemini2_semantic_listener,no_bad,884,1.0,0.00025569881161606413,0.0006369664374368611,0.8407884652013048,7.422315608521723e-07
gemini2_semantic_listener,frontier_only,884,0.003,0.00020460527701471223,0.0003604310873594567,-0.5296408977028497,1.5902522672122093e-07
gemini2_semantic_listener,no_human_social,811,10.0,0.0004699050444766546,0.0008608761734295851,0.6962813632743393,7.204576765341698e-07
gemini2_semantic_listener,no_subject,794,10.0,0.0004727048035282115,0.000860516383045297,0.6559920855774561,7.288523195815409e-07
gemini2_semantic_listener,no_row_order,789,30.0,0.0004882860012262247,0.0008471576443442668,0.6807854872370765,5.502540406693273e-07
gemini2_semantic_listener,no_base_prob,835,10.0,0.00046625633357297227,0.0008479391000371398,0.6973144216768234,7.320567180571773e-07
gemini2_semantic_listener,structural_only,244,0.3,0.00043897533229484965,0.000855948508287373,0.825413663584862,1.1168615223689686e-06
gemini2_semantic_listener,human_social_only,83,0.3,0.0004142516844002606,0.0007631883110254298,0.9018599853686916,5.308413476568506e-07
