target,score_col,policy,fraction,selected_cells,selected_gain_sum,selected_mean_gain,selected_positive_gain_rate,active_subjects,positive_subjects,negative_subjects,raw_action_count,inverse_action_count,null_gain_mean,null_gain_std,gain_lift_vs_null,gain_z_vs_null,tail_safe_policy_score,student_policy_score
Q1,student_recovered_tail_score,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,0.0
Q1,student_recovered_tail_score,top_all,0.01,4,-0.1568894115217837,-0.039222352880445926,0.5,2,1,1,0,4,-0.003942119089514873,0.3484297406981134,-0.15294729243226884,-0.43896164582800495,-0.6293171284558783,-0.9032742386318602
Q1,student_recovered_tail_score,top_all,0.02,9,-0.07532001960487655,-0.008368891067208506,0.5555555555555556,3,1,2,0,9,-0.12467705285388286,0.8361746820804815,0.04935703324900631,0.05902717973498235,-1.1576978955497816,-1.5807207898633662
Q1,student_recovered_tail_score,top_all,0.04,18,-0.7239333066772708,-0.04021851703762616,0.4444444444444444,5,1,4,3,15,-0.5342722708537817,0.8184260541510786,-0.18966103582348914,-0.2317387561912568,-3.4579329892790622,-4.330634247086735
Q1,student_recovered_tail_score,top_all,0.06,27,-0.8081663331532586,-0.02993208641308365,0.48148148148148145,9,4,5,7,20,-0.4836233356486711,0.8767418167795598,-0.3245429975045875,-0.37016940596799175,-3.7402548043581447,-4.790451230051708
Q1,student_recovered_tail_score,top_all,0.08,36,-0.5607175514364304,-0.015575487539900845,0.4722222222222222,9,4,5,11,25,-0.6145110505873536,1.3625446681953537,0.05379349915092313,0.03948017294887725,-3.322664031660942,-4.2767241456194744
Q1,student_recovered_tail_score,top_all,0.1,45,-0.8713987190795801,-0.019364415979546225,0.4666666666666667,9,3,6,12,33,-0.5590834738320802,1.2799234664203227,-0.3123152452474999,-0.2440108752134845,-4.74177680910422,-6.005156199682081
Q1,student_recovered_tail_score,top_all,0.14,63,-0.2832279677359918,-0.004495682027555425,0.5238095238095238,9,4,5,17,46,-1.0664971735835764,1.6090166556420327,0.7832692058475846,0.48679993653331277,-2.7270704187026724,-3.5095634550080144
Q1,student_recovered_tail_score,top_all,0.18,81,-0.10696652569344917,-0.0013205743912771501,0.5308641975308642,9,5,4,28,53,-1.5224162626783388,1.3293847854726895,1.4154497369848897,1.0647404366686792,-1.3192826049460673,-1.7255207764592555
Q1,student_recovered_tail_score,top_decisive,0.01,3,0.0014174269437192688,0.00047247564790642294,0.6666666666666666,1,1,0,0,3,0.18662527415476124,0.3005855477322937,-0.18520784721104197,-0.6161568598633725,0.30831232776685064,0.2067247190443769
Q1,student_recovered_tail_score,top_decisive,0.02,7,-0.11794160683899146,-0.01684880097699878,0.5714285714285714,2,1,1,0,7,0.0344614341882294,0.6639227118268983,-0.15240304102722085,-0.22954937120294844,-0.5442376083188136,-0.8210241523219906
Q1,student_recovered_tail_score,top_decisive,0.04,13,-0.5454742899917807,-0.04195956076859852,0.46153846153846156,3,1,2,3,10,-0.28132969558119963,0.701111654298131,-0.2641445944105811,-0.37675111059879757,-1.8140615475569024,-2.308503672637158
Q1,student_recovered_tail_score,top_decisive,0.06,20,-0.4956508353856479,-0.024782541769282396,0.45,5,2,3,7,13,-0.6575967738262758,1.3614595611170761,0.16194593844062788,0.11895023771969504,-2.1195747331594585,-2.68494816256372
Q1,student_recovered_tail_score,top_decisive,0.08,27,-0.20736646839799305,-0.007680239570296039,0.5185185185185185,7,3,4,7,20,-0.13463548634218156,0.9063980873256037,-0.0727309820558115,-0.08024176470893686,-2.459365007106939,-3.269549820125806
Q1,student_recovered_tail_score,top_decisive,0.1,34,-0.4398555686415936,-0.012936928489458635,0.5,8,3,5,9,25,-1.0620635365976672,1.4224358703866649,0.6222079679560736,0.4374242669983688,-3.153340353157131,-3.9914840351872662
Q1,student_recovered_tail_score,top_decisive,0.14,47,-0.29636515755333126,-0.006305641650070878,0.5319148936170213,8,4,4,17,30,-1.166930604463451,1.5761997668211374,0.8705654469101198,0.5523192334090157,-1.9502651150279302,-2.5121801669321244
Q1,student_recovered_tail_score,top_decisive,0.18,61,0.04096674694338409,0.000671586015465313,0.5245901639344263,9,4,5,25,36,-1.1012056156994814,1.7516799305872548,1.1421723626428655,0.6520439851474176,-2.260461970239822,-2.957180463522457
Q1,student_conservative_tail_score,top_all,0.01,4,-0.1568894115217837,-0.039222352880445926,0.5,2,1,1,0,4,-0.18305443737010252,0.3767242624717701,0.026165025848318813,0.06945405022932255,-0.5157862474519399,-0.73837921050224
Q1,student_conservative_tail_score,top_all,0.02,9,-0.07532001960487655,-0.008368891067208506,0.5555555555555556,3,1,2,0,9,-0.2657287189701289,0.44279230273970727,0.19040869936525234,0.4300180879096783,-1.071230721591626,-1.45439191453498
