split,feature_set,target,logloss,auc,uses_public_score,uses_train_labels,core_representation_frozen,evaluated_rows,probe_calibration_shrink
subject_heldout,prior_only,Q1,0.7045102198430893,0.39018391576618405,False,True,True,450,
subject_heldout,prior_only,Q2,0.6955383866228556,0.39476535382516403,False,True,True,450,
subject_heldout,prior_only,Q3,0.6809692006409499,0.4120473251028806,False,True,True,450,
subject_heldout,prior_only,S1,0.6419324373056658,0.3813922234117674,False,True,True,450,
subject_heldout,prior_only,S2,0.6616697721240868,0.3719375665746398,False,True,True,450,
subject_heldout,prior_only,S3,0.6596848577088983,0.3492692511480042,False,True,True,450,
subject_heldout,prior_only,S4,0.7006978579415238,0.37730479397146066,False,True,True,450,
subject_heldout,prior_only,all,0.6778575331695814,0.38241434711430017,False,True,True,450,
subject_heldout,raw_lifelog_pca,Q1,1.3499984679665633,0.4516702554275893,False,True,True,450,
subject_heldout,raw_lifelog_pca,Q2,1.1071379609070995,0.5497883268794768,False,True,True,450,
subject_heldout,raw_lifelog_pca,Q3,1.280674214694396,0.4982921810699589,False,True,True,450,
subject_heldout,raw_lifelog_pca,S1,0.9722403419283674,0.5634040226874103,False,True,True,450,
subject_heldout,raw_lifelog_pca,S2,1.2426777771311883,0.5363796439207844,False,True,True,450,
subject_heldout,raw_lifelog_pca,S3,1.683657319274136,0.38659042741080896,False,True,True,450,
subject_heldout,raw_lifelog_pca,S4,1.2425419885936364,0.5024250440917108,False,True,True,450,
subject_heldout,raw_lifelog_pca,all,1.2684182957850554,0.49836427164110564,False,True,True,450,
subject_heldout,existing_cohort_human_state,Q1,0.8151828089539389,0.4568064637205903,False,True,True,450,
subject_heldout,existing_cohort_human_state,Q2,0.7378444710384648,0.5565698922573785,False,True,True,450,
subject_heldout,existing_cohort_human_state,Q3,0.7526458207553673,0.4690123456790123,False,True,True,450,
subject_heldout,existing_cohort_human_state,S1,0.6647145829136321,0.5322202227739687,False,True,True,450,
subject_heldout,existing_cohort_human_state,S2,0.7420446930458726,0.47557661789961087,False,True,True,450,
subject_heldout,existing_cohort_human_state,S3,0.9442262739957874,0.33727039915224305,False,True,True,450,
subject_heldout,existing_cohort_human_state,S4,0.7072004250366795,0.5938552188552189,False,True,True,450,
subject_heldout,existing_cohort_human_state,all,0.7662655822485347,0.4887587371911461,False,True,True,450,
subject_heldout,absolute_world_model_predicted,Q1,1.2215494205222461,0.5522214100867229,False,True,True,450,
subject_heldout,absolute_world_model_predicted,Q2,0.7239647437946115,0.5489657109608554,False,True,True,450,
subject_heldout,absolute_world_model_predicted,Q3,1.0864782149727783,0.4937448559670782,False,True,True,450,
subject_heldout,absolute_world_model_predicted,S1,1.0135521494918989,0.4236577754493064,False,True,True,450,
subject_heldout,absolute_world_model_predicted,S2,0.8850959071335959,0.4392078433077542,False,True,True,450,
subject_heldout,absolute_world_model_predicted,S3,1.5796902240729198,0.4401933945602261,False,True,True,450,
subject_heldout,absolute_world_model_predicted,S4,1.23540719305216,0.4458273208273208,False,True,True,450,
subject_heldout,absolute_world_model_predicted,all,1.1065339790057442,0.4776883301656092,False,True,True,450,
subject_heldout,absolute_world_model_full,Q1,1.3011726396409065,0.4345824855297209,False,True,True,450,
subject_heldout,absolute_world_model_full,Q2,1.0946310715921646,0.49270680764832164,False,True,True,450,
subject_heldout,absolute_world_model_full,Q3,0.9345124383778808,0.5107407407407407,False,True,True,450,
subject_heldout,absolute_world_model_full,S1,1.1717269708434828,0.3843192637980911,False,True,True,450,
subject_heldout,absolute_world_model_full,S2,0.9272746458144344,0.4757940044781635,False,True,True,450,
subject_heldout,absolute_world_model_full,S3,1.5838387476016134,0.4085570469798657,False,True,True,450,
subject_heldout,absolute_world_model_full,S4,0.8693318206296629,0.42859147025813693,False,True,True,450,
subject_heldout,absolute_world_model_full,all,1.1260697620714493,0.44789883134757724,False,True,True,450,
subject_heldout,subject_relative_world_model_predicted,Q1,0.740820224001973,0.5152999743189586,False,True,True,450,
subject_heldout,subject_relative_world_model_predicted,Q2,0.7361915552199425,0.5079954254529404,False,True,True,450,
subject_heldout,subject_relative_world_model_predicted,Q3,0.7551559381664795,0.4659259259259259,False,True,True,450,
subject_heldout,subject_relative_world_model_predicted,S1,0.698187171845324,0.46028564269606614,False,True,True,450,
subject_heldout,subject_relative_world_model_predicted,S2,0.6920920519089572,0.5200756505293364,False,True,True,450,
subject_heldout,subject_relative_world_model_predicted,S3,0.6855809423088897,0.540400918403391,False,True,True,450,
subject_heldout,subject_relative_world_model_predicted,S4,0.7486472610372354,0.45406445406445406,False,True,True,450,
subject_heldout,subject_relative_world_model_predicted,all,0.7223821634984002,0.4948639987701532,False,True,True,450,
subject_heldout,subject_relative_world_model_energy,Q1,0.7384449615614096,0.4425238537365916,False,True,True,450,
subject_heldout,subject_relative_world_model_energy,Q2,0.7083426063395392,0.507152745731426,False,True,True,450,
subject_heldout,subject_relative_world_model_energy,Q3,0.7052125996866193,0.5253086419753086,False,True,True,450,
subject_heldout,subject_relative_world_model_energy,S1,0.7018931902156699,0.3902416801439602,False,True,True,450,
subject_heldout,subject_relative_world_model_energy,S2,0.7218123840406973,0.4170561509532401,False,True,True,450,
subject_heldout,subject_relative_world_model_energy,S3,0.7540733697043314,0.42509272341928644,False,True,True,450,
subject_heldout,subject_relative_world_model_energy,S4,0.7205324451702522,0.48490860990860984,False,True,True,450,
subject_heldout,subject_relative_world_model_energy,all,0.721473079531217,0.4560406294097747,False,True,True,450,
subject_heldout,subject_relative_world_model_full,Q1,0.741672114092971,0.4687382706781771,False,True,True,450,
subject_heldout,subject_relative_world_model_full,Q2,0.7312846983249054,0.4952348468128649,False,True,True,450,
subject_heldout,subject_relative_world_model_full,Q3,0.7150774115376503,0.499917695473251,False,True,True,450,
subject_heldout,subject_relative_world_model_full,S1,0.6834840835594332,0.48764265050910005,False,True,True,450,
subject_heldout,subject_relative_world_model_full,S2,0.6814767523604234,0.5075759222625595,False,True,True,450,
subject_heldout,subject_relative_world_model_full,S3,0.7023633897527995,0.48406040268456374,False,True,True,450,
subject_heldout,subject_relative_world_model_full,S4,0.7433897392186852,0.46250200416867077,False,True,True,450,
subject_heldout,subject_relative_world_model_full,all,0.7141068841209811,0.4865245417984553,False,True,True,450,
subject_heldout,hybrid_absolute_relative_world_model,Q1,0.8863585121773385,0.4828628434839296,False,True,True,450,
