split,feature_set,target,logloss,auc,uses_public_score,uses_train_labels,core_representation_frozen,listener_profile_source,probe_calibration_shrink,evaluated_rows
subject_heldout,prior_only,Q1,0.7045102198430893,0.39018391576618405,False,True,True,target_description_not_labels,,450
subject_heldout,prior_only_calibrated10,Q1,0.7045102198430893,0.39018391576618405,False,True,True,target_description_not_labels,0.1,450
subject_heldout,prior_only,Q2,0.6955383866228556,0.39476535382516403,False,True,True,target_description_not_labels,,450
subject_heldout,prior_only_calibrated10,Q2,0.6955383866228556,0.39476535382516403,False,True,True,target_description_not_labels,0.1,450
subject_heldout,prior_only,Q3,0.6809692006409499,0.4120473251028806,False,True,True,target_description_not_labels,,450
subject_heldout,prior_only_calibrated10,Q3,0.6809692006409499,0.4120473251028806,False,True,True,target_description_not_labels,0.1,450
subject_heldout,prior_only,S1,0.6419324373056658,0.3813922234117674,False,True,True,target_description_not_labels,,450
subject_heldout,prior_only_calibrated10,S1,0.6419324373056658,0.3813922234117674,False,True,True,target_description_not_labels,0.1,450
subject_heldout,prior_only,S2,0.6616697721240868,0.3719375665746398,False,True,True,target_description_not_labels,,450
subject_heldout,prior_only_calibrated10,S2,0.6616697721240868,0.3719375665746398,False,True,True,target_description_not_labels,0.1,450
subject_heldout,prior_only,S3,0.6596848577088983,0.3492692511480042,False,True,True,target_description_not_labels,,450
subject_heldout,prior_only_calibrated10,S3,0.6596848577088983,0.3492692511480042,False,True,True,target_description_not_labels,0.1,450
subject_heldout,prior_only,S4,0.7006978579415238,0.37730479397146066,False,True,True,target_description_not_labels,,450
subject_heldout,prior_only_calibrated10,S4,0.7006978579415238,0.37730479397146066,False,True,True,target_description_not_labels,0.1,450
subject_heldout,prior_only,all,0.6778575331695814,0.38241434711430017,False,True,True,target_description_not_labels,,450
subject_heldout,prior_only_calibrated10,all,0.6778575331695814,0.38241434711430017,False,True,True,target_description_not_labels,0.1,450
subject_heldout,raw_lifelog_pca,Q1,1.3499984679665649,0.4516702554275893,False,True,True,target_description_not_labels,,450
subject_heldout,raw_lifelog_pca_calibrated10,Q1,0.7087400077150869,0.400485964323107,False,True,True,target_description_not_labels,0.1,450
subject_heldout,raw_lifelog_pca,Q2,1.1071379609071,0.5497883268794768,False,True,True,target_description_not_labels,,450
subject_heldout,raw_lifelog_pca_calibrated10,Q2,0.691937414261452,0.4574547059649686,False,True,True,target_description_not_labels,0.1,450
subject_heldout,raw_lifelog_pca,Q3,1.2806742146943957,0.4982921810699589,False,True,True,target_description_not_labels,,450
subject_heldout,raw_lifelog_pca_calibrated10,Q3,0.6803049452148068,0.44489711934156384,False,True,True,target_description_not_labels,0.1,450
subject_heldout,raw_lifelog_pca,S1,0.9722403419283674,0.5634040226874103,False,True,True,target_description_not_labels,,450
subject_heldout,raw_lifelog_pca_calibrated10,S1,0.637654784030928,0.42839570852600173,False,True,True,target_description_not_labels,0.1,450
subject_heldout,raw_lifelog_pca,S2,1.242677777131188,0.5363796439207844,False,True,True,target_description_not_labels,,450
subject_heldout,raw_lifelog_pca_calibrated10,S2,0.6588745075374602,0.43007760700854325,False,True,True,target_description_not_labels,0.1,450
subject_heldout,raw_lifelog_pca,S3,1.683657319274138,0.38659042741080896,False,True,True,target_description_not_labels,,450
subject_heldout,raw_lifelog_pca_calibrated10,S3,0.6715996363473197,0.3439818085482162,False,True,True,target_description_not_labels,0.1,450
subject_heldout,raw_lifelog_pca,S4,1.242541988593636,0.5024250440917108,False,True,True,target_description_not_labels,,450
subject_heldout,raw_lifelog_pca_calibrated10,S4,0.7018395996817492,0.41668670835337507,False,True,True,target_description_not_labels,0.1,450
subject_heldout,raw_lifelog_pca,all,1.2684182957850558,0.49836427164110564,False,True,True,target_description_not_labels,,450
subject_heldout,raw_lifelog_pca_calibrated10,all,0.6787072706841146,0.4174256602951108,False,True,True,target_description_not_labels,0.1,450
subject_heldout,global_transported_prototype,Q1,0.8144016419076001,0.4395804112917564,False,True,True,target_description_not_labels,,450
subject_heldout,global_transported_prototype_calibrated10,Q1,0.7077950502882431,0.3883961201872741,False,True,True,target_description_not_labels,0.1,450
subject_heldout,global_transported_prototype,Q2,0.7472960501003587,0.49479344314921453,False,True,True,target_description_not_labels,,450
subject_heldout,global_transported_prototype_calibrated10,Q2,0.6955940623924478,0.42168094540639234,False,True,True,target_description_not_labels,0.1,450
subject_heldout,global_transported_prototype,Q3,0.7337375627930708,0.5062757201646091,False,True,True,target_description_not_labels,,450
subject_heldout,global_transported_prototype_calibrated10,Q3,0.6792935123485363,0.4229423868312758,False,True,True,target_description_not_labels,0.1,450
subject_heldout,global_transported_prototype,S1,0.6836375640590487,0.49390674472107693,False,True,True,target_description_not_labels,,450
subject_heldout,global_transported_prototype_calibrated10,S1,0.6401835339297535,0.38411425707842645,False,True,True,target_description_not_labels,0.1,450
subject_heldout,global_transported_prototype,S2,0.6745509354483304,0.6145953348840243,False,True,True,target_description_not_labels,,450
subject_heldout,global_transported_prototype_calibrated10,S2,0.6527430225674195,0.44612073650572814,False,True,True,target_description_not_labels,0.1,450
subject_heldout,global_transported_prototype,S3,0.7994552892978155,0.38444895796538325,False,True,True,target_description_not_labels,,450
subject_heldout,global_transported_prototype_calibrated10,S3,0.6659529465850915,0.3432753444012716,False,True,True,target_description_not_labels,0.1,450
