feature_set,base_feature_set,pairwise_weight_mode,family,best_policy,best_decoder_action,support_auc,support_ap,selected_cells,selected_gain_sum,selected_positive_gain_rate,gain_lift_vs_null,gain_z_vs_null,robust_score,full_pairwise_training_examples
binary_preference__world_residual_energy_pair,world_residual_energy_pair,binary_preference,world_residual_energy,top10_all_cells,raw_memory_release,0.5129221326064092,0.5089459613055421,315,2.3832191589048595,0.5396825396825397,7.0101202788543135,1.5261217486758616,4.3927596034331415,25200
tail_weighted_preference__world_residual_energy_pair,world_residual_energy_pair,tail_weighted_preference,world_residual_energy,low08_inverse_decisive,inverse_toxic_memory,0.5063339795508245,0.4922230344486254,195,-5.219139185657155,0.5641025641025641,3.604498739897717,1.626364210453205,-4.046879722820828,25200
tail_weighted_preference__world_residual_energy_action_pair,world_residual_energy_action_pair,tail_weighted_preference,world_residual_energy,top05_all_cells,raw_memory_release,0.5441574561525508,0.5289937569950548,158,-3.9885812479127924,0.5189873417721519,-2.5700564285532144,-0.797956930098855,-4.565185074015966,25200
tail_weighted_preference__world_full_action_pair,world_full_action_pair,tail_weighted_preference,world_full,low05_inverse_decisive,inverse_toxic_memory,0.5465935711236324,0.5386137849061308,122,-4.7244541162687925,0.639344262295082,-0.004266853428088524,-0.002462058184441399,-4.565881728706799,25200
tail_weighted_preference__world_predicted_action_pair,world_predicted_action_pair,tail_weighted_preference,world_predicted,top05_all_cells,raw_memory_release,0.5425247793971513,0.528832588590999,158,-6.585877581267293,0.5759493670886076,-4.616704332149306,-1.7399103660448971,-7.735259151816059,25200
binary_preference__world_predicted_action_pair,world_predicted_action_pair,binary_preference,world_predicted,top05_all_cells,raw_memory_release,0.5742305557268859,0.5579711506378009,158,-6.829319200146548,0.5949367088607594,-4.711485715182382,-1.6858907434818784,-7.993327711205505,25200
binary_preference__world_residual_energy_action_pair,world_residual_energy_action_pair,binary_preference,world_residual_energy,low05_inverse_decisive,inverse_toxic_memory,0.5751853692812473,0.5621230327269171,122,-9.291176782940637,0.5737704918032787,-6.742664881356919,-2.9312281867762655,-11.067898635271149,25200
tail_weighted_preference__action_pair_only,action_pair_only,tail_weighted_preference,shortcut_baseline,top18_decisive_only,raw_memory_release,0.5825616416101176,0.5639997892482607,439,-11.347927690842035,0.6378132118451025,-1.5699703697225527,-0.23371887107744557,-11.599664489997593,25200
binary_preference__world_full_action_pair,world_full_action_pair,binary_preference,world_full,low05_inverse_decisive,inverse_toxic_memory,0.5733771293833844,0.5593214971150423,122,-11.850489015919091,0.5573770491803278,-7.14754955185682,-3.0943000514829495,-13.74557614570685,25200
binary_preference__action_pair_only,action_pair_only,binary_preference,shortcut_baseline,top10_all_cells,raw_memory_release,0.5492147227936591,0.5491671932765374,315,-12.167458799584125,0.6222222222222222,-6.8774438911149485,-2.086411357746604,-13.898177125427036,25200
binary_preference__target_action_pair_only,target_action_pair_only,binary_preference,shortcut_baseline,top18_decisive_only,raw_memory_release,0.5565367741290476,0.5534186645378985,439,-14.247101167600647,0.6287015945330297,-3.711218003007801,-0.7309114563962359,-15.076203186231039,25200
tail_weighted_preference__target_action_pair_only,target_action_pair_only,tail_weighted_preference,shortcut_baseline,top05_all_cells,raw_memory_release,0.5599083524114636,0.5463486103607909,158,-14.536542740880975,0.569620253164557,-12.033718709345521,-5.076771030209961,-17.808709037343014,25200
