heldout_subject,target,accepted,score_col,policy,fraction,heldout_selected_cells,heldout_gain_sum,heldout_positive_gain_rate,raw_action_count,inverse_action_count
id01,Q1,True,predicted_subject_normalized_gain,top_decisive,0.02,1,-0.13002641583751984,0.0,1,0
id01,Q2,True,subject_relative_health_score,top_decisive,0.1,4,0.11125006487129313,0.75,4,0
id01,Q3,True,subject_relative_health_score,top_all,0.25,10,0.12321640638846665,0.7,10,0
id01,S1,True,subject_relative_health_score,top_decisive,0.02,1,-0.47931541079155715,0.0,0,1
id01,S2,True,subject_relative_health_score,top_decisive,0.06,2,-0.22368717977115055,0.5,0,2
id01,S3,False,predicted_subject_normalized_gain,hold,0.0,0,0.0,,0,0
id01,S4,True,subject_relative_health_score,top_decisive,0.06,0,0.0,,0,0
id02,Q1,True,predicted_subject_normalized_gain,top_decisive,0.02,1,-0.35413997438935496,0.0,1,0
id02,Q2,True,subject_normalized_pessimistic_utility,top_all,0.25,12,-0.03270359835141046,0.4166666666666667,7,5
id02,Q3,True,subject_relative_health_score,top_decisive,0.04,2,0.0038432320375582085,0.5,0,2
id02,S1,True,subject_relative_health_score,top_decisive,0.02,1,-0.06242939107464779,0.0,0,1
id02,S2,True,subject_relative_health_score,top_decisive,0.02,1,-0.054500042380571934,0.0,0,1
id02,S3,False,predicted_subject_normalized_gain,hold,0.0,0,0.0,,0,0
id02,S4,True,subject_relative_health_score,top_decisive,0.08,3,0.054908547160955834,0.6666666666666666,1,2
id03,Q1,True,predicted_subject_normalized_gain,top_decisive,0.02,1,0.10542546290603494,1.0,0,1
id03,Q2,True,subject_normalized_pessimistic_utility,top_all,0.25,8,0.1605273368394673,0.75,3,5
id03,Q3,True,subject_relative_health_score,top_all,0.02,1,-0.00018813765609393407,0.0,1,0
id03,S1,True,subject_relative_health_score,top_decisive,0.02,1,0.049928470765700284,1.0,0,1
id03,S2,True,subject_relative_health_score,top_all,0.02,1,-0.06869495208630938,0.0,0,1
id03,S3,False,predicted_subject_normalized_gain,hold,0.0,0,0.0,,0,0
id03,S4,True,subject_relative_health_score,top_all,0.08,3,0.1361206075977277,0.6666666666666666,3,0
id04,Q1,True,predicted_subject_normalized_gain,top_all,0.02,1,0.3461002689945185,1.0,1,0
id04,Q2,True,subject_normalized_pessimistic_utility,top_all,0.25,14,0.049287523158665913,0.6428571428571429,3,11
id04,Q3,True,subject_relative_health_score,top_decisive,0.04,2,0.09531007180550555,1.0,0,2
id04,S1,True,subject_relative_health_score,top_decisive,0.02,1,0.08361899750626267,1.0,0,1
id04,S2,True,subject_relative_health_score,top_decisive,0.02,1,0.07542190896928991,1.0,0,1
id04,S3,False,predicted_subject_normalized_gain,hold,0.0,0,0.0,,0,0
id04,S4,True,subject_relative_health_score,top_decisive,0.06,2,0.14200427241663616,1.0,2,0
id05,Q1,True,predicted_subject_normalized_gain,top_all,0.02,1,-0.0189698633193377,0.0,0,1
id05,Q2,True,subject_normalized_pessimistic_utility,top_all,0.25,11,0.2566408538076836,0.7272727272727273,2,9
id05,Q3,True,predicted_subject_normalized_gain,top_decisive,0.14,5,-0.09164096115936526,0.2,3,2
id05,S1,True,subject_relative_health_score,top_all,0.04,2,-0.09617175634225589,0.5,2,0
id05,S2,True,subject_relative_health_score,top_decisive,0.04,1,-0.11313387393231777,0.0,1,0
id05,S3,True,subject_relative_health_score,top_all,0.25,11,-1.1764022598515986,0.18181818181818182,10,1
id05,S4,True,subject_relative_health_score,top_all,0.08,4,-0.09857194691488291,0.5,3,1
id06,Q1,True,predicted_subject_normalized_gain,top_decisive,0.25,10,0.2571563567826552,0.5,8,2
id06,Q2,True,subject_relative_health_score,top_decisive,0.25,10,-0.29651032915254105,0.3,2,8
id06,Q3,True,subject_relative_health_score,top_all,0.06,3,-0.04999900361578413,0.3333333333333333,3,0
id06,S1,True,subject_relative_health_score,top_decisive,0.02,1,0.05853417535550398,1.0,1,0
id06,S2,True,subject_relative_health_score,top_decisive,0.02,1,0.05899304976416708,1.0,1,0
id06,S3,False,predicted_subject_normalized_gain,hold,0.0,0,0.0,,0,0
id06,S4,True,subject_relative_health_score,top_decisive,0.14,5,-0.6392413559090265,0.0,5,0
id07,Q1,True,predicted_subject_normalized_gain,top_all,0.25,12,-0.46069123474903895,0.4166666666666667,8,4
id07,Q2,True,subject_normalized_pessimistic_utility,top_all,0.25,12,0.2999046509538871,0.4166666666666667,1,11
