heldout_subject,selected_cells,gain_sum,mean_gain,positive_gain_rate,accepted_targets
id01,18,-0.5985625351404678,-0.03325347417447043,0.6111111111111112,"Q1,Q2,Q3,S1,S2,S4"
id02,20,-0.4450212269974711,-0.022251061349873556,0.4,"Q1,Q2,Q3,S1,S2,S4"
id03,15,0.3831187883665269,0.02554125255776846,0.6666666666666666,"Q1,Q2,Q3,S1,S2,S4"
id04,21,0.7917430428508788,0.03770204965956566,0.7619047619047619,"Q1,Q2,Q3,S1,S2,S4"
id05,35,-1.3382498077120748,-0.038235708791773564,0.4,"Q1,Q2,Q3,S1,S2,S3,S4"
id06,30,-0.6110671067750254,-0.020368903559167515,0.36666666666666664,"Q1,Q2,Q3,S1,S2,S4"
id07,32,-1.15228621016473,-0.03600894406764781,0.40625,"Q1,Q2,Q3,S1,S4"
id08,35,-0.29166981685289156,-0.008333423338654045,0.45714285714285713,"Q1,Q2,Q3,S4"
id09,18,-0.5377759305075159,-0.029876440583750885,0.4444444444444444,"Q1,Q2,Q3,S1,S2,S4"
id10,15,-0.012747747892125794,-0.0008498498594750529,0.6,"Q1,Q2,Q3,S1,S4"
