target,feature,mode,corr,c_value,base_loss,corrected_loss,best_weight,best_loss,delta_vs_base,mean_delta,median_delta,p25_delta,p75_delta,win_rate,mean_selected_weight,zero_weight_rate,passes_strict,passes_loose
S2,er_a20p0_pred_k15_rate_Q3,subject_z,0.15417450872889948,0.2,0.5389534496173579,0.5339818227028038,0.45,0.5324313966433608,-0.006522052973997106,-0.005857072314167886,-0.006218212892184272,-0.008591597297988432,-0.00391190000986763,0.9423076923076923,0.4228076923076924,0.0,True,True
Q3,er_a80p0_actual_k15_rate_S1,subject_center,0.18744701228100824,0.2,0.6303484889503163,0.6260228636157272,0.45,0.6241813257885782,-0.006167163161738043,-0.002571109414237266,-0.0020744817534410487,-0.006282033842895496,0.0,0.6846153846153846,0.3502692307692308,0.1076923076923077,True,True
S2,er_a20p0_pred_k15_rate_Q3,subject_z,0.15417450872889948,0.1,0.5389534496173579,0.5346859330651619,0.45,0.5331378805337645,-0.005815569083593375,-0.005061095683203947,-0.005130574593579129,-0.00758808932423638,-0.0035144747163513568,0.9384615384615385,0.417423076923077,0.0,True,True
Q1,er_a80p0_actual_k5_actual_pred_gap,subject_center,-0.18319789594255423,0.2,0.5746308240745168,0.5723765656365399,0.45,0.5688312706655847,-0.005799553408932123,-0.003429276970095967,-0.003931477326288291,-0.006498091497283809,0.0,0.7115384615384616,0.3598461538461539,0.11153846153846154,True,True
Q1,er_a80p0_actual_k15_actual_pred_gap,subject_center,-0.18319789594255423,0.2,0.5746308240745168,0.5723765656365399,0.45,0.5688312706655847,-0.005799553408932123,-0.003429276970095967,-0.003931477326288291,-0.006498091497283809,0.0,0.7115384615384616,0.3598461538461539,0.11153846153846154,True,True
Q1,er_a80p0_actual_k40_actual_pred_gap,subject_center,-0.18319789594255423,0.2,0.5746308240745168,0.5723765656365399,0.45,0.5688312706655847,-0.005799553408932123,-0.003429276970095967,-0.003931477326288291,-0.006498091497283809,0.0,0.7115384615384616,0.3598461538461539,0.11153846153846154,True,True
Q1,er_a80p0_pred_k5_actual_pred_gap,subject_center,-0.18319789594255423,0.2,0.5746308240745168,0.5723765656365399,0.45,0.5688312706655847,-0.005799553408932123,-0.003429276970095967,-0.003931477326288291,-0.006498091497283809,0.0,0.7115384615384616,0.3598461538461539,0.11153846153846154,True,True
Q1,er_a80p0_pred_k15_actual_pred_gap,subject_center,-0.18319789594255423,0.2,0.5746308240745168,0.5723765656365399,0.45,0.5688312706655847,-0.005799553408932123,-0.003429276970095967,-0.003931477326288291,-0.006498091497283809,0.0,0.7115384615384616,0.3598461538461539,0.11153846153846154,True,True
Q1,er_a80p0_pred_k40_actual_pred_gap,subject_center,-0.18319789594255423,0.2,0.5746308240745168,0.5723765656365399,0.45,0.5688312706655847,-0.005799553408932123,-0.003429276970095967,-0.003931477326288291,-0.006498091497283809,0.0,0.7115384615384616,0.3598461538461539,0.11153846153846154,True,True
Q1,er_a80p0_mix_k5_actual_pred_gap,subject_center,-0.18319789594255423,0.2,0.5746308240745168,0.5723765656365399,0.45,0.5688312706655847,-0.005799553408932123,-0.003429276970095967,-0.003931477326288291,-0.006498091497283809,0.0,0.7115384615384616,0.3598461538461539,0.11153846153846154,True,True
Q1,er_a80p0_mix_k15_actual_pred_gap,subject_center,-0.18319789594255423,0.2,0.5746308240745168,0.5723765656365399,0.45,0.5688312706655847,-0.005799553408932123,-0.003429276970095967,-0.003931477326288291,-0.006498091497283809,0.0,0.7115384615384616,0.3598461538461539,0.11153846153846154,True,True
Q1,er_a80p0_mix_k40_actual_pred_gap,subject_center,-0.18319789594255423,0.2,0.5746308240745168,0.5723765656365399,0.45,0.5688312706655847,-0.005799553408932123,-0.003429276970095967,-0.003931477326288291,-0.006498091497283809,0.0,0.7115384615384616,0.3598461538461539,0.11153846153846154,True,True
Q3,er_a80p0_actual_k15_rate_S1,subject_center,0.18744701228100824,0.1,0.6303484889503163,0.626628390495042,0.45,0.6247337731120959,-0.005614715838220374,-0.0021549536086431505,-0.001808739808827342,-0.005459104529332293,0.0,0.6384615384615384,0.34661538461538466,0.13076923076923078,True,True
S2,er_a20p0_pred_k15_change_S4,subject_rank,-0.15371793940230416,0.2,0.5389534496173579,0.5331705862156028,0.45,0.5334763317447769,-0.005477117872580983,-0.005206669068137879,-0.005606198910277693,-0.006907190002328867,-0.003494274524254548,0.9576923076923077,0.4296153846153847,0.0,True,True
Q1,er_a80p0_actual_k5_actual_pred_gap,subject_center,-0.18319789594255423,0.1,0.5746308240745168,0.5725182685677189,0.45,0.5693836356406595,-0.005247188433857297,-0.002935123406931442,-0.0029725836099666614,-0.0057733154774818884,0.0,0.7,0.35034615384615386,0.11153846153846154,True,True
Q1,er_a80p0_actual_k15_actual_pred_gap,subject_center,-0.18319789594255423,0.1,0.5746308240745168,0.5725182685677189,0.45,0.5693836356406595,-0.005247188433857297,-0.002935123406931442,-0.0029725836099666614,-0.0057733154774818884,0.0,0.7,0.35034615384615386,0.11153846153846154,True,True
Q1,er_a80p0_actual_k40_actual_pred_gap,subject_center,-0.18319789594255423,0.1,0.5746308240745168,0.5725182685677189,0.45,0.5693836356406595,-0.005247188433857297,-0.002935123406931442,-0.0029725836099666614,-0.0057733154774818884,0.0,0.7,0.35034615384615386,0.11153846153846154,True,True
