config,graph,smooth_weight,prior_weight,label_weight,group,scale,covered_rows,base_loss,oof_loss,oof_delta_vs_stage2
gk6_t1_sw0p25_pw0p75_lw20,gk6_t1,0.25,0.75,20.0,all,0.5,287,0.5675309246898171,0.5669142083362455,-0.0006167163535716336
gk6_t1_sw0p1_pw0p25_lw20,gk6_t1,0.1,0.25,20.0,all,0.5,287,0.5675309246898171,0.566916915900887,-0.0006140087889301427
gk6_t1_sw0p1_pw0p25_lw8,gk6_t1,0.1,0.25,8.0,all,0.5,287,0.5675309246898171,0.5669246045488214,-0.0006063201409957086
gk6_t1_sw0p25_pw0p75_lw8,gk6_t1,0.25,0.75,8.0,all,0.5,287,0.5675309246898171,0.5669380899459597,-0.0005928347438574066
gk6_t1_sw0p25_pw0p75_lw20,gk6_t1,0.25,0.75,20.0,all,0.75,287,0.5675309246898171,0.5669436778423804,-0.0005872468474367176
gk6_t1_sw0p1_pw0p75_lw20,gk6_t1,0.1,0.75,20.0,all,0.75,287,0.5675309246898171,0.5669491504830501,-0.0005817742067670828
gk6_t1_sw0p25_pw0p75_lw8,gk6_t1,0.25,0.75,8.0,all,0.75,287,0.5675309246898171,0.5669495236240919,-0.00058140106572524
gk6_t1_sw0p1_pw0p75_lw8,gk6_t1,0.1,0.75,8.0,all,0.75,287,0.5675309246898171,0.5669690509270582,-0.0005618737627589576
gk6_t1_sw0p1_pw0p25_lw20,gk6_t1,0.1,0.25,20.0,all,0.35,287,0.5675309246898171,0.5669707761427002,-0.0005601485471169454
gk6_t1_sw0p1_pw0p25_lw8,gk6_t1,0.1,0.25,8.0,all,0.35,287,0.5675309246898171,0.5669806763322817,-0.0005502483575354766
gk6_t1_sw0p1_pw0p25_lw20,gk6_t1,0.1,0.25,20.0,no_q2,0.5,287,0.5675309246898171,0.5670002427874576,-0.0005306819023594977
gk6_t1_sw0p25_pw0p75_lw20,gk6_t1,0.25,0.75,20.0,no_q2,0.5,287,0.5675309246898171,0.5670038823038339,-0.000527042385983223
gk6_t1_sw0p25_pw0p75_lw20,gk6_t1,0.25,0.75,20.0,all,0.35,287,0.5675309246898171,0.5670047305063123,-0.0005261941835048578
gk6_t1_sw0p1_pw0p25_lw8,gk6_t1,0.1,0.25,8.0,no_q2,0.5,287,0.5675309246898171,0.5670093751308464,-0.0005215495589707686
gk6_t1_sw0p5_pw0p75_lw20,gk6_t1,0.5,0.75,20.0,all,0.35,287,0.5675309246898171,0.56702470526454,-0.0005062194252771768
gk6_t1_sw0p25_pw0p75_lw8,gk6_t1,0.25,0.75,8.0,all,0.35,287,0.5675309246898171,0.5670298712966698,-0.0005010533931473216
gk6_t1_sw0p25_pw0p75_lw8,gk6_t1,0.25,0.75,8.0,no_q2,0.5,287,0.5675309246898171,0.5670302160675564,-0.0005007086222607038
gk6_t1_sw0p25_pw0p75_lw20,gk6_t1,0.25,0.75,20.0,no_q2,0.75,287,0.5675309246898171,0.5670326811820269,-0.0004982435077902636
gk6_t1_sw0p1_pw0p75_lw20,gk6_t1,0.1,0.75,20.0,no_q2,0.75,287,0.5675309246898171,0.5670400722644159,-0.0004908524254012558
gk6_t1_sw0p1_pw0p25_lw20,gk6_t1,0.1,0.25,20.0,no_q2,0.35,287,0.5675309246898171,0.5670468337508657,-0.0004840909389514092
gk6_t1_sw0p25_pw0p75_lw8,gk6_t1,0.25,0.75,8.0,no_q2,0.75,287,0.5675309246898171,0.5670468605966086,-0.00048406409320855825
gk6_t1_sw0p5_pw0p75_lw20,gk6_t1,0.5,0.75,20.0,all,0.25,287,0.5675309246898171,0.5670499740582373,-0.000480950631579824
gk6_t1_sw0p5_pw0p75_lw8,gk6_t1,0.5,0.75,8.0,all,0.35,287,0.5675309246898171,0.5670565201968901,-0.00047440449292701636
gk6_t1_sw0p1_pw0p25_lw8,gk6_t1,0.1,0.25,8.0,no_q2,0.35,287,0.5675309246898171,0.5670570442062758,-0.0004738804835413557
gk6_t1_sw0p1_pw0p75_lw8,gk6_t1,0.1,0.75,8.0,no_q2,0.75,287,0.5675309246898171,0.5670606414015804,-0.00047028328823672805
gk6_t1_sw0p1_pw0p25_lw20,gk6_t1,0.1,0.25,20.0,all,0.25,287,0.5675309246898171,0.5670688021620588,-0.0004621225277583463
gk6_t1_sw0p1_pw0p25_lw8,gk6_t1,0.1,0.25,8.0,all,0.75,287,0.5675309246898171,0.5670711974060488,-0.0004597272837683075
