cell,columns,context_width,resid_std
deep__other,6,27,0.5499164617635027
phone_charge__all,8,17,0.24495039871877383
phone_charge__early,9,16,0.3996376050392998
phone_charge__morning,9,16,0.43983719564042023
phone_charge__afternoon,8,16,0.4899797664509373
phone_charge__evening,9,16,0.3330113418652492
phone_charge__late,9,17,0.3966443272157647
phone_screen__all,7,17,0.27285419256552923
phone_screen__early,9,16,0.3976072251819665
phone_screen__morning,7,16,0.4401864038626242
phone_screen__afternoon,8,16,0.3689545389243651
phone_screen__evening,8,16,0.3379530152573002
phone_screen__late,9,17,0.39208493528846966
phone_light__all,12,17,0.2249795259159303
phone_light__early,12,16,0.47932910129235373
phone_light__morning,12,16,0.3334420046024953
phone_light__afternoon,12,16,0.31867736589466694
phone_light__evening,12,16,0.43535954741768096
phone_light__late,12,17,0.4474489663679132
watch_light__all,12,17,0.2100348229608248
watch_light__early,12,16,0.5022874205517079
watch_light__morning,12,16,0.35513450189692114
watch_light__afternoon,12,16,0.291993711273767
watch_light__evening,12,16,0.42046360820520273
watch_light__late,12,17,0.444071472444263
watch_pedo__all,30,17,0.24886153383241985
watch_pedo__early,42,16,0.5524562009953419
watch_pedo__morning,43,16,0.3869246907773987
watch_pedo__afternoon,35,16,0.3498625593897902
watch_pedo__evening,35,16,0.3820250618746808
watch_pedo__late,40,17,0.4945262607789774
phone_activity__all,17,17,0.12490710084582993
phone_activity__early,17,16,0.3016212676561463
phone_activity__morning,17,16,0.2168259166341295
phone_activity__afternoon,17,16,0.2057825021580886
phone_activity__evening,17,16,0.19057229103189233
phone_activity__late,17,17,0.2590560403269998
deep__all,7,18,0.23493180737249195
deep__early,7,17,0.4577415655308076
deep__morning,7,17,0.4196967606885769
deep__afternoon,7,17,0.36756150540876786
deep__evening,7,17,0.28886835026770186
deep__late,7,18,0.35683279480226476
wifi__all,7,18,0.16598599700669694
wifi__early,7,17,0.3830918569868874
wifi__morning,7,17,0.3159016472260481
wifi__afternoon,7,17,0.34584126990916714
wifi__evening,7,17,0.2520661294602143
wifi__late,8,18,0.24359707080258952
ble__all,8,18,0.13640974368922945
ble__early,8,17,0.5042609048654986
ble__morning,8,17,0.3177020470869894
ble__afternoon,8,17,0.21709104031613446
ble__evening,8,17,0.3159285194948666
ble__late,9,18,0.3410380976616343
usage__all,44,17,0.11180029283655062
usage__early,44,16,0.3565642335810956
usage__morning,44,16,0.28988205626567887
usage__afternoon,44,16,0.26567649389267733
usage__evening,44,16,0.24800058156810129
usage__late,44,17,0.35039003332630997
ambience__all,46,17,0.1571362242805836
ambience__early,46,16,0.32074170616854103
ambience__morning,46,16,0.25345115196827417
ambience__afternoon,46,16,0.2988148328215426
ambience__evening,46,16,0.2523092949103983
ambience__late,46,17,0.2784212938963018
gps__all,7,17,0.12925124996060688
gps__early,7,16,0.4755937880362869
gps__morning,7,16,0.21024536805122748
gps__afternoon,7,16,0.3320312724624564
gps__evening,7,16,0.29206236770801614
gps__late,7,17,0.3873758268911557
proxy__other,90,23,0.2547712422990368
proxy__late,4,14,0.8476528003505571
presleep_other__other,45,24,0.2341793571008354
presleep_screen__pre1h,7,19,0.24992948721383001
presleep_screen__pre3h,7,19,0.23053383643874611
presleep_screen__pre6h,5,19,0.27918635901522937
presleep_screen__other,12,24,0.2748419381532408
presleep_activity__pre1h,7,19,0.2783306677672748
presleep_activity__pre3h,7,19,0.20986411524084356
presleep_activity__pre6h,7,19,0.20396120007954072
presleep_activity__other,14,24,0.26755897171610815
presleep_charge__pre1h,7,19,0.30617778605949075
presleep_charge__pre3h,7,19,0.23545316697939178
presleep_charge__pre6h,7,19,0.27284164871295624
presleep_charge__other,14,24,0.36636121209918904
presleep_mlight__pre1h,7,19,0.33978300121150573
presleep_mlight__pre3h,7,19,0.28536417306116674
presleep_mlight__pre6h,7,19,0.33542707721650666
presleep_mlight__other,14,24,0.3228275104565922
presleep_wlight__pre1h,7,19,0.3292689928713168
presleep_wlight__pre3h,7,19,0.31284088528101356
presleep_wlight__pre6h,7,19,0.3789291797494932
presleep_wlight__other,14,24,0.24024011120895594
presleep_other__pre1h,28,19,0.356443478562075
presleep_other__pre3h,28,19,0.30896568280709413
presleep_other__pre6h,24,19,0.3501650476362533
presleep_usage__pre1h,12,19,0.46791561404203874
presleep_usage__pre3h,12,19,0.3498317165353906
presleep_usage__pre6h,12,19,0.41275968194200935
presleep_usage__other,22,24,0.43227196847655913
presleep_ambience__pre1h,9,19,0.43336389625590804
presleep_ambience__pre3h,9,19,0.32972989370765515
presleep_ambience__pre6h,9,19,0.3848628439630327
presleep_ambience__other,18,24,0.4533353378443345
prectx_screen__pre1h,56,19,0.1071510890907243
prectx_screen__pre3h,56,19,0.08821912665559305
prectx_screen__pre6h,40,19,0.1153517136220699
prectx_screen__other,96,24,0.10433566913919633
prectx_activity__pre1h,56,19,0.11453632746058753
prectx_activity__pre3h,56,19,0.08586573666567877
prectx_activity__pre6h,56,19,0.08649478530921054
prectx_activity__other,112,24,0.1023833883623542
prectx_charge__pre1h,56,19,0.1347906696839389
prectx_charge__pre3h,56,19,0.10870321105048972
prectx_charge__pre6h,56,19,0.11584333008036611
prectx_charge__other,112,24,0.15663585687781945
prectx_mlight__pre1h,56,19,0.15281378865671402
prectx_mlight__pre3h,56,19,0.1334888267492992
prectx_mlight__pre6h,56,19,0.13630258280918411
prectx_mlight__other,112,24,0.1264915524925896
prectx_wlight__pre1h,56,19,0.1250077846669628
prectx_wlight__pre3h,56,19,0.12649036073166134
prectx_wlight__pre6h,56,19,0.1459838709954682
prectx_wlight__other,112,24,0.09320480190842786
prectx_other__pre1h,224,19,0.14137629044691563
prectx_other__pre3h,224,19,0.11554091961327823
prectx_other__pre6h,192,19,0.137933449454183
prectx_other__other,352,24,0.09498044433279916
prectx_hr__pre1h,8,19,0.182272837069982
prectx_hr__pre3h,8,19,0.12837363709974242
prectx_hr__pre6h,8,19,0.1829324907285245
prectx_hr__other,16,24,0.3149852089607177
prectx_usage__pre1h,96,20,0.21310865726994102
prectx_usage__pre3h,96,20,0.1693758418990465
prectx_usage__pre6h,96,20,0.1734134992142629
prectx_usage__other,176,25,0.051988256294958776
prectx_usage__all,16,16,0.03810331416597558
prectx_ambience__pre1h,72,19,0.1906446274795878
prectx_ambience__pre3h,72,19,0.133549586681002
prectx_ambience__pre6h,72,19,0.1532538889870592
prectx_ambience__other,144,24,0.19449393865895084
quiet__other,600,21,0.30459184665972994
wifi__other,5,27,0.3298101443046157
ble__other,5,27,0.32847338026343964
