group,columns,components,explained_variance,scheme
deep,48,6,0.5005853174352328,modality
phone_charge,52,6,0.6207277997072693,modality
phone_screen,48,6,0.5602379007694112,modality
phone_light,72,6,0.5872047338906263,modality
watch_light,72,6,0.5609365667213364,modality
watch_pedo,225,6,0.5712181166722955,modality
phone_activity,102,6,0.51674309453813,modality
wifi,48,6,0.7470489722550313,modality
ble,54,6,0.687758235137352,modality
usage,264,6,0.5593251427428207,modality
ambience,276,6,0.6317817175890756,modality
gps,42,5,0.6528647257873621,modality
proxy,158,6,0.5290978581736955,modality
presleep_other,125,6,0.7149027936059592,modality
presleep_screen,31,3,0.4659332688675174,modality
presleep_activity,35,4,0.5647781314070468,modality
presleep_charge,35,4,0.641110774649978,modality
presleep_mlight,35,4,0.575165627935758,modality
presleep_wlight,35,4,0.5595909310869732,modality
presleep_usage,60,6,0.9999999999999992,modality
presleep_ambience,45,5,0.999999999999999,modality
prectx_screen,248,6,0.38299191724368487,modality
prectx_activity,280,6,0.38860421350860125,modality
prectx_charge,280,6,0.43749769256588705,modality
prectx_mlight,280,6,0.40194678334757283,modality
prectx_wlight,280,6,0.37217999436593996,modality
prectx_other,992,6,0.4041203817764283,modality
prectx_hr,40,5,0.7887745504041284,modality
prectx_usage,480,6,0.746049475373402,modality
prectx_ambience,360,6,0.8527861865258493,modality
quiet,600,6,0.9123785802566585,modality
other,2093,6,0.42273748984097825,time
all,223,6,0.4552207245361449,time
early,220,6,0.4859100906705482,time
morning,219,6,0.4744665091260494,time
afternoon,211,6,0.4743846989007193,time
evening,212,6,0.46809046803907817,time
late,224,6,0.4398480225469158,time
pre2h,64,6,0.7727938916704945,time
pre1h,765,6,0.39410787487005383,time
pre3h,765,6,0.39071654469024714,time
pre6h,711,6,0.42548611860525876,time
quiet__other,600,4,0.7693650593462789,sensor_time
prectx_other__other,352,4,0.5679102134754319,sensor_time
prectx_other__pre1h,224,4,0.5475260431414045,sensor_time
prectx_other__pre3h,224,4,0.5081055652032405,sensor_time
prectx_other__pre6h,192,4,0.5727699746814039,sensor_time
prectx_usage__other,176,4,0.8463931057321271,sensor_time
prectx_ambience__other,144,4,0.9371519530203036,sensor_time
prectx_activity__other,112,4,0.4533406035034597,sensor_time
prectx_charge__other,112,4,0.526574933855203,sensor_time
prectx_mlight__other,112,4,0.5197672678287384,sensor_time
prectx_wlight__other,112,4,0.4800554849213662,sensor_time
prectx_screen__other,96,4,0.5582659807950181,sensor_time
prectx_usage__pre1h,96,4,0.982990777452263,sensor_time
prectx_usage__pre3h,96,4,0.9805864250818478,sensor_time
prectx_usage__pre6h,96,4,0.9795138104697899,sensor_time
proxy__other,90,4,0.5538442847592515,sensor_time
prectx_ambience__pre1h,72,4,0.9843637013106998,sensor_time
prectx_ambience__pre3h,72,4,0.9846993840453793,sensor_time
prectx_ambience__pre6h,72,4,0.9853827166417829,sensor_time
proxy__pre2h,64,4,0.6133781196843038,sensor_time
prectx_screen__pre1h,56,4,0.49081475642852795,sensor_time
prectx_screen__pre3h,56,4,0.4550826144561595,sensor_time
prectx_activity__pre1h,56,4,0.5860734085872199,sensor_time
prectx_activity__pre3h,56,4,0.5460188342114769,sensor_time
prectx_activity__pre6h,56,4,0.5182812050115957,sensor_time
prectx_charge__pre1h,56,4,0.5822510791952504,sensor_time
prectx_charge__pre3h,56,4,0.5407695892694854,sensor_time
prectx_charge__pre6h,56,4,0.5041130984256456,sensor_time
prectx_mlight__pre1h,56,4,0.6380731353526636,sensor_time
prectx_mlight__pre3h,56,4,0.567510839976146,sensor_time
deep,1291,6,0.2908446853738946,prefix
proxy,158,6,0.5290978581736955,prefix
presleep,406,6,0.46351319901527416,prefix
prectx,3240,6,0.2572093269962182,prefix
quiet,600,6,0.9123785802566585,prefix
