target,feature,mode,corr,c_value,base_loss,best_weight,best_blend_loss,delta_vs_base,mean_delta,median_delta,p25_delta,p75_delta,win_rate,mean_selected_weight,zero_weight_rate,passes_loose,passes_strict
S4,neural_jepa__full_z11,subject_center,-0.1903194266431406,0.2,0.6034040622125061,0.45,0.5962264789788244,-0.0071775832336816725,-0.004748287370596473,-0.005190475497192815,-0.008685837215255399,-0.001179288383853172,0.8076923076923077,0.39884615384615385,0.038461538461538464,True,True
S4,neural_jepa__full_z11,subject_z,-0.1835310180692432,0.2,0.6034040622125061,0.45,0.5965083777225261,-0.006895684489980014,-0.004860290315654163,-0.005353951711639993,-0.008574917252763936,-0.00183134509784455,0.8615384615384616,0.4078846153846154,0.026923076923076925,True,True
S1,neural_jepa_mask__sensor__presleep_activity__resid_mean,subject_center,-0.1689787816348187,0.2,0.47894327588040597,0.45,0.47260892276246863,-0.006334353117937341,-0.00599150000045971,-0.006190223431304986,-0.008429484002543564,-0.0034301338322673125,0.9615384615384616,0.4296153846153847,0.007692307692307693,True,True
S1,neural_jepa_mask__sensor__presleep_activity__resid_mean,global_z,-0.16907689384612457,0.2,0.47894327588040597,0.45,0.47298472394235924,-0.00595855193804673,-0.0056402456700511035,-0.006055655555819828,-0.00783272416598442,-0.003270752109221703,0.9653846153846154,0.42919230769230776,0.007692307692307693,True,True
S4,neural_jepa__full_z11,subject_center,-0.1903194266431406,0.05,0.6034040622125061,0.45,0.597586545233564,-0.005817516978942061,-0.003453479939874854,-0.004186716211630637,-0.006838155373268012,-0.0006276486007394944,0.7730769230769231,0.3851923076923077,0.03461538461538462,True,True
S4,neural_jepa__full_z11,global_z,-0.17857050180656664,0.2,0.6034040622125061,0.45,0.59763802639733,-0.005766035815176096,-0.00343486673835718,-0.003708241042074345,-0.00693802533085186,-0.0006253599339039462,0.7769230769230769,0.38830769230769235,0.05,True,True
S4,neural_jepa__full_z11,subject_z,-0.1835310180692432,0.05,0.6034040622125061,0.45,0.5979057499615553,-0.005498312250950765,-0.0035755487883203266,-0.004096215999508712,-0.0065075890713398865,-0.0010746734537106506,0.8423076923076923,0.3977692307692308,0.023076923076923078,True,True
S2,neural_jepa_mask__sensor__deep__cos,subject_rank,0.1604462792574113,0.2,0.5389534496173579,0.45,0.5338818214842261,-0.005071628133131778,-0.004358705957549798,-0.005035632683921931,-0.006405111340546943,-0.002286023557586281,0.9192307692307692,0.4059615384615385,0.019230769230769232,True,True
S1,neural_jepa_mask__sensor__presleep_activity__resid_mean,subject_z,-0.15122922976787326,0.2,0.47894327588040597,0.45,0.47459172391566545,-0.004351551964740519,-0.003289548594339123,-0.003729400977104086,-0.005223719090990231,-0.001336099484428338,0.8730769230769231,0.3846153846153847,0.03461538461538462,True,True
S4,neural_jepa_mask__time__morning__latent_shift_norm,subject_z,0.15313614777612855,0.2,0.6034040622125061,0.45,0.5992673705034443,-0.004136691709061835,-0.003133338513411829,-0.00365102901866432,-0.005079754402562031,-0.0017808679227022672,0.8692307692307693,0.39907692307692316,0.019230769230769232,True,True
S4,neural_jepa__full_z11,global_z,-0.17857050180656664,0.05,0.6034040622125061,0.45,0.5996530429087258,-0.003751019303780301,-0.0017133971004940143,-0.002028739081124331,-0.004165807244374764,0.0,0.7076923076923077,0.36765384615384616,0.06153846153846154,True,True
S2,neural_jepa_mask__sensor__deep__cos,subject_z,0.15050928611557837,0.2,0.5389534496173579,0.45,0.5352081716166871,-0.0037452780006708153,-0.0019309706941446599,-0.002718933268355983,-0.00378273872270668,0.0,0.7076923076923077,0.34807692307692306,0.06153846153846154,True,True
S4,neural_jepa__full_z11,subject_rank,-0.1624909475644746,0.2,0.6034040622125061,0.45,0.5996861058868347,-0.003717956325671401,-0.0014703199516849688,-0.0020200778385067175,-0.0040118204635990196,0.0,0.6692307692307692,0.36465384615384616,0.08846153846153847,True,True
Q3,neural_jepa_mask__time__late__resid_mean,subject_z,0.13276633038059124,0.2,0.6303484889503163,0.45,0.6266654227822763,-0.003683066168039928,-0.0016755149497907496,-0.0021093153917114416,-0.0042410483660046405,0.0,0.7076923076923077,0.36423076923076925,0.08846153846153847,True,True
S1,neural_jepa_mask__sensor__presleep_activity__resid_mean,subject_rank,-0.1441015132551926,0.2,0.47894327588040597,0.45,0.4752966564445651,-0.003646619435840881,-0.0024481847804228994,-0.002524105688677364,-0.00424856799426121,-0.000841150873395341,0.8153846153846154,0.3834615384615385,0.05,True,True
Q3,neural_jepa_mask__time__late__resid_mean,subject_center,0.13627042265498368,0.2,0.6303484889503163,0.45,0.6267081417090952,-0.003640347241221087,-0.0018270278571910735,-0.0022777963684644797,-0.00410995608974396,0.0,0.7269230769230769,0.3701923076923077,0.07692307692307693,True,True
S1,neural_jepa_mask__sensor__presleep_activity__resid_mean,subject_center,-0.1689787816348187,0.05,0.47894327588040597,0.45,0.47530869002592124,-0.0036345858544847287,-0.002499385236871381,-0.002760142020870271,-0.004183651045161649,-0.0008024297237027023,0.8346153846153846,0.37607692307692314,0.06153846153846154,True,True
S2,neural_jepa_mask__sensor__deep__cos,subject_center,0.1511101661489639,0.2,0.5389534496173579,0.45,0.5354067777936339,-0.0035466718237240347,-0.0017311554074552185,-0.002316314354753768,-0.0035711133657340133,0.0,0.6807692307692308,0.3457307692307693,0.09230769230769231,True,True
S1,neural_jepa_mask__sensor__presleep_activity__resid_mean,global_z,-0.16907689384612457,0.05,0.47894327588040597,0.45,0.47548077597616584,-0.003462499904240135,-0.0023585408725032802,-0.0027654283003230584,-0.004081257740952651,-0.0007203659401520124,0.8423076923076923,0.3741153846153846,0.06538461538461539,True,True
S2,neural_jepa__full_z00,subject_rank,-0.14048544105309563,0.2,0.5389534496173579,0.45,0.535665699572818,-0.003287750044539961,-0.0027106750692707593,-0.002713809721282545,-0.003980787866722624,-0.0015934778511071945,0.9076923076923077,0.4099615384615385,0.011538461538461539,True,True
S2,neural_jepa_mask__sensor__phone_charge__latent_shift_norm,subject_center,-0.14301077316314015,0.2,0.5389534496173579,0.45,0.535708353976245,-0.0032450956411128606,-0.0023834156860952447,-0.0027756669732590944,-0.0038545296364015796,-0.0010718276006228544,0.8576923076923076,0.3886923076923078,0.04230769230769231,True,True
Q3,neural_jepa_mask__time__late__resid_mean,global_z,0.13494943538053777,0.2,0.6303484889503163,0.45,0.6271148828132123,-0.003233606137103995,-0.0015530897336576302,-0.00201866645961446,-0.0038199761677196187,0.0,0.7230769230769231,0.3654615384615385,0.07692307692307693,True,True
S4,neural_jepa_mask__time__morning__latent_shift_norm,subject_center,0.14801914469422148,0.2,0.6034040622125061,0.45,0.600301565345391,-0.0031024968671150566,-0.0019559435642650122,-0.0022234862307349834,-0.003600191851510698,-0.0004928580284904727,0.8038461538461539,0.3752307692307693,0.03076923076923077,True,True
S2,neural_jepa_mask__sensor__phone_charge__latent_shift_norm,subject_rank,-0.14198726338195572,0.2,0.5389534496173579,0.45,0.5359699774486312,-0.002983472168726742,-0.0018440934657516447,-0.0020460777381402506,-0.0035365181017007474,-0.00035805373871040935,0.7961538461538461,0.3688846153846154,0.05384615384615385,True,True
S2,neural_jepa_mask__sensor__deep__pred_norm,subject_center,0.14343540542487013,0.2,0.5389534496173579,0.45,0.5360339609102973,-0.0029194887070606024,-0.0016324623539469027,-0.0017773385540872655,-0.003384753116274508,-0.0002790965842207199,0.7576923076923077,0.36380769230769233,0.046153846153846156,True,True
S2,neural_jepa_mask__sensor__deep__cos,subject_rank,0.1604462792574113,0.05,0.5389534496173579,0.45,0.5360541159468597,-0.0028993336704982164,-0.001855382078257876,-0.0023706509497405936,-0.003416688307215726,-0.0003666008573244839,0.7807692307692308,0.36003846153846153,0.03076923076923077,True,True
S2,neural_jepa_mask__sensor__deep__pred_norm,subject_z,0.1378169894168372,0.2,0.5389534496173579,0.45,0.5360966852049369,-0.002856764412420998,-0.0016226077866234288,-0.001921749742223089,-0.003305963096168152,-0.00041422799501407426,0.7653846153846153,0.36242307692307696,0.038461538461538464,True,True
Q3,neural_jepa_mask__time__afternoon__pred_norm,subject_rank,-0.13867181413743174,0.2,0.6303484889503163,0.45,0.6275177811159568,-0.0028307078343594583,-0.0019463701431824089,-0.002172601228119464,-0.0032145809640817535,-0.0006740123426844935,0.8576923076923076,0.3684615384615385,0.023076923076923078,True,True
Q3,neural_jepa_mask__sensor__prectx_ambience__resid_abs_mean,subject_z,-0.1392573566402126,0.2,0.6303484889503163,0.45,0.6275188564979615,-0.002829632452354791,-0.0014634445337805332,-0.0019462842218335719,-0.003315662163044575,0.0,0.7115384615384616,0.3285769230769231,0.07692307692307693,True,True
S4,neural_jepa_mask__time__morning__latent_shift_norm,subject_z,0.15313614777612855,0.05,0.6034040622125061,0.45,0.600618009166209,-0.002786053046297088,-0.0020552396523306066,-0.0025464595844847393,-0.0033442708113434194,-0.0009778425116306888,0.8846153846153846,0.38530769230769235,0.011538461538461539,True,True
S3,neural_jepa_mask__sensor__phone_screen__pred_norm,subject_rank,0.14126895730309585,0.2,0.5034376794790675,0.45,0.5008855223410941,-0.00255215713797341,-0.001926251246029588,-0.0023156357229969227,-0.003205857175894347,-0.0007989872763351502,0.8846153846153846,0.3703461538461539,0.026923076923076925,True,True
S3,neural_jepa_mask__sensor__wifi__pred_norm,subject_z,0.1345246715139224,0.2,0.5034376794790675,0.45,0.5009791845977082,-0.0024584948813592966,-0.0022666130419910827,-0.002502788795064076,-0.0030706113337307522,-0.0017566614612246623,0.9692307692307692,0.42096153846153855,0.0,True,True
S4,neural_jepa_mask__time__morning__latent_shift_norm,global_z,0.14568752198154228,0.2,0.6034040622125061,0.45,0.6010319799308248,-0.002372082281681287,-0.0012267849385141963,-0.0016432577924771485,-0.002681099359173794,0.0,0.7307692307692307,0.3549615384615385,0.04230769230769231,True,True
S3,neural_jepa_mask__sensor__wifi__pred_norm,subject_rank,0.1331539168158114,0.2,0.5034376794790675,0.45,0.5011951421269456,-0.002242537352121876,-0.002197348223826167,-0.0022496110149726745,-0.0025617830884122617,-0.0018936364567167518,1.0,0.4407692307692308,0.0,True,True
Q3,neural_jepa_mask__sensor__prectx_ambience__resid_norm,subject_z,-0.13219026199804987,0.2,0.6303484889503163,0.45,0.628249915611647,-0.0020985733386692518,-0.000925837089504402,-0.0013778121674513644,-0.0023717667007776555,0.0,0.6807692307692308,0.3195769230769231,0.08076923076923077,True,True
S4,neural_jepa_mask__time__morning__latent_shift_norm,subject_center,0.14801914469422148,0.05,0.6034040622125061,0.45,0.6014605573963834,-0.0019435048161227098,-0.0011456321303456914,-0.0015380700934736202,-0.0022622349345784443,-0.0001927528726306249,0.7807692307692308,0.34857692307692306,0.011538461538461539,True,True
S3,neural_jepa_mask__time__early__cos,subject_rank,0.13018300699623198,0.2,0.5034376794790675,0.45,0.5016823906515597,-0.0017552888275077505,-0.0006595735040730685,-0.0009469143869567098,-0.0019233160516862746,0.0,0.676923076923077,0.3317692307692308,0.07692307692307693,True,True
S3,neural_jepa_mask__time__morning__cos,subject_rank,0.13583497039286752,0.2,0.5034376794790675,0.45,0.5018995063964674,-0.0015381730826000695,-0.0010093338917135937,-0.0012768874672772768,-0.001785755561470162,-0.00028928640938591377,0.8269230769230769,0.3642307692307693,0.007692307692307693,True,True
S4,neural_jepa_mask__time__morning__latent_shift_norm,global_z,0.14568752198154228,0.05,0.6034040622125061,0.3,0.602047569912904,-0.0013564922996021078,-0.0005860558588024866,-0.0009981252576409805,-0.0015918525629713132,0.0001933013690751384,0.676923076923077,0.32084615384615384,0.015384615384615385,True,True
S4,neural_jepa_mask__sensor__usage__pred_norm,subject_rank,0.1385637904035145,0.05,0.6034040622125061,0.3,0.6022049871173365,-0.0011990750951695883,-0.0003778720502288135,-0.0008517637277636325,-0.001377705642405358,0.0002002351222682719,0.6576923076923077,0.2853076923076923,0.08076923076923077,True,True
S3,neural_jepa_mask__sensor__wifi__pred_norm,subject_z,0.1345246715139224,0.05,0.5034376794790675,0.3,0.5023929454044624,-0.001044734074605036,-0.0004990596533063428,-0.0008915551561903268,-0.0012081330115622513,0.00011998136175850327,0.7,0.30465384615384616,0.0,True,True
S3,neural_jepa_mask__sensor__wifi__pred_norm,subject_rank,0.1331539168158114,0.05,0.5034376794790675,0.3,0.5025046406283407,-0.0009330388507268195,-0.0006735273367810826,-0.0009443406395056031,-0.0010907935514802292,-0.00014905966416633998,0.8038461538461539,0.30596153846153845,0.0,True,True
S3,neural_jepa_mask__time__late__latent_shift_norm,subject_z,-0.14544645837636005,0.2,0.5034376794790675,0.45,0.5000235674255755,-0.003414112053491958,-0.0012265409589738026,-0.0010744616734263412,-0.0035927102908941966,0.0,0.6153846153846154,0.33730769230769236,0.1423076923076923,True,False
S2,neural_jepa_mask__sensor__usage__pred_norm,subject_rank,0.1500542613526892,0.2,0.5389534496173579,0.45,0.535892298744328,-0.0030611508730299386,-0.0011804962535710008,-0.0017528565227391546,-0.003167186025978541,0.00023138959522217561,0.6461538461538462,0.32942307692307693,0.08461538461538462,True,False
