fold,train_blocks,pred_blocks,semantic_proto_entropy,routine_proto_entropy,prior_label_sem_proto_acc
geom_r00,327.0,20.0,0.9723491742619125,0.9235951596335761,0.15
geom_r01,349.0,19.0,0.9734654165784643,0.8636095129357687,0.42105263157894735
geom_r02,325.0,23.0,0.969630942596543,0.9146278884079538,0.30434782608695654
geom_r03,326.0,20.0,0.9798132531319765,0.8781596207616525,0.45
geom_r04,333.0,21.0,0.9652006393100744,0.918288564491376,0.09523809523809523
geom_r05,332.0,22.0,0.9925024469436294,0.8646315165698174,0.3181818181818182
geom_r06,331.0,19.0,0.9628363587176524,0.8802122173229613,0.3684210526315789
geom_r07,309.0,23.0,0.9767830619233837,0.8256265710039392,0.21739130434782608
subject_chunk_00,430.0,10.0,0.9800240734976252,0.8354652438364372,0.4
subject_chunk_01,405.0,10.0,0.9720683458298682,0.8682379266812342,0.2
subject_chunk_02,399.0,10.0,0.9906715077261243,0.9079565642106014,0.4
subject_chunk_03,416.0,10.0,0.9652104558568942,0.85164254628261,0.3
subject_chunk_04,448.0,10.0,0.9802598435510744,0.8432689924228369,0.3
submission_full_fit,563.0,36.0,0.9783972017199495,0.913793511695863,0.19444444444444445
