source,avg_log_loss,Q1,Q2,Q3,S1,S2,S3,S4
best__absolute_plus_deviation__c0.3_b0.2,0.6229613176952576,0.6689861051722832,0.7020978592408005,0.6741574430886071,0.5709585946396454,0.5775006583045229,0.5239268911855993,0.6431016722353451
best__absolute_plus_deviation__c0.1_b0.2,0.6237927803338889,0.6700346459207199,0.7010001209828194,0.6736543305290845,0.570926638022677,0.5773858608726387,0.530509557959145,0.6430383080501377
cc_opportunity__absolute_plus_deviation__c0.3_b0.2,0.6239959075907674,0.6568506230521555,0.7047065519318017,0.681741857502317,0.5667922439022329,0.5733896143619269,0.5436323672690268,0.6408580951159107
cc_opportunity__deviation__c0.3_b0.2,0.6240000389114064,0.6572921174642111,0.7010459374929312,0.6786958822835681,0.5680677575113613,0.5746443452231528,0.5449843735416169,0.6432698588630044
best__deviation__c0.3_b0.2,0.6240101458125175,0.6684858700909789,0.7005359830135,0.6709453564867801,0.5722806991144583,0.5788038606570198,0.5319263483329497,0.6450929029919353
best__absolute__c0.3_b0.2,0.6241173933055804,0.6684824693681113,0.6960139424354125,0.6715958320010429,0.5767896497254626,0.57712377584321,0.5353697319901312,0.6434463517756924
cc_opportunity__deviation__c0.1_b0.2,0.6242924308642976,0.6596237096765132,0.6997213028166468,0.6781091947021984,0.5696486150765496,0.5754523371564493,0.5440732253515326,0.6434186312701935
cc_opportunity__absolute_plus_deviation__c0.1_b0.2,0.6245333788527432,0.6587679241250035,0.7024805258532716,0.6804654873359365,0.5688430823290619,0.5750722848090297,0.5441666307270809,0.641937716789818
cc_recovery__absolute_plus_deviation__c0.3_b0.2,0.6245722268869633,0.6718757728744545,0.6974735501006113,0.6710096345050851,0.5747000374740704,0.5769892985253551,0.5386979406979222,0.6412593540312451
best__absolute_plus_deviation__c0.3_b0.1,0.6246402437204839,0.6703870520810266,0.7028804579912902,0.6753899056246451,0.5725652829206151,0.5782982172544664,0.5283124809539718,0.644648309217372
cc_chain_interactions__deviation__c0.3_b0.2,0.6247545516042202,0.6658038996515023,0.7006742413238916,0.6785630562781023,0.5684740840992477,0.5762350485437562,0.5439318890022536,0.6395996423307874
best__absolute__c0.1_b0.2,0.6248055077107109,0.6690211013852839,0.695985553273431,0.6722815756692752,0.5765698767452224,0.5785418448526426,0.5375898762311342,0.6436487258179873
