held_fold,target,selected_source,source_family,raw_best_source,raw_best_selector_loss,train_base_loss,selector_loss,selection_action,held_loss,base_loss,delta_vs_base
1,Q1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute__c0.1_b0.2,0.6727658030173043,0.6729153793169524,0.6729153793169524,base,0.6542470716001195,0.6542470716001195,0.0
1,Q2,best__deviation__c0.03_b0.2,best_late_fusion,best__deviation__c0.03_b0.2,0.6889373017514493,0.6944269037684465,0.6889373017514493,switch,0.7266318410346375,0.7307572647783885,-0.004125423743751022
1,Q3,event_rhythm__absolute__c0.1_b0.2,event_rhythm,event_rhythm__absolute__c0.1_b0.2,0.6620987136327817,0.6719937616348821,0.6620987136327817,switch,0.6990342604294435,0.681469247009676,0.01756501341976746
1,S1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute_plus_deviation__c0.3_b0.2,0.5739749657354346,0.5739749657354346,0.5739749657354346,base,0.5585774309855461,0.5585774309855461,0.0
1,S2,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute_plus_deviation__c0.3_b0.1,0.574231357297906,0.5744588756867305,0.5744588756867305,base,0.593742773904609,0.593742773904609,0.0
1,S3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best_plus_event_rhythm__absolute_plus_deviation__c0.3_b0.2,0.5374451874437234,0.5374680051668604,0.5374680051668604,base,0.4757292551240594,0.4757292551240594,0.0
1,S4,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,event_rhythm,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,0.6306020724747986,0.6381512286617883,0.6306020724747986,switch,0.6702028402230406,0.6636272252405176,0.006575614982522904
2,Q1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__deviation__c0.3_b0.2,0.6676259071821429,0.6694845726854766,0.6694845726854766,base,0.6679702981260229,0.6679702981260229,0.0
2,Q2,best__absolute__c0.03_b0.2,best_late_fusion,best__absolute__c0.03_b0.2,0.70797310982932,0.7164562705403362,0.70797310982932,switch,0.6482717103321152,0.6426397976908295,0.005631912641285708
2,Q3,event_rhythm__absolute__c0.03_b0.2,event_rhythm,event_rhythm__absolute__c0.03_b0.2,0.6633651321005818,0.6670390625965787,0.6633651321005818,switch,0.6935855109118229,0.7012880431628896,-0.007702532251066763
2,S1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute_plus_deviation__c0.3_b0.2,0.570809103944413,0.570809103944413,0.570809103944413,base,0.5712408781496329,0.5712408781496329,0.0
2,S2,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute__c0.3_b0.2,0.5881092382706976,0.5902797195315552,0.5902797195315552,base,0.5304593985253098,0.5304593985253098,0.0
2,S3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute_plus_deviation__c0.3_b0.2,0.5265472200273725,0.5265472200273725,0.5265472200273725,base,0.519412395682011,0.519412395682011,0.0
2,S4,best_plus_event_rhythm__deviation__c0.3_b0.2,event_rhythm,best_plus_event_rhythm__deviation__c0.3_b0.2,0.6497170153708878,0.6551411253119637,0.6497170153708878,switch,0.5932191569531264,0.5956676386398164,-0.002448481686689985
3,Q1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute__c0.3_b0.2,0.6655902252258051,0.6656529326027678,0.6656529326027678,base,0.6832968584568578,0.6832968584568578,0.0
3,Q2,best__absolute__c0.1_b0.2,best_late_fusion,best__absolute__c0.1_b0.2,0.682967968114196,0.6866298015156377,0.682967968114196,switch,0.7465838260567991,0.7619456737896239,-0.015361847732824785
3,Q3,best__deviation__c0.3_b0.2,best_late_fusion,best__deviation__c0.3_b0.2,0.6719118456433799,0.6751867890778018,0.6719118456433799,switch,0.6660327950084107,0.6686971372379973,-0.002664342229586558
3,S1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute_plus_deviation__c0.1_b0.2,0.5666930887243538,0.5669579045881455,0.5669579045881455,base,0.5866456755747026,0.5866456755747026,0.0
3,S2,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute__c0.3_b0.2,0.5851198598470599,0.5865710489801774,0.5865710489801774,base,0.545294080730821,0.545294080730821,0.0
3,S3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best_plus_event_rhythm__absolute_plus_deviation__c0.3_b0.2,0.5216708584652912,0.5231994259094707,0.5231994259094707,base,0.5328035721536187,0.5328035721536187,0.0
3,S4,best_plus_event_rhythm__deviation__c0.3_b0.2,event_rhythm,best_plus_event_rhythm__deviation__c0.3_b0.2,0.6401640762115282,0.6435396027353252,0.6401640762115282,switch,0.6314309135905648,0.6420737289463703,-0.010642815355805468
4,Q1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__deviation__c0.3_b0.2,0.6698137906739353,0.6710429822008572,0.6710429822008572,base,0.6617366600645,0.6617366600645,0.0
4,Q2,best__deviation__c0.03_b0.2,best_late_fusion,best__deviation__c0.03_b0.2,0.7006460113744124,0.7087666453920428,0.7006460113744124,switch,0.6797970025427851,0.6733982982840032,0.006398704258781862
4,Q3,event_rhythm__absolute__c0.03_b0.2,event_rhythm,event_rhythm__absolute__c0.03_b0.2,0.6809722505722684,0.6883369680715584,0.6809722505722684,switch,0.623157037025076,0.6160964212629707,0.00706061576210526
4,S1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute_plus_deviation__c0.1_b0.2,0.5637708665418891,0.5640614367730471,0.5640614367730471,base,0.5982315468350962,0.5982315468350962,0.0
4,S2,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute_plus_deviation__c0.3_b0.2,0.5768027305945124,0.5768027305945124,0.5768027305945124,base,0.5843673542734815,0.5843673542734815,0.0
4,S3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute_plus_deviation__c0.3_b0.2,0.5312763392846667,0.5312763392846667,0.5312763392846667,base,0.5004959186528348,0.5004959186528348,0.0
4,S4,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,event_rhythm,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,0.6295596405390259,0.6343539701105175,0.6295596405390259,switch,0.6743725679661314,0.6788162594456009,-0.004443691479469436
5,Q1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute__c0.3_b0.2,0.6655813573739305,0.6668127220618751,0.6668127220618751,base,0.6786577006204288,0.6786577006204288,0.0
5,Q2,best__absolute__c0.3_b0.2,best_late_fusion,best__absolute__c0.3_b0.2,0.695999452559501,0.7021852586357112,0.695999452559501,switch,0.6947820761817243,0.6997238453093294,-0.004941769127605133
5,Q3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__deviation__c0.3_b0.2,0.6642891816434913,0.6668877121683834,0.6668877121683834,base,0.7018934448756707,0.7018934448756707,0.0
5,S1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute_plus_deviation__c0.1_b0.2,0.5783082721162816,0.5786738828862444,0.5786738828862444,base,0.5397817623823069,0.5397817623823069,0.0
5,S2,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute__c0.3_b0.2,0.5614428663828261,0.5634659018585553,0.5634659018585553,base,0.6377146692173097,0.6377146692173097,0.0
5,S3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute_plus_deviation__c0.3_b0.2,0.507110285403131,0.507110285403131,0.507110285403131,base,0.5971601341789773,0.5971601341789773,0.0
5,S4,best_plus_event_rhythm__deviation__c0.3_b0.2,event_rhythm,best_plus_event_rhythm__deviation__c0.3_b0.2,0.6392603541782371,0.6450462130680763,0.6392603541782371,switch,0.6350458017237288,0.6360472876153658,-0.0010014858916369551
