fold,source,target,loss
1,best__absolute_plus_deviation__c0.3_b0.2,Q1,
1,best__absolute_plus_deviation__c0.3_b0.2,Q2,
1,best__absolute_plus_deviation__c0.3_b0.2,Q3,
1,best__absolute_plus_deviation__c0.3_b0.2,S1,0.5585774309855461
1,best__absolute_plus_deviation__c0.3_b0.2,S2,
1,best__absolute_plus_deviation__c0.3_b0.2,S3,0.4757292551240594
1,best__absolute_plus_deviation__c0.3_b0.2,S4,
1,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q1,
1,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q2,
1,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q3,
1,best_plus_mobility_constriction__deviation__c0.03_b0.2,S1,
1,best_plus_mobility_constriction__deviation__c0.03_b0.2,S2,
1,best_plus_mobility_constriction__deviation__c0.03_b0.2,S3,
1,best_plus_mobility_constriction__deviation__c0.03_b0.2,S4,
1,routine_regularity__deviation__c0.1_b0.2,Q1,
1,routine_regularity__deviation__c0.1_b0.2,Q2,
1,routine_regularity__deviation__c0.1_b0.2,Q3,
1,routine_regularity__deviation__c0.1_b0.2,S1,
1,routine_regularity__deviation__c0.1_b0.2,S2,
1,routine_regularity__deviation__c0.1_b0.2,S3,
1,routine_regularity__deviation__c0.1_b0.2,S4,
1,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q1,
1,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q2,
1,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q3,0.6885498712097599
1,best_plus_mobility_constriction__deviation__c0.1_b0.2,S1,
1,best_plus_mobility_constriction__deviation__c0.1_b0.2,S2,
1,best_plus_mobility_constriction__deviation__c0.1_b0.2,S3,
1,best_plus_mobility_constriction__deviation__c0.1_b0.2,S4,
1,ef_recovery_slope__deviation__c0.3_b0.2,Q1,
1,ef_recovery_slope__deviation__c0.3_b0.2,Q2,0.7031065110367136
1,ef_recovery_slope__deviation__c0.3_b0.2,Q3,
1,ef_recovery_slope__deviation__c0.3_b0.2,S1,
1,ef_recovery_slope__deviation__c0.3_b0.2,S2,
1,ef_recovery_slope__deviation__c0.3_b0.2,S3,
1,ef_recovery_slope__deviation__c0.3_b0.2,S4,
1,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,Q1,
