fold,source,target,loss
1,td_trajectory__deviation__c0.03_b0.2,Q1,
1,td_trajectory__deviation__c0.03_b0.2,Q2,
1,td_trajectory__deviation__c0.03_b0.2,Q3,0.6674738648910964
1,td_trajectory__deviation__c0.03_b0.2,S1,
1,td_trajectory__deviation__c0.03_b0.2,S2,
1,td_trajectory__deviation__c0.03_b0.2,S3,
1,td_trajectory__deviation__c0.03_b0.2,S4,
1,best_plus_trajectory_proto__absolute__c0.03_b0.2,Q1,
1,best_plus_trajectory_proto__absolute__c0.03_b0.2,Q2,
1,best_plus_trajectory_proto__absolute__c0.03_b0.2,Q3,
1,best_plus_trajectory_proto__absolute__c0.03_b0.2,S1,
1,best_plus_trajectory_proto__absolute__c0.03_b0.2,S2,
1,best_plus_trajectory_proto__absolute__c0.03_b0.2,S3,
1,best_plus_trajectory_proto__absolute__c0.03_b0.2,S4,
1,best_plus_trajectory_proto__deviation__c0.03_b0.2,Q1,
1,best_plus_trajectory_proto__deviation__c0.03_b0.2,Q2,0.7041812875810302
1,best_plus_trajectory_proto__deviation__c0.03_b0.2,Q3,
1,best_plus_trajectory_proto__deviation__c0.03_b0.2,S1,
1,best_plus_trajectory_proto__deviation__c0.03_b0.2,S2,
1,best_plus_trajectory_proto__deviation__c0.03_b0.2,S3,
1,best_plus_trajectory_proto__deviation__c0.03_b0.2,S4,
1,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,Q1,
1,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,Q2,
1,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,Q3,
1,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,S1,
1,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,S2,
1,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,S3,
1,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,S4,0.6702028402230406
1,best__absolute_plus_deviation__c0.3_b0.2,Q1,0.6542470716001195
1,best__absolute_plus_deviation__c0.3_b0.2,Q2,
1,best__absolute_plus_deviation__c0.3_b0.2,Q3,
1,best__absolute_plus_deviation__c0.3_b0.2,S1,0.5585774309855461
1,best__absolute_plus_deviation__c0.3_b0.2,S2,0.593742773904609
1,best__absolute_plus_deviation__c0.3_b0.2,S3,0.4757292551240594
1,best__absolute_plus_deviation__c0.3_b0.2,S4,
1,td_trajectory__deviation__c0.3_b0.2,Q1,
1,td_trajectory__deviation__c0.3_b0.2,Q2,
1,td_trajectory__deviation__c0.3_b0.2,Q3,
1,td_trajectory__deviation__c0.3_b0.2,S1,
1,td_trajectory__deviation__c0.3_b0.2,S2,
1,td_trajectory__deviation__c0.3_b0.2,S3,
1,td_trajectory__deviation__c0.3_b0.2,S4,
1,best_plus_trajectory_proto__absolute__c0.3_b0.2,Q1,
1,best_plus_trajectory_proto__absolute__c0.3_b0.2,Q2,
1,best_plus_trajectory_proto__absolute__c0.3_b0.2,Q3,
1,best_plus_trajectory_proto__absolute__c0.3_b0.2,S1,
1,best_plus_trajectory_proto__absolute__c0.3_b0.2,S2,
1,best_plus_trajectory_proto__absolute__c0.3_b0.2,S3,
1,best_plus_trajectory_proto__absolute__c0.3_b0.2,S4,
1,best_plus_event_rhythm__deviation__c0.3_b0.2,Q1,
1,best_plus_event_rhythm__deviation__c0.3_b0.2,Q2,
1,best_plus_event_rhythm__deviation__c0.3_b0.2,Q3,
1,best_plus_event_rhythm__deviation__c0.3_b0.2,S1,
1,best_plus_event_rhythm__deviation__c0.3_b0.2,S2,
1,best_plus_event_rhythm__deviation__c0.3_b0.2,S3,
1,best_plus_event_rhythm__deviation__c0.3_b0.2,S4,
2,td_trajectory__deviation__c0.03_b0.2,Q1,
