held_fold,target,rank,source,source_family,selector_loss,held_loss
1,Q1,1,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,0.6722574595910153,0.6284821525280794
1,Q1,2,best_plus_routine_digital__absolute__c0.03_b0.1,routine_digital,0.6725600311514555,0.6440391534182074
1,Q1,3,best__absolute__c0.1_b0.2,best_late_fusion,0.6727658030173043,0.6548073636342788
1,Q1,4,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.6729153793169524,0.6542470716001195
1,Q1,5,best__absolute__c0.3_b0.2,best_late_fusion,0.6729339525903841,0.651744060832581
1,Q2,1,best__deviation__c0.03_b0.2,best_late_fusion,0.6889373017514493,0.7266318410346375
1,Q2,2,best__deviation__c0.1_b0.2,best_late_fusion,0.6896335148042678,0.729757578700544
1,Q2,3,best__absolute__c0.03_b0.2,best_late_fusion,0.6903269972396839,0.7188561606906594
1,Q2,4,best__absolute__c0.1_b0.2,best_late_fusion,0.6903762349862961,0.7169507585683991
1,Q2,5,best__absolute__c0.3_b0.2,best_late_fusion,0.6906763948441259,0.7160743070432246
1,Q3,1,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,0.6661455588404058,0.6819079673387377
1,Q3,2,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,0.6685940843051844,0.6753331953384728
1,Q3,3,best__deviation__c0.3_b0.2,best_late_fusion,0.6692243415562183,0.6767828113570569
1,Q3,4,best_plus_routine_digital__absolute__c0.03_b0.1,routine_digital,0.6693301815612737,0.6824765721619002
1,Q3,5,best__deviation__c0.1_b0.2,best_late_fusion,0.6695973067026628,0.6778632562875562
1,S1,1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.5739749657354346,0.5585774309855461
1,S1,2,best__absolute_plus_deviation__c0.1_b0.2,best_late_fusion,0.5742068638631281,0.5577170344446953
1,S1,3,best__absolute_plus_deviation__c0.3_b0.1,best_late_fusion,0.5752078945579424,0.5614652736960578
