held_fold,target,selected_source,source_family,raw_best_source,raw_best_selector_loss,train_base_loss,selector_loss,selection_action,held_loss,base_loss,delta_vs_base
1,Q1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best_plus_routine_digital__absolute__c0.03_b0.2,0.6722574595910153,0.6729153793169524,0.6729153793169524,base,0.6542470716001195,0.6542470716001195,0.0
1,Q2,best__deviation__c0.03_b0.2,best_late_fusion,best__deviation__c0.03_b0.2,0.6889373017514493,0.6944269037684465,0.6889373017514493,switch,0.7266318410346375,0.7307572647783885,-0.004125423743751022
1,Q3,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,best_plus_routine_digital__absolute__c0.03_b0.2,0.6661455588404058,0.6719937616348821,0.6661455588404058,switch,0.6819079673387377,0.681469247009676,0.00043872032906167036
1,S1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute_plus_deviation__c0.3_b0.2,0.5739749657354346,0.5739749657354346,0.5739749657354346,base,0.5585774309855461,0.5585774309855461,0.0
1,S2,best_plus_routine_digital__absolute__c0.3_b0.1,routine_digital,best_plus_routine_digital__absolute__c0.3_b0.1,0.57115127413767,0.5744588756867305,0.57115127413767,switch,0.5739600698656799,0.593742773904609,-0.01978270403892901
1,S3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute_plus_deviation__c0.3_b0.2,0.5374680051668604,0.5374680051668604,0.5374680051668604,base,0.4757292551240594,0.4757292551240594,0.0
1,S4,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute_plus_deviation__c0.3_b0.1,0.6380156575638214,0.6381512286617883,0.6381512286617883,base,0.6636272252405176,0.6636272252405176,0.0
2,Q1,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,best_plus_routine_digital__absolute__c0.03_b0.2,0.6605152194650576,0.6694845726854766,0.6605152194650576,switch,0.67545111303191,0.6679702981260229,0.007480814905887034
2,Q2,best__absolute__c0.03_b0.2,best_late_fusion,best__absolute__c0.03_b0.2,0.70797310982932,0.7164562705403362,0.70797310982932,switch,0.6482717103321152,0.6426397976908295,0.005631912641285708
2,Q3,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,best_plus_routine_digital__deviation__c0.03_b0.2,0.6609659757171844,0.6670390625965787,0.6609659757171844,switch,0.7058456296904729,0.7012880431628896,0.004557586527583313
2,S1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,0.5686585880480443,0.570809103944413,0.570809103944413,base,0.5712408781496329,0.5712408781496329,0.0
2,S2,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,routine_digital,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,0.5784376796590002,0.5902797195315552,0.5784376796590002,switch,0.5275194000866306,0.5304593985253098,-0.0029399984386792033
2,S3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute_plus_deviation__c0.3_b0.2,0.5265472200273725,0.5265472200273725,0.5265472200273725,base,0.519412395682011,0.519412395682011,0.0
2,S4,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,best_plus_routine_digital__deviation__c0.03_b0.2,0.6475911973118181,0.6551411253119637,0.6475911973118181,switch,0.6047166964436442,0.5956676386398164,0.009049057803827809
3,Q1,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,best_plus_routine_digital__absolute__c0.03_b0.2,0.6589099302659593,0.6656529326027678,0.6589099302659593,switch,0.6818722698283031,0.6832968584568578,-0.0014245886285547682
