selector,dir,min_train_delta,base_avg,nested_selected_avg,delta_vs_base
broad,domain_temporal_deviation_nested_selection_v1_margin_0,0.0,0.623191621386494,0.623060900124719,-0.00013072126177519856
broad,domain_temporal_deviation_nested_selection_v1_margin_0p0005,0.0005,0.623191621386494,0.622930861506927,-0.00026075987956719913
broad,domain_temporal_deviation_nested_selection_v1_margin_0p001,0.001,0.623191621386494,0.6226758505451715,-0.0005157708413225744
broad,domain_temporal_deviation_nested_selection_v1_margin_0p002,0.002,0.623191621386494,0.6225901108108186,-0.0006015105756755488
broad,domain_temporal_deviation_nested_selection_v1_margin_0p003,0.003,0.623191621386494,0.6221816980482885,-0.0010099233382057538
broad,domain_temporal_deviation_nested_selection_v1_margin_0p005,0.005,0.623191621386494,0.6224488041488225,-0.0007428172376716129
trajectory_only,domain_temporal_deviation_nested_selection_trajectory_only_margin_0,0.0,0.623191621386494,0.6233474413412753,0.0001558199547810827
trajectory_only,domain_temporal_deviation_nested_selection_trajectory_only_margin_0p001,0.001,0.623191621386494,0.62260087985174,-0.0005907415347541514
trajectory_only,domain_temporal_deviation_nested_selection_trajectory_only_margin_0p002,0.002,0.623191621386494,0.621928491245857,-0.0012631301406370206
trajectory_only,domain_temporal_deviation_nested_selection_trajectory_only_margin_0p003,0.003,0.623191621386494,0.6215070502395805,-0.001684571146913605
trajectory_only,domain_temporal_deviation_nested_selection_trajectory_only_margin_0p005,0.005,0.623191621386494,0.6219069183001114,-0.0012847030863827578
