row,bundle_size,targets,flat_indices,steps,public_delta_estimate,public_utility,old_route_energy,new_route_energy,route_energy_delta,max_h088_alignment,min_stability,source_support_sum,solver_score
184,2,S2+S1,"1292,1291","[(1292, 'S2', 1.48), (1291, 'S1', 1.0621441130024665)]",-0.002418447208688461,0.002418447208688461,0.6840839009131192,0.6420868468934148,-0.04199705401970444,0.6177142857142857,1.0,11,0.0049819717804076916
234,2,S4+S3,"1644,1643","[(1644, 'S4', -1.48), (1643, 'S3', 0.7019479395633896)]",-0.0023389542926815303,0.0023389542926815303,0.734783888398664,0.7077456007737588,-0.027038287624905233,0.5085714285714286,1.0,12,0.004428301986677152
109,2,S2+S1,"767,766","[(767, 'S2', -1.48), (766, 'S1', -0.7805949501328948)]",-0.001741666158805151,0.001741666158805151,0.7380815683072779,0.7430832348470168,0.00500166653973888,0.6097142857142858,1.0,9,0.0020801564412513823
234,1,S4,1644,"[(1644, 'S4', -0.7947072867419533)]",-0.001077892547921259,0.001077892547921259,0.734783888398664,0.7075812953944972,-0.02720259300416683,0.5085714285714286,1.0,4,0.0020476687481000206
184,1,S2,1292,"[(1292, 'S2', 0.8358483936575)]",-0.0008920383380900622,0.0008920383380900622,0.6840839009131192,0.6592449183879413,-0.02483898252517791,0.5348571428571428,1.0,5,0.001809563429858534
5,1,S2,39,"[(39, 'S2', 0.69772659592776)]",-0.0006047036734457463,0.0006047036734457463,0.7002695208916305,0.6802679616919942,-0.02000155919963631,0.0,1.0,9,0.0014591440966591324
8,1,S2,60,"[(60, 'S2', 0.36396921859610937)]",-0.00013906291965556456,0.00013906291965556456,0.6961381056847362,0.659121653283334,-0.03701645240140217,0.0,0.8846153846153846,8,0.001372745966609022
193,1,S2,1355,"[(1355, 'S2', 0.7987760286381504)]",-0.0008094774630919287,0.0008094774630919287,0.7546568287124052,0.7465428862103511,-0.008113942502054106,0.5994285714285714,1.0,9,0.001337080214669646
109,1,S2,767,"[(767, 'S2', -0.7145472842789804)]",-0.0006367331960335328,0.0006367331960335328,0.7380815683072779,0.7180567885458541,-0.020024779761423805,0.5554285714285714,1.0,3,0.0012893030094623637
112,1,S1,787,"[(787, 'S1', 0.6170798480570434)]",-0.0006297040463240519,0.0006297040463240519,0.7437214442229084,0.7288749089864347,-0.014846535236473724,0.6068571428571429,1.0,3,0.0011345833155146105
130,1,S4,916,"[(916, 'S4', -0.3776013887194772)]",-0.00021433443364229706,0.00021433443364229706,0.9079054700334854,0.8889736957486585,-0.018931774284826952,0.496,1.0,5,0.0008224040337525131
5,1,Q3,37,"[(37, 'Q3', 0.7996667579230392)]",-0.0009228323225797668,0.0009228323225797668,0.7002695208916305,0.7065075670911318,0.0062380461995013015,0.0,1.0,5,0.0007679758113482409
27,1,Q2,190,"[(190, 'Q2', -0.5336127988812613)]",-0.00035062925243056227,0.00035062925243056227,0.6564416803539928,0.6504372487033325,-0.006004431650660225,0.0,1.0,8,0.0006457543603517387
229,1,S2,1607,"[(1607, 'S2', 0.37804708931060976)]",-0.0001521691948425596,0.0001521691948425596,0.7841615909534548,0.7691387321757311,-0.015022858777723691,0.58,1.0,4,0.0006147123257599275
95,1,S3,670,"[(670, 'S3', 0.4133266265964395)]",-0.0002625346651563207,0.0002625346651563207,0.620796184661378,0.6136680656732895,-0.0071281189880885165,0.5845714285714285,1.0,8,0.000568375260361565
53,1,Q2,372,"[(372, 'Q2', -0.6682652750802053)]",-0.0005745993876206007,0.0005745993876206007,0.6260076255933452,0.6282692360448731,0.00226161045152784,0.5731428571428572,1.0,5,0.0005655009930930101
50,1,Q2,351,"[(351, 'Q2', -0.5498889316728527)]",-0.0003748005425069367,0.0003748005425069367,0.6321398673733064,0.629849412641669,-0.002290454731637359,0.0,1.0,8,0.000557187040164934
