law_name,feature_view,model_name,model_family,policy,param,logloss,switched_cells,mean_realized_gain_all_cells,mean_realized_gain_switched,positive_true_gain_rate,episode_route_match_rate,episode_family_match_rate,mean_row_episode_score_switched,target_null_p_ge_observed,target_family_null_p_ge_observed,target_null_z,target_family_null_z,target_null_mean,target_null_std,target_family_null_mean,target_family_null_std
route_law_no_episode__episode_tree_depth2_leaf18,route_law_no_episode,episode_tree_depth2_leaf18,tree,topfrac,0.08,0.6329024135132717,59,0.004094668637723154,0.051009855063161316,0.5932203389830508,0.0,0.3559322033898305,-0.0073671070660435755,0.022,0.020666666666666667,2.052566069505903,2.024808462229487,-0.0016167964204985127,0.002782597424304368,-0.0015077498998554623,0.0027668881487238916
episode_route_gate__episode_tree_depth2_leaf18,episode_route_gate,episode_tree_depth2_leaf18,tree,topfrac,0.08,0.6329024135132717,59,0.004094668637723154,0.051009855063161316,0.5932203389830508,0.0,0.3559322033898305,-0.0073671070660435755,0.024333333333333332,0.02033333333333333,2.0086313961690805,2.058103198321096,-0.0014942178820862935,0.0027824351100300096,-0.0015890894903230351,0.0027616487514730706
episode_full_assignment__episode_tree_depth2_leaf18,episode_full_assignment,episode_tree_depth2_leaf18,tree,topfrac,0.08,0.6329024135132717,59,0.004094668637723154,0.051009855063161316,0.5932203389830508,0.0,0.3559322033898305,-0.0073671070660435755,0.026333333333333334,0.027,2.0511655903605766,1.9883146818399084,-0.001572328935161226,0.002762818174952014,-0.0014535032185123123,0.0027903892210368857
route_law_no_episode__episode_tree_depth2_leaf18,route_law_no_episode,episode_tree_depth2_leaf18,tree,topfrac,0.06,0.6329644160311012,44,0.004032666119893637,0.0673638545027687,0.6363636363636364,0.0,0.36363636363636365,-0.015102247517701449,0.015666666666666666,0.014333333333333333,2.163311597860146,2.1657782071928544,-0.0011952769558999845,0.0024166389534290276,-0.0012533649427947607,0.0024407074764778514
episode_route_gate__episode_tree_depth2_leaf18,episode_route_gate,episode_tree_depth2_leaf18,tree,topfrac,0.06,0.6329644160311012,44,0.004032666119893637,0.0673638545027687,0.6363636363636364,0.0,0.36363636363636365,-0.015102247517701449,0.015666666666666666,0.019333333333333334,2.208714588286297,2.1550504376417834,-0.0012214220011809189,0.002378799030413029,-0.0011862949455807516,0.0024217349971564304
episode_full_assignment__episode_tree_depth2_leaf18,episode_full_assignment,episode_tree_depth2_leaf18,tree,topfrac,0.06,0.6329644160311012,44,0.004032666119893637,0.0673638545027687,0.6363636363636364,0.0,0.36363636363636365,-0.015102247517701449,0.015333333333333332,0.02033333333333333,2.1326324857273034,2.1594833476587465,-0.0011137423726225446,0.002413171761641375,-0.0011825295079953254,0.0024150200711402273
route_law_no_episode__episode_tree_depth2_leaf18,route_law_no_episode,episode_tree_depth2_leaf18,tree,topfrac,0.04,0.6336042368258874,29,0.0033928453251073957,0.08599107979151502,0.6551724137931034,0.0,0.2413793103448276,-0.010023853763518093,0.021,0.017,2.157035945687115,2.205909358904561,-0.0007982454109575461,0.0019429860426966074,-0.0008394528226170621,0.0019186183378931704
episode_route_gate__episode_tree_depth2_leaf18,episode_route_gate,episode_tree_depth2_leaf18,tree,topfrac,0.04,0.6336042368258874,29,0.0033928453251073957,0.08599107979151502,0.6551724137931034,0.0,0.2413793103448276,-0.010023853763518093,0.020666666666666667,0.018,2.1441393881404767,2.142813801743135,-0.0008458492709926867,0.0019768745537463057,-0.0008397301746776038,0.0019752418508513837
episode_full_assignment__episode_tree_depth2_leaf18,episode_full_assignment,episode_tree_depth2_leaf18,tree,topfrac,0.04,0.6336042368258874,29,0.0033928453251073957,0.08599107979151502,0.6551724137931034,0.0,0.2413793103448276,-0.010023853763518093,0.017333333333333333,0.019333333333333334,2.148221205834428,2.121315156453188,-0.0008057979329487225,0.001954474356110478,-0.0007728731753975316,0.0019637433352760066
episode_full_assignment__episode_gbdt_shallow,episode_full_assignment,episode_gbdt_shallow,gbdt,topfrac,0.02,0.6337480434461231,15,0.0032490387048717305,0.15920289653871478,0.8,0.3333333333333333,0.6666666666666666,0.02396598060489024,0.0003333333333333333,0.0,3.470763204456432,2.981327809395194,-0.000494413613495234,0.0010785674786342099,-0.0007049486655309375,0.0013262504572433423
route_law_no_episode__episode_tree_depth2_leaf18,route_law_no_episode,episode_tree_depth2_leaf18,tree,topfrac,0.15,0.6339507672498441,110,0.0030463149011507413,0.020354922294052693,0.5363636363636364,0.17272727272727273,0.42727272727272725,-0.004051598704657755,0.05,0.04466666666666667,1.6957911961892185,1.7085082071134288,-0.0031148698397035243,0.003633221327425027,-0.0031235710258965686,0.003611270874414764
episode_route_gate__episode_tree_depth2_leaf18,episode_route_gate,episode_tree_depth2_leaf18,tree,topfrac,0.15,0.6339507672498441,110,0.0030463149011507413,0.020354922294052693,0.5363636363636364,0.17272727272727273,0.42727272727272725,-0.004051598704657755,0.050666666666666665,0.051333333333333335,1.6818052995274417,1.6852113331568204,-0.003123668891746877,0.003668667113031026,-0.00314975883593771,0.0036767339592249622
episode_full_assignment__episode_tree_depth2_leaf18,episode_full_assignment,episode_tree_depth2_leaf18,tree,topfrac,0.15,0.6339507672498441,110,0.0030463149011507413,0.020354922294052693,0.5363636363636364,0.17272727272727273,0.42727272727272725,-0.004051598704657755,0.04933333333333333,0.046,1.680803663102169,1.672660372945734,-0.0029677560559529387,0.003578092485831352,-0.003152755753431742,0.003706114376145145
