cells,rows,mean_mixture_score,mean_agreement_score,mean_conflict_score,mean_mode_confidence,mean_action_health,sum_predicted_scalar_delta,sum_predicted_bad_delta,sum_predicted_residual_delta,sum_predicted_total_mode_delta,mean_energy_delta,mean_subject_delta,supported_rate,bad_tangent_cosine,variant
12.0,12.0,0.7129451345512674,1.0,0.07616631932761896,0.5016937440105572,0.5191089308773795,-2.0471465795797736,-0.3627041503040858,-0.2409566309237078,-0.6036607812277935,0.006082959930418519,0.0011950423552908498,0.75,-0.005813616109469116,mixture_consensus_jackpot
12.0,11.0,0.7062371659229131,1.0,0.05685013386698438,0.5354431273065848,0.5035692113126355,-2.2403271690200777,-0.3691460305047235,-0.15223245384069142,-0.5213784843454149,-0.0010627883945894627,-0.00021466179320403034,0.9166666666666666,-0.007679186076900235,mixture_consensus_jackpot
12.0,11.0,0.6918796589376736,1.0,0.07030616709075116,0.5151135811190163,0.5175705179316901,-2.3896193497572322,-0.33676766326702007,-0.21628843601597209,-0.5530560992829922,0.009365244137414732,0.0009109416878445804,0.8333333333333334,-0.007203339747447132,mixture_consensus_jackpot
12.0,12.0,0.7155325311039683,1.0,0.0687440577233097,0.5118769106154354,0.5148530097098946,-1.885593979985547,-0.37489239490973647,-0.2159490468014988,-0.5908414417112353,0.002920374071439145,0.0013817748110157343,0.75,-0.006444142115379475,mixture_consensus_jackpot
12.0,12.0,0.7119825048630225,1.0,0.07297203845819521,0.5136755319323447,0.5163836265520935,-2.481992921486011,-0.3457582444645178,-0.22719208924026169,-0.5729503337047795,0.005807684503207418,0.0015608639564195607,0.8333333333333334,-0.00726034153482828,mixture_consensus_jackpot
12.0,11.0,0.7080794618508768,1.0,0.06544650443702586,0.5410123783735542,0.5341670643263231,-2.5330337947497115,-0.3598015109944274,-0.22556699534946278,-0.5853685063438904,0.005315754083578178,0.0005325383021616199,0.8333333333333334,-0.007613693686800691,mixture_consensus_jackpot
12.0,12.0,0.7141481450839725,1.0,0.04909170049931266,0.5582300708959745,0.51438455813087,-1.9374501480065371,-0.4212549963627584,-0.14796360055208752,-0.569218596914846,-3.7825852038912235e-05,0.00033322355464949284,0.8333333333333334,-0.007640627857192438,mixture_consensus_jackpot
12.0,12.0,0.7058975072141284,1.0,0.06715258317297834,0.5436732837395155,0.5308971850526273,-2.323124551833545,-0.3694013680942698,-0.19657185313099976,-0.5659732212252695,0.0020882074568334776,-6.50946034722235e-05,0.8333333333333334,-0.007908931101245046,mixture_consensus_jackpot
12.0,12.0,0.712477825235828,1.0,0.06726416495817936,0.5274937193520419,0.5192209955435556,-1.769576675592639,-0.3677123555514155,-0.20058316267835977,-0.5682955182297751,0.004838563518084603,0.0010676892139832091,0.75,-0.006026967556891339,mixture_consensus_jackpot
12.0,12.0,0.710602363445055,1.0,0.07034418718472175,0.5252508091030313,0.52379341697376,-2.311551181852206,-0.35794663301364205,-0.22083162385674904,-0.5787782568703912,0.006176334094161601,0.0017626148595750338,0.8333333333333334,-0.007437065611920717,mixture_consensus_jackpot
12.0,11.0,0.7044315429603785,1.0,0.06430931594982835,0.5254113249677774,0.504696579765941,-1.914007966005944,-0.3608632261230045,-0.2132160683456862,-0.5740792944686907,0.000708115544630091,1.713944302915192e-05,0.75,-0.0066635257242007,mixture_consensus_jackpot
12.0,12.0,0.7075837325144415,1.0,0.06323395867742347,0.5310222688432943,0.5060835334830273,-2.506390756312388,-0.3911710863541388,-0.17036815406263803,-0.5615392404167767,0.006421173531390471,0.0007619918463903463,0.9166666666666666,-0.007644328929578464,mixture_consensus_jackpot
12.0,11.0,0.6905967853090796,1.0,0.06858720358464415,0.5107045423587689,0.507120401271184,-1.5676236450468932,-0.3300115336067577,-0.19729707806238436,-0.5273086116691421,0.0038587894531129283,0.0003892423036957202,0.75,-0.006268732896980695,mixture_consensus_jackpot
12.0,12.0,0.7168174518954881,1.0,0.06659642866967068,0.5355437085553983,0.5303202845583975,-2.107219119424474,-0.3961096533361643,-0.23396952148925013,-0.6300791748254143,0.00771863430432541,0.0004317885016997017,0.75,-0.0057470269134901044,mixture_consensus_jackpot
12.0,12.0,0.7153639993080948,1.0,0.06641676127666159,0.5409855309831685,0.5189571200157447,-2.218286085028057,-0.35721985752950414,-0.2033911773513248,-0.5606110348808289,0.00322496734181707,0.0008823318255059263,0.8333333333333334,-0.007065771333958087,mixture_consensus_jackpot
12.0,12.0,0.7107475192057261,1.0,0.054753767242227934,0.5588184308050407,0.5038861592998822,-2.0716107809335673,-0.4084816518819059,-0.16428232821017516,-0.5727639800920808,0.006337672453277858,0.0005025579072465894,0.8333333333333334,-0.006882485364241325,mixture_consensus_jackpot
12.0,11.0,0.7093036848248241,1.0,0.0474610546644224,0.5792236051992652,0.5192317442116634,-2.4305445568995094,-0.42027673163822166,-0.134751704306232,-0.5550284359444536,0.00472881480255391,0.00024935455495654597,0.9166666666666666,-0.008308887315463984,mixture_consensus_jackpot
12.0,12.0,0.7080912499642044,1.0,0.05559674556786884,0.5632820118981278,0.5286185076525848,-2.21804365643269,-0.3859285951778276,-0.17704715337648946,-0.5629757485543171,0.0009864295544581663,0.0009481780974727726,0.8333333333333334,-0.008375268679651517,mixture_consensus_jackpot
12.0,12.0,0.7104225087939349,1.0,0.053387066594408554,0.5356194707228984,0.5092558273390738,-1.8847850557033956,-0.40268746483224105,-0.15561184152475288,-0.5582993063569939,-0.0003633681928864689,0.0006122017088659317,0.8333333333333334,-0.007275758332287111,mixture_consensus_jackpot
12.0,12.0,0.7244990625235305,1.0,0.07852352883414097,0.4899980291739258,0.5305825583421134,-2.220746028988027,-0.37240302809133036,-0.26446820225134954,-0.6368712303426799,0.0024655230146145104,0.0010775858632409675,0.75,-0.005446801507902348,mixture_consensus_jackpot
12.0,12.0,0.7021718709240906,1.0,0.07144794926807424,0.5210626835664395,0.525768454260831,-2.365201055015855,-0.3552749921258514,-0.21969876592722348,-0.5749737580530747,0.0017626651159859212,0.00021388355074421534,0.8333333333333334,-0.007395614500778345,mixture_consensus_jackpot
12.0,12.0,0.7069625021423237,1.0,0.06854212467162586,0.5161091931565387,0.522123485182703,-1.9505113162428263,-0.38357647790939947,-0.21736294394439454,-0.600939421853794,0.009881205150166328,0.0010682655554733096,0.75,-0.005666312614345786,mixture_consensus_jackpot
12.0,12.0,0.7155743428615797,1.0,0.055809674425312074,0.5821737273220039,0.5464029066308046,-2.4022342912419408,-0.39764780546617323,-0.18439113946723762,-0.5820389449334109,0.0025876385462894613,0.0007405411556220967,0.8333333333333334,-0.008462397990776025,mixture_consensus_jackpot
12.0,11.0,0.7078411113524012,1.0,0.06527419956464073,0.5098334872230478,0.5039389405205643,-1.6593073982414588,-0.34962665480369304,-0.20183605364775756,-0.5514627084514505,-0.002676668646545153,0.00014704750333071028,0.75,-0.006161391529203678,mixture_consensus_jackpot
12.0,12.0,0.7180446716466521,1.0,0.07806638902056949,0.5028536854732244,0.5389976276971336,-2.6679883482425586,-0.3672403355879609,-0.2593885903939398,-0.6266289259819006,0.0076844141105744945,0.001263569841917025,0.8333333333333334,-0.006391669515814774,mixture_consensus_jackpot
12.0,11.0,0.7147002817289178,1.0,0.0636714540907512,0.5292467807348689,0.5216624116142171,-2.1843226807430556,-0.3454572615118625,-0.2042594325461745,-0.549716694058037,-0.0024134041931361074,0.000648603894867007,0.8333333333333334,-0.007431864697856001,mixture_consensus_jackpot
12.0,12.0,0.7056706184124116,1.0,0.06306286411968066,0.520840283821066,0.5153773864147501,-1.7300263027610472,-0.3728147046872579,-0.20611745967807438,-0.5789321643653322,-0.0011356964132589187,0.0007559421684917113,0.75,-0.006863630728225763,mixture_consensus_jackpot
12.0,12.0,0.7090420239515799,1.0,0.07150743861833908,0.5231812420408777,0.529340348467798,-2.473486464945594,-0.3585844722184698,-0.21456845581565842,-0.5731529280341281,0.0030712967458073615,0.0006753351110988256,0.8333333333333334,-0.007435337926681781,mixture_consensus_jackpot
12.0,12.0,0.703038858272714,1.0,0.06646740101109856,0.5457774226686766,0.5273497503891846,-2.08889736737451,-0.33530314197047384,-0.2122455560359825,-0.5475486980064563,0.0054590982423403005,0.0007837914084933232,0.8333333333333334,-0.007243178164447026,mixture_consensus_jackpot
12.0,12.0,0.7154131100038438,1.0,0.06338531469159685,0.54953583895245,0.5283783818078708,-1.9960929546957948,-0.382438213644312,-0.20979245889947573,-0.5922306725437878,0.006336428501264211,0.0011958548217722983,0.75,-0.006725572520836679,mixture_consensus_jackpot
12.0,11.0,0.7083831454166326,1.0,0.06928334381362362,0.5089478827346404,0.5138852315580019,-2.4483849124185797,-0.36188559350053645,-0.22030632175122603,-0.5821919152517624,-0.0009669587787532649,-0.00015020357243220893,0.8333333333333334,-0.007074567415995478,mixture_consensus_jackpot
12.0,12.0,0.7122017909302841,1.0,0.06899190196457335,0.5398742504355166,0.5325733750907888,-2.5393486447039795,-0.3603382435077873,-0.2273424167423282,-0.5876806602501154,0.008161069821821335,0.0017183156994343863,0.8333333333333334,-0.007372422523449653,mixture_consensus_jackpot
12.0,12.0,0.7110712215149441,1.0,0.07106820869039004,0.5299304466934854,0.5300707934145009,-2.51784417430918,-0.35586636694514107,-0.2370576653675613,-0.5929240323127023,0.008063192938454802,0.0006969193843310329,0.8333333333333334,-0.007177291965415191,mixture_consensus_jackpot
12.0,12.0,0.7056377192905255,1.0,0.07301935179807588,0.5130605984875556,0.5155358997169662,-2.0983853751815196,-0.36827588514750437,-0.22992638002525703,-0.5982022651727613,0.010214336476184971,0.0007941718782629967,0.75,-0.0059426234503341556,mixture_consensus_jackpot
12.0,12.0,0.7195163946988846,1.0,0.0650300941620143,0.5565962815333013,0.5364348291522428,-2.209160085002045,-0.3590139401037646,-0.20970698809241328,-0.5687209281961779,0.0005474876761036307,0.0007683264061910873,0.8333333333333334,-0.007570296114961907,mixture_consensus_jackpot
12.0,12.0,0.7079535790113396,1.0,0.06463156717655939,0.5429025181015882,0.51883186687081,-1.6473000714866786,-0.3667634355689694,-0.18768469091000556,-0.5544481264789749,0.005186744400522275,0.0012230777996802202,0.75,-0.006528448751139584,mixture_consensus_jackpot
12.0,12.0,0.7117560501026796,1.0,0.07370678706706223,0.5271792487507219,0.5327555451875505,-2.5475411270567383,-0.3582537274118634,-0.2407664590824708,-0.5990201864943342,0.006680856113084101,0.00047677780988751394,0.8333333333333334,-0.007151908060854644,mixture_consensus_jackpot
12.0,12.0,0.7180399296083002,1.0,0.07283656968184214,0.5300238020503297,0.530979448134195,-2.617003801422233,-0.3527505020333853,-0.24340215579701852,-0.5961526578304039,0.004994485503899498,0.0007544181291006245,0.8333333333333334,-0.007261748993725114,mixture_consensus_jackpot
12.0,12.0,0.7008354705552842,1.0,0.061429120177077544,0.5440194241525872,0.5299522278243024,-2.038218188010202,-0.3527443764777918,-0.17815765912381715,-0.530902035601609,0.004767263961529082,0.0011753338477173585,0.8333333333333334,-0.007887447050811885,mixture_consensus_jackpot
12.0,11.0,0.7008004469536543,1.0,0.0638873530155843,0.5234151383475159,0.507006018615262,-2.0516346824356004,-0.3425504752180438,-0.18135512903574305,-0.523905604253787,-0.00045277978959121223,0.0001492202408652681,0.8333333333333334,-0.007474520221869882,mixture_consensus_jackpot
12.0,12.0,0.7033541275474343,1.0,0.049302296974249864,0.5630357379919169,0.5117003384710483,-2.0544532130927333,-0.38017412839052644,-0.12077239653219324,-0.5009465249227197,0.0023009944576802646,0.0011551082456090578,0.9166666666666666,-0.008715366374683347,mixture_consensus_jackpot
12.0,11.0,0.7123284248731289,1.0,0.0658300789501496,0.5287039807598853,0.5312500112167423,-2.2620335399738254,-0.34163662128947236,-0.2115519482566045,-0.553188569546077,0.001350375644536106,0.001077444006789939,0.8333333333333334,-0.007330212994528349,mixture_consensus_jackpot
12.0,11.0,0.7156485379848627,1.0,0.04454708801265226,0.5856878870549433,0.5276314912306019,-2.391114613991914,-0.42222721967247095,-0.13422188110043404,-0.556449100772905,0.0028418955945582747,0.0005074282230471934,0.9166666666666666,-0.008559118415739484,mixture_consensus_jackpot
12.0,12.0,0.7063785104965422,1.0,0.06284908353473333,0.5415693342035401,0.5276723051478784,-2.0780243567126373,-0.3439644935004028,-0.19087168443693048,-0.5348361779373335,-0.0007158514641654364,0.0006340237070186896,0.8333333333333334,-0.007989359967112416,mixture_consensus_jackpot
12.0,12.0,0.7048690952908679,1.0,0.07547826278173894,0.5157512229725622,0.506857486947363,-2.1824974361831875,-0.317871692572543,-0.2175132271939863,-0.5353849197665292,0.004338332688305931,0.0010245736276257025,0.8333333333333334,-0.007003303309076138,mixture_consensus_jackpot
12.0,12.0,0.7006660471046771,1.0,0.06030086516493958,0.547038283813669,0.5045092583758334,-2.41930724071083,-0.3820202899453147,-0.16407752093003922,-0.5460978108753538,0.006853682144013541,0.0005635672245540672,0.9166666666666666,-0.00772309721808879,mixture_consensus_jackpot
12.0,12.0,0.6980471873338733,1.0,0.06374170344685755,0.5341313814800641,0.4972845424769399,-2.234462183718382,-0.34796291573766175,-0.1597499196194226,-0.5077128353570843,0.008704550456684631,0.0013756893926707423,0.9166666666666666,-0.007594999080782459,mixture_consensus_jackpot
12.0,11.0,0.6931232082073623,1.0,0.06320869124688493,0.5172679804075767,0.4926886360314049,-1.5123112905477456,-0.32676862967613074,-0.18893430978227452,-0.5157029394584052,0.0008967521929445869,0.0005955414105430677,0.75,-0.0066123418605197075,mixture_consensus_jackpot
12.0,11.0,0.7069297604167811,1.0,0.06623702310872503,0.5202390535732994,0.5100740871991604,-2.1260018000529426,-0.33853280238811273,-0.20144783623785759,-0.5399806386259702,-0.0029408929762796874,-0.00020827865869190105,0.8333333333333334,-0.007140278945292418,mixture_consensus_jackpot
12.0,12.0,0.7001056136418944,1.0,0.06538153574410781,0.5214300458665494,0.5152968253145481,-1.6097530451442625,-0.357083925606378,-0.1906129258823536,-0.5476968514887316,0.002015886321431561,0.00031627855662389267,0.75,-0.006449058698946629,mixture_consensus_jackpot
12.0,12.0,0.7127676602416176,1.0,0.0672120725232432,0.5457918422139539,0.5344690792595941,-2.525480771661083,-0.37217665281557655,-0.21764404537747722,-0.5898206981930536,0.003396839086654918,0.00039635695688238675,0.8333333333333334,-0.007661146754858669,mixture_consensus_jackpot
12.0,12.0,0.7166597881903325,1.0,0.0702087184083687,0.5415990792210162,0.5383892385558616,-2.47294491142277,-0.37626176757860713,-0.2212779803597869,-0.597539747938394,0.005363135094853681,0.0009561690322560974,0.8333333333333334,-0.007621678735031015,mixture_consensus_jackpot
12.0,11.0,0.6936652422715937,1.0,0.06721783549586781,0.5163823759191695,0.5026349270688425,-2.2598180781911688,-0.33761009856673796,-0.19797668408842486,-0.5355867826551629,0.0026064620607364752,0.0002982903347801486,0.8333333333333334,-0.007572371618823621,mixture_consensus_jackpot
12.0,12.0,0.7060274491415032,1.0,0.07323322581513507,0.517709758980932,0.5175346557701856,-1.9647362677630607,-0.3591342399325277,-0.22418373659413537,-0.583317976526663,0.00651546854304159,0.0009966177334545707,0.75,-0.0060245201346066255,mixture_consensus_jackpot
12.0,12.0,0.7126673334507582,1.0,0.07561061683486739,0.5109243339895813,0.5190683783251431,-2.4727102595929438,-0.33590126398940284,-0.2477270545585889,-0.5836283185479918,0.004425347677836718,0.0013407223819760419,0.8333333333333334,-0.007028150667596137,mixture_consensus_jackpot
12.0,12.0,0.7076762597249685,1.0,0.07638784225094004,0.5265278523319957,0.5253849617005258,-2.6049879002667695,-0.3506659883788586,-0.23237761745517996,-0.5830436058340385,0.010401589064352124,0.0012325106715918878,0.8333333333333334,-0.00717491960211094,mixture_consensus_jackpot
12.0,12.0,0.7085331488373238,1.0,0.04805325158405255,0.574355167326334,0.520640213621686,-2.342328240228159,-0.40986571226580837,-0.13184520600162614,-0.5417109182674346,0.004600470996054244,0.0009342051776523112,0.9166666666666666,-0.008850441070670227,mixture_consensus_jackpot
12.0,11.0,0.7084434805022455,1.0,0.06811551318487895,0.52724285909009,0.5229472664992613,-2.2306588218935723,-0.3213121354406695,-0.2201687825942814,-0.5414809180349509,-0.002466837880490319,0.00021213122941969774,0.8333333333333334,-0.007437220426651868,mixture_consensus_jackpot
12.0,11.0,0.7029989956268542,1.0,0.06840442146841041,0.527667745921543,0.5225639496884127,-2.1167236587107463,-0.3233720136988031,-0.20398606899791993,-0.527358082696723,-0.0013610615191725444,0.000349488554533348,0.8333333333333334,-0.007715704127303304,mixture_consensus_jackpot
12.0,11.0,0.703165182889126,1.0,0.06597085017639857,0.5017184011586052,0.5046820162955075,-1.8866910322727601,-0.3731635958371883,-0.203047360460863,-0.5762109562980512,0.0017853787376697443,0.0005626214891475715,0.75,-0.006275735905259413,mixture_consensus_jackpot
12.0,12.0,0.6996696386851348,1.0,0.06309404143865037,0.5488745716313262,0.5304923559560017,-2.32551071304362,-0.37675898569547467,-0.18472853418090845,-0.561487519876383,0.008953659707898695,0.0006963571116699643,0.8333333333333334,-0.0079000837051228,mixture_consensus_jackpot
12.0,12.0,0.6954296851786194,1.0,0.06607818635586567,0.5133149598021071,0.5160399010894913,-1.8314923342927147,-0.3781822384575077,-0.1954222421710357,-0.5736044806285434,0.006477933705646459,0.000731852542440754,0.75,-0.006497574348385361,mixture_consensus_jackpot
12.0,12.0,0.7080149668923541,1.0,0.07776644878903102,0.5150676424981532,0.5280493381412451,-2.5067719965546638,-0.359934341540887,-0.22561345664505789,-0.5855477981859447,0.009338919953140975,0.0015758824038501493,0.8333333333333334,-0.007115472683318671,mixture_consensus_jackpot
12.0,12.0,0.7129433677563023,1.0,0.0738828798284734,0.49854380290610667,0.5057159987779098,-1.7407876360785632,-0.34244888010839536,-0.23384474636769384,-0.5762936264760892,0.001102841374099985,0.0006900958965248648,0.75,-0.005538947613861783,mixture_consensus_jackpot
12.0,11.0,0.6922118572717421,1.0,0.06417151479096923,0.5276735467578284,0.49882378271000105,-1.9857664467453728,-0.3221419111912515,-0.1787559324694697,-0.5008978436607212,0.0006325278632100528,0.00024021524852045647,0.8333333333333334,-0.007802494355363503,mixture_consensus_jackpot
