heldout_subject,target,accepted,policy,fraction,heldout_selected_cells,heldout_gain_sum,heldout_positive_gain_rate,raw_action_count,inverse_action_count,accept_reason
id01,Q1,False,hold,0.0,0,0.0,,0,0,no_action_health_policy_passed
id01,Q2,False,hold,0.0,0,0.0,,0,0,no_action_health_policy_passed
id01,Q3,False,hold,0.0,0,0.0,,0,0,no_action_health_policy_passed
id01,S1,True,top_health_all,0.02,1,-0.47894454613615545,0.0,0,1,positive_subjectheldout_health_gain
id01,S2,False,hold,0.0,0,0.0,,0,0,no_action_health_policy_passed
id01,S3,False,hold,0.0,0,0.0,,0,0,no_action_health_policy_passed
id01,S4,True,top_health_decisive,0.18,0,0.0,,0,0,positive_subjectheldout_health_gain
id02,Q1,False,hold,0.0,0,0.0,,0,0,no_action_health_policy_passed
id02,Q2,False,hold,0.0,0,0.0,,0,0,no_action_health_policy_passed
id02,Q3,False,hold,0.0,0,0.0,,0,0,no_action_health_policy_passed
id02,S1,True,top_health_all,0.02,1,0.16137566281797877,1.0,1,0,positive_subjectheldout_health_gain
id02,S2,False,hold,0.0,0,0.0,,0,0,no_action_health_policy_passed
id02,S3,False,hold,0.0,0,0.0,,0,0,no_action_health_policy_passed
id02,S4,True,top_health_all,0.18,9,0.18956730125841215,0.6666666666666666,8,1,positive_subjectheldout_health_gain
id03,Q1,False,hold,0.0,0,0.0,,0,0,no_action_health_policy_passed
id03,Q2,False,hold,0.0,0,0.0,,0,0,no_action_health_policy_passed
id03,Q3,False,hold,0.0,0,0.0,,0,0,no_action_health_policy_passed
id03,S1,True,top_health_decisive,0.02,1,0.2276730756716216,1.0,1,0,positive_subjectheldout_health_gain
id03,S2,False,hold,0.0,0,0.0,,0,0,no_action_health_policy_passed
id03,S3,False,hold,0.0,0,0.0,,0,0,no_action_health_policy_passed
id03,S4,True,top_health_all,0.14,5,-0.39669507725430964,0.2,2,3,positive_subjectheldout_health_gain
id04,Q1,False,hold,0.0,0,0.0,,0,0,no_action_health_policy_passed
id04,Q2,True,top_health_all,0.08,5,-0.962951406725165,0.0,2,3,positive_subjectheldout_health_gain
id04,Q3,False,hold,0.0,0,0.0,,0,0,no_action_health_policy_passed
id04,S1,True,top_health_all,0.02,1,-0.532718571072363,0.0,1,0,positive_subjectheldout_health_gain
id04,S2,False,hold,0.0,0,0.0,,0,0,no_action_health_policy_passed
id04,S3,False,hold,0.0,0,0.0,,0,0,no_action_health_policy_passed
id04,S4,True,top_health_decisive,0.25,10,-0.10080619975848848,0.6,3,7,positive_subjectheldout_health_gain
id05,Q1,True,top_health_decisive,0.08,3,-0.23498705327195768,0.3333333333333333,2,1,positive_subjectheldout_health_gain
