heldout_subject,selected_cells,gain_sum,mean_gain,positive_gain_rate,accepted_targets,held_targets
id01,1,-0.47894454613615545,-0.47894454613615545,0.0,"S1,S4","Q1,Q2,Q3,S2,S3"
id02,10,0.3509429640763909,0.03509429640763909,0.7,"S1,S4","Q1,Q2,Q3,S2,S3"
id03,6,-0.16902200158268804,-0.028170333597114672,0.3333333333333333,"S1,S4","Q1,Q2,Q3,S2,S3"
id04,16,-1.5964761775560166,-0.09977976109725104,0.375,"Q2,S1,S4","Q1,Q3,S2,S3"
id05,17,-0.2960382668746966,-0.017414015698511563,0.47058823529411764,"Q1,Q2,S4","Q3,S1,S2,S3"
id06,10,1.2954783144204267,0.12954783144204268,0.9,"S1,S4","Q1,Q2,Q3,S2,S3"
id07,10,-0.30479618063526764,-0.030479618063526764,0.6,"S1,S4","Q1,Q2,Q3,S2,S3"
id08,16,-0.7853283449990048,-0.0490830215624378,0.625,"Q3,S1,S4","Q1,Q2,S2,S3"
id09,15,-2.0846286971523202,-0.13897524647682136,0.26666666666666666,"Q1,Q2,S1","Q3,S2,S3,S4"
id10,11,-1.4692308648400978,-0.1335664422581907,0.2727272727272727,"Q1,S1,S4","Q2,Q3,S2,S3"
