reference,top_fraction,k,reference_rows,overlap_rows,recall,precision,mean_selected_score,mean_not_selected_score
frontier_active_silence_rows,0.1,25,45,5,0.1111111111111111,0.2,0.8307823999999999,0.46546862222222224
frontier_active_silence_rows,0.15,38,45,6,0.13333333333333333,0.15789473684210525,0.8042021052631579,0.4478316981132076
frontier_active_silence_rows,0.18,45,45,8,0.17777777777777778,0.17777777777777778,0.7907404444444445,0.43861795121951225
frontier_active_silence_rows,0.22,55,45,11,0.24444444444444444,0.2,0.7730647272727272,0.4255458461538461
frontier_active_silence_rows,0.28,70,45,16,0.35555555555555557,0.22857142857142856,0.7474434285714286,0.4065497777777778
row_state_vector_rows,0.1,25,45,5,0.1111111111111111,0.2,0.8307823999999999,0.46546862222222224
row_state_vector_rows,0.15,38,45,6,0.13333333333333333,0.15789473684210525,0.8042021052631579,0.4478316981132076
row_state_vector_rows,0.18,45,45,8,0.17777777777777778,0.17777777777777778,0.7907404444444445,0.43861795121951225
row_state_vector_rows,0.22,55,45,11,0.24444444444444444,0.2,0.7730647272727272,0.4255458461538461
row_state_vector_rows,0.28,70,45,16,0.35555555555555557,0.22857142857142856,0.7474434285714286,0.4065497777777778
